Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0;174;204;0,098039215686275;0;-24,0727473393345;1;5;1;2,6;0,523988115904812;3,26236828478184;8,870681966755E-13;-12,0443393061533
1;167;122;0,032786885245902;0,014971485487562;-1,82473510633402;1;5;0,58;2,7;0,179462694949348;1,9831691225203;0,0001186669901;-3,90252261824977
2;203;164;0,00609756097561;0,738039946153551;-0,131920131504107;1;5;0,16;3,35;0,062723581854736;3,4310256138691;0,109458576052309;-0,960750205897947
3;190;187;0,032085561497326;0,003516168579029;-2,45393031130393;1;5;0,91;3,25;0,338836431074767;3,18472716805894;9,41150878763786E-06;-5,0079844845484
4;129;155;0,129032258064516;0;-21,4573348803714;1;5;1;2,9;0,510636043815007;3,22910403464748;2,33146835171283E-14;-13,6300529591085
5;171;199;0,060301507537689;2,52908805009611E-12;-11,5883565494785;1;5;0,97;3;0,305848340839572;2,68335437317818;1,53907075417514E-07;-6,79901670461698
6;160;189;0,026455026455027;0,013913242910271;-1,85657163248887;1;5;0,47;2,95;0,218467070010768;3,43596663063141;4,16728520971077E-05;-4,35925065644171
7;180;245;0,110204081632653;0;-24,7692454302529;1;5;1;2,65;0,522160933915821;3,2729302399198;9,32587340685132E-14;-13,0217794720505
8;185;166;0,13855421686747;0;-40,3457173634745;1;5;1;2,35;0,667117776734399;3,27373883984223;1,77635683940025E-14;-13,7417553830772
9;151;202;0,099009900990099;0;-17,6547235652011;1;5;1;3;0,516570097671726;3,27764980410208;3,88578058618805E-14;-13,4047953833603
