"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","07_01_Composite.tif",0,0,1,0.8186,0.7823,0.3333,0.1892,0.8507,0.8507
"3","07_01_Composite.tif",0,1,0,0.9246,0.9205,1,0.317,0.8507,0.8507
"21","07_02_Composite.tif",0,0,1,0.611,0.6235,1,0.3314,0.6346,0.6346
"31","07_02_Composite.tif",0,1,0,0.8917,0.896,1,0.4738,0.6346,0.6346
"22","07_03_Composite.tif",0,0,1,0.5537,0.5611,0.3333,0.1775,0.2452,0.2452
"32","07_03_Composite.tif",0,1,0,0.6715,0.6727,1,0.466,0.2452,0.2452
"23","09_01_Composite.tif",0,0,1,0.6075,0.6111,0.6666,0.2276,0.6259,0.6259
"33","09_01_Composite.tif",0,1,0,0.8662,0.8531,0.8333,0.2767,0.6259,0.6259
"24","09_02_Composite.tif",0,0,1,0.8653,0.8578,0.3333,0.1755,0.8196,0.8196
"34","09_02_Composite.tif",0,1,0,0.8925,0.8925,1,0.364,0.8196,0.8196
"25","09_03_Composite.tif",0,0,1,0.7548,0.7514,0.4285,0.1657,0.7791,0.7791
"35","09_03_Composite.tif",0,1,0,0.8265,0.7848,0.8333,0.255,0.7791,0.7791
"26","09_04_Composite.tif",0,0,1,0.6945,0.7077,0.4,0.2035,0.7467,0.7467
"36","09_04_Composite.tif",0,1,0,0.6793,0.6896,0.6666,0.3335,0.7467,0.7467
"27","37_01_Composite.tif",0,0,1,0.9374,0.9174,0.8,0.1987,0.9054,0.9054
"37","37_01_Composite.tif",0,1,0,0.8749,0.8716,1,0.3415,0.9054,0.9054
"28","37_02_Composite.tif",0,0,1,0.8973,0.8977,1,0.398,0.8394,0.8394
"38","37_02_Composite.tif",0,1,0,0.8852,0.8747,1,0.2893,0.8394,0.8394
"29","37_03_Composite.tif",0,0,1,0.9444,0.9378,0.3333,0.2076,0.8282,0.8282
"39","37_03_Composite.tif",0,1,0,0.8778,0.8778,1,0.4814,0.8282,0.8282
