"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","07_10_Composite.tif",0,0,1,0.6352,0.6189,0.4,0.1708,0.7285,0.7285
"3","07_10_Composite.tif",0,1,0,0.9205,0.9202,1,0.3074,0.7285,0.7285
"21","07_11_Composite.tif",0,0,1,0.858,0.8578,0.5,0.1656,0.7764,0.7764
"31","07_11_Composite.tif",0,1,0,0.9421,0.9421,1,0.3704,0.7764,0.7764
"22","07_12_Composite.tif",0,0,1,0.3176,0.307,0.5,0.2977,0.5606,0.5606
"32","07_12_Composite.tif",0,1,0,0.9859,0.9763,1,0.3556,0.5606,0.5606
"23","07_13_Composite.tif",0,0,1,0.8858,0.8858,1,0.3274,0.8377,0.8377
"33","07_13_Composite.tif",0,1,0,0.9405,0.9405,1,0.3019,0.8377,0.8377
"24","07_14_Composite.tif",0,0,1,0.8663,0.8663,1,0.3271,0.6662,0.6662
"34","07_14_Composite.tif",0,1,0,0.8536,0.8536,1,0.324,0.6662,0.6662
"25","07_15_Composite.tif",0,0,1,0.7797,0.7193,0.4,0.22,0.783,0.783
"35","07_15_Composite.tif",0,1,0,0.7055,0.719,0.8,0.2372,0.783,0.783
"26","07_16_Composite.tif",0,0,1,0.8278,0.8208,0.2142,0.0776,0.7764,0.7764
"36","07_16_Composite.tif",0,1,0,0.9318,0.925,1,0.2765,0.7764,0.7764
"27","07_17_Composite.tif",0,0,1,0.9163,0.9163,1,0.4112,0.6088,0.6088
"37","07_17_Composite.tif",0,1,0,0.8182,0.8196,1,0.2855,0.6088,0.6088
"28","07_18_Composite.tif",0,0,1,0.35,0.35,0,0.1358,0.5127,0.5127
"38","07_18_Composite.tif",0,1,0,0.8546,0.8623,1,0.3917,0.5127,0.5127
"29","07_19_Composite.tif",0,0,1,0.8666,0.8664,0.5,0.1759,0.8326,0.8326
"39","07_19_Composite.tif",0,1,0,0.941,0.941,1,0.3548,0.8326,0.8326
"210","07_1_Composite.tif",0,0,1,0.8143,0.8138,0.3333,0.1654,0.8375,0.8375
"310","07_1_Composite.tif",0,1,0,0.9724,0.9726,1,0.4809,0.8375,0.8375
"211","07_20_Composite.tif",0,0,1,0.7253,0.7253,1,0.349,0.7307,0.7307
"311","07_20_Composite.tif",0,1,0,0.9287,0.9256,1,0.2515,0.7307,0.7307
"212","07_21_Composite.tif",0,0,1,0.8268,0.8268,1,0.2859,0.7592,0.7592
"312","07_21_Composite.tif",0,1,0,0.8793,0.8793,1,0.3265,0.7592,0.7592
"213","07_22_Composite.tif",0,0,1,0.9387,0.9378,0.1111,0.0779,0.8221,0.8221
"313","07_22_Composite.tif",0,1,0,0.9034,0.9034,1,0.303,0.8221,0.8221
"214","07_23_Composite.tif",0,0,1,0.6614,0.6614,1,0.2463,0.6856,0.6856
"314","07_23_Composite.tif",0,1,0,0.9173,0.9134,1,0.2585,0.6856,0.6856
"215","07_24_Composite.tif",0,0,1,0.7063,0.6447,0.5,0.2291,0.7223,0.7223
"315","07_24_Composite.tif",0,1,0,0.7637,0.8167,1,0.3233,0.7223,0.7223
"216","07_25_Composite.tif",0,0,1,0.5319,0.5133,0.5,0.2036,0.74,0.74
"316","07_25_Composite.tif",0,1,0,0.9732,0.9756,1,0.2525,0.74,0.74
"217","07_26_Composite.tif",0,0,1,0.3984,0.3983,0,0.0791,0.4755,0.4755
"317","07_26_Composite.tif",0,1,0,0.8927,0.892,1,0.2701,0.4755,0.4755
"218","07_27_Composite.tif",0,0,1,0.8724,0.8724,1,0.3954,0.8764,0.8764
"318","07_27_Composite.tif",0,1,0,0.9323,0.9323,1,0.3706,0.8764,0.8764
"219","07_28_Composite.tif",0,0,1,0.8658,0.8515,0.5,0.2263,0.8179,0.8179
"319","07_28_Composite.tif",0,1,0,0.9302,0.9309,1,0.2967,0.8179,0.8179
"220","07_29_Composite.tif",0,0,1,0.7804,0.7808,0.75,0.2032,0.788,0.788
"320","07_29_Composite.tif",0,1,0,0.8661,0.8588,1,0.2628,0.788,0.788
"221","07_2_Composite.tif",0,0,1,0.6348,0.6421,1,0.3113,0.5738,0.5738
