Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0;188;167;0,101796407185629;0;-17,324214208894;1;5;0,89;3,4;0,383708350559887;3,30102987809152;7,06422900176307E-08;-7,1378384342018
1;187;183;0,043715846994536;0,004670302162672;-2,33065502021854;1;5;0,66;3,4;0,352104045572273;3,18174215872613;5,24014852731902E-07;-6,26581367227151
2;172;181;0,016574585635359;0,592656653096275;-0,227196835894979;1;5;0,08;3,6;0;#NUM!;0,223836405488977;-0,650069276980361
3;176;198;0,070707070707071;8,33274571565568E-09;-8,06650944832438;1;5;0,49;2,85;0,273404764617085;2,51904167613226;2,08811227198069E-08;-7,668025518536
4;100;130;0,138461538461538;0;-23,9366697306806;1;5;0,81;3,65;0,403252989417427;3,27902478729752;4,76952422001631E-09;-8,31022184750344
5;175;183;0,054644808743169;2,4318469330098E-05;-4,59087933258445;1;5;0,52;2,9;0,332491065817857;3,15184213435307;3,83134135528707E-09;-8,40547066429222
6;185;191;0,068062827225131;2,39289423276112E-08;-7,60756127638695;1;5;0,77;3,35;0,411829653841402;3,18859153096595;2,99760216648792E-14;-13,5208022629366
7;137;166;0,090361445783133;2,01839100988366E-11;-10,6855477098933;1;5;0,7;2,7;0,50923140237923;3,17547268143248;2,6256774532385E-13;-12,5731636694378
8;113;145;0,110344827586207;0;-19,5353100935242;1;5;0,81;3,15;0,415205236446245;3,05909537977593;1,59419699663488E-10;-9,78782381224037
9;121;154;0,123376623376623;0;-22,3218546060151;1;5;0,64;3,05;0,339209087503819;3,20555171935018;1,05041573067455E-05;-4,96011617909183
