"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","07_01_Composite.tif",0,0,1,0.5255,0.4721,0.3783,0.1245,0.4726,0.4726
"3","07_01_Composite.tif",0,1,0,0.2649,0.2666,0.1428,0.1353,0.4726,0.4726
"21","07_02_Composite.tif",0,0,1,0.2133,0.2168,0.1176,0.0771,0.3762,0.3762
"31","07_02_Composite.tif",0,1,0,0.3606,0.3381,0.2,0.1283,0.3762,0.3762
"22","07_03_Composite.tif",0,0,1,0.1762,0.1689,0.1052,0.0644,0.0658,0.0658
"32","07_03_Composite.tif",0,1,0,0.205,0.2101,0.1224,0.0924,0.0658,0.0658
"23","09_01_Composite.tif",0,0,1,0.4521,0.4432,0.3846,0.1478,0.3758,0.3758
"33","09_01_Composite.tif",0,1,0,0.2795,0.2744,0.2758,0.1147,0.3758,0.3758
"24","09_02_Composite.tif",0,0,1,0.5225,0.55,0.6,0.2029,0.4065,0.4065
"34","09_02_Composite.tif",0,1,0,0.1643,0.1621,0.125,0.0533,0.4065,0.4065
"25","09_03_Composite.tif",0,0,1,0.3854,0.3884,0.4705,0.1807,0.363,0.363
"35","09_03_Composite.tif",0,1,0,0.1419,0.1397,0.0833,0.088,0.363,0.363
"26","09_04_Composite.tif",0,0,1,0.4454,0.4698,0.4,0.1631,0.3863,0.3863
"36","09_04_Composite.tif",0,1,0,0.275,0.2578,0.0625,0.0913,0.3863,0.3863
"27","37_01_Composite.tif",0,0,1,0.7704,0.7789,0.7647,0.2368,0.5528,0.5528
"37","37_01_Composite.tif",0,1,0,0.2223,0.2217,0,0.0615,0.5528,0.5528
"28","37_02_Composite.tif",0,0,1,0.7118,0.701,0.6086,0.2041,0.5128,0.5128
"38","37_02_Composite.tif",0,1,0,0.314,0.2859,0,0.0765,0.5128,0.5128
"29","37_03_Composite.tif",0,0,1,0.6869,0.6778,0.625,0.2318,0.3863,0.3863
"39","37_03_Composite.tif",0,1,0,0.114,0.114,0,0.0735,0.3863,0.3863
