"x","y","z","intensity"
43,127,0,45.6666666666667
126.666666666667,126.666666666667,0,51.3333333333333
15.2857142857143,126.571428571429,0,52.1428571428571
34,125.8,0,65.5
126.090909090909,119.363636363636,0,99.3636363636364
120.166666666667,118.833333333333,0,53
10.8148148148148,119.185185185185,0,77.7407407407407
19.3,111.7,0,55.2
8.60606060606061,107.242424242424,0,96.6969696969697
87.4385964912281,98.2456140350877,0,156.035087719298
94.9090909090909,90.6363636363636,0,66.9090909090909
10.4705882352941,91.4117647058823,0,141.847058823529
83.125,87.65625,0,129.34375
0,84,0,112
89.2,82,0,69
72.25,85.0416666666667,0,78.2083333333333
77.625,78.25,0,70
63.75,77.875,0,63.625
70,74.5,0,73
4,75,0,100.857142857143
72,70.2,0,61.6
11.2571428571429,74.3142857142857,0,151.957142857143
62.6363636363636,68.5454545454545,0,74.7272727272727
54.8,66.6,0,48.8
3.76923076923077,64.1538461538462,0,88
44,59.5,0,57.5
120.875,58.875,0,45.875
125.5,57,0,46
99.9130434782609,52.6521739130435,0,54.5652173913044
44,50.5,0,44.5
122.5,45.8125,0,49.875
26,45.5,0,45.9166666666667
41,39,0,29.3333333333333
86,40.2142857142857,0,44.1428571428571
100.5,38,0,45.25
78.3333333333333,34.3333333333333,0,40.6666666666667
97.5,33,0,43.5
33.6666666666667,32.6666666666667,0,39
19,30,0,59
25.3478260869565,30.0434782608696,0,88.8695652173913
2,28,0,28
72.5714285714286,27.7142857142857,0,64
95.2592592592593,25.4814814814815,0,70.8518518518518
31.875,25.125,0,56.125
82.1111111111111,24.2222222222222,0,58.6666666666667
71.6470588235294,21.4117647058824,0,71.1764705882353
61.8,15.9,0,66.2
75.875,12.875,0,54
56.5,11.5,0,99.1666666666667
58.625,4.75,0,91.75
69.2758620689655,4.6551724137931,0,79.448275862069
56.5,0.333333333333333,0,79.6666666666667
