"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","07_10_Composite.tif",0,0,1,0.4236,0.4438,0.4102,0.1491,0.3037,0.3037
"3","07_10_Composite.tif",0,1,0,0.2158,0.2233,0.1428,0.081,0.3037,0.3037
"21","07_11_Composite.tif",0,0,1,0.1589,0.1627,0.1296,0.0581,0.1755,0.1755
"31","07_11_Composite.tif",0,1,0,0.2346,0.2419,0.0303,0.0722,0.1755,0.1755
"22","07_12_Composite.tif",0,0,1,0.3515,0.3817,0.3461,0.1476,0.4318,0.4318
"32","07_12_Composite.tif",0,1,0,0.1936,0.1881,0.0714,0.0614,0.4318,0.4318
"23","07_13_Composite.tif",0,0,1,0.6822,0.6988,0.6571,0.2631,0.4109,0.4109
"33","07_13_Composite.tif",0,1,0,0.1369,0.1381,0,0.0324,0.4109,0.4109
"24","07_14_Composite.tif",0,0,1,0.3986,0.4062,0.3703,0.1391,0.4111,0.4111
"34","07_14_Composite.tif",0,1,0,0.2749,0.2807,0.3125,0.142,0.4111,0.4111
"25","07_15_Composite.tif",0,0,1,0.159,0.1595,0.1521,0.0731,0.1946,0.1946
"35","07_15_Composite.tif",0,1,0,0.1565,0.1567,0.1724,0.0738,0.1946,0.1946
"26","07_16_Composite.tif",0,0,1,0.2666,0.2773,0.2826,0.1051,0.2884,0.2884
"36","07_16_Composite.tif",0,1,0,0.1266,0.1262,0.0208,0.0477,0.2884,0.2884
"27","07_17_Composite.tif",0,0,1,0.5988,0.6074,0.5294,0.219,0.405,0.405
"37","07_17_Composite.tif",0,1,0,0.1134,0.1097,0,0.0408,0.405,0.405
"28","07_18_Composite.tif",0,0,1,0.3238,0.3165,0.2711,0.1018,0.3228,0.3228
"38","07_18_Composite.tif",0,1,0,0.2352,0.2381,0.1025,0.0582,0.3228,0.3228
"29","07_19_Composite.tif",0,0,1,0.1048,0.107,0.0895,0.056,0.147,0.147
"39","07_19_Composite.tif",0,1,0,0.1434,0.1529,0.0322,0.0693,0.147,0.147
"210","07_1_Composite.tif",0,0,1,0.2611,0.2544,0.2,0.0882,0.2949,0.2949
"310","07_1_Composite.tif",0,1,0,0.2387,0.242,0.119,0.0652,0.2949,0.2949
"211","07_20_Composite.tif",0,0,1,0.4576,0.4505,0.2894,0.1277,0.4553,0.4553
"311","07_20_Composite.tif",0,1,0,0.3196,0.3139,0.2272,0.13,0.4553,0.4553
"212","07_21_Composite.tif",0,0,1,0.4086,0.4395,0.3777,0.1352,0.4179,0.4179
"312","07_21_Composite.tif",0,1,0,0.2423,0.2445,0.0833,0.0891,0.4179,0.4179
"213","07_22_Composite.tif",0,0,1,0.4137,0.4527,0.3571,0.1533,0.4347,0.4347
"313","07_22_Composite.tif",0,1,0,0.1929,0.1905,0.1,0.0961,0.4347,0.4347
"214","07_23_Composite.tif",0,0,1,0.6756,0.694,0.6,0.1966,0.4155,0.4155
"314","07_23_Composite.tif",0,1,0,0.1156,0.115,0,0.0323,0.4155,0.4155
"215","07_24_Composite.tif",0,0,1,0.5547,0.5638,0.5714,0.19,0.3436,0.3436
"315","07_24_Composite.tif",0,1,0,0.1784,0.1763,0.0476,0.0477,0.3436,0.3436
"216","07_25_Composite.tif",0,0,1,0.2958,0.3017,0.3125,0.111,0.2661,0.2661
"316","07_25_Composite.tif",0,1,0,0.2003,0.1986,0.0833,0.0837,0.2661,0.2661
"217","07_26_Composite.tif",0,0,1,0.7048,0.7272,0.6818,0.1888,0.3985,0.3985
"317","07_26_Composite.tif",0,1,0,0.164,0.1602,0.1,0.0557,0.3985,0.3985
"218","07_27_Composite.tif",0,0,1,0.118,0.121,0.12,0.0635,0.2142,0.2142
"318","07_27_Composite.tif",0,1,0,0.1839,0.1939,0.1162,0.0916,0.2142,0.2142
"219","07_28_Composite.tif",0,0,1,0.1142,0.1164,0.0952,0.057,0.1427,0.1427
"319","07_28_Composite.tif",0,1,0,0.1432,0.155,0.0303,0.074,0.1427,0.1427
"220","07_29_Composite.tif",0,0,1,0.2839,0.292,0.2631,0.1005,0.3517,0.3517
"320","07_29_Composite.tif",0,1,0,0.2162,0.2167,0.0476,0.0775,0.3517,0.3517
"221","07_2_Composite.tif",0,0,1,0.4328,0.4223,0.45,0.1501,0.3148,0.3148
"321","07_2_Composite.tif",0,1,0,0.0896,0.0924,0,0.0751,0.3148,0.3148
"222","07_30_Composite.tif",0,0,1,0.2664,0.2563,0.1896,0.0718,0.2847,0.2847
"322","07_30_Composite.tif",0,1,0,0.282,0.2819,0.1351,0.0798,0.2847,0.2847
"223","07_31_Composite.tif",0,0,1,0.4502,0.455,0.3333,0.1401,0.4648,0.4648
"323","07_31_Composite.tif",0,1,0,0.3011,0.3012,0.25,0.1311,0.4648,0.4648
"224","07_32_Composite.tif",0,0,1,0.1338,0.1309,0.0833,0.0462,0.2599,0.2599
"324","07_32_Composite.tif",0,1,0,0.246,0.2483,0.1923,0.0917,0.2599,0.2599
"225","07_33_Composite.tif",0,0,1,0.2299,0.2207,0.08,0.0682,0.2994,0.2994
"325","07_33_Composite.tif",0,1,0,0.3161,0.3145,0.2972,0.145,0.2994,0.2994
"226","07_34_Composite.tif",0,0,1,0.697,0.7207,0.7777,0.2596,0.4273,0.4273
"326","07_34_Composite.tif",0,1,0,0.0879,0.0874,0,0.0293,0.4273,0.4273
"227","07_3_Composite.tif",0,0,1,0.1648,0.1728,0.2,0.0857,0.2888,0.2888
"327","07_3_Composite.tif",0,1,0,0.2643,0.2687,0.1904,0.1022,0.2888,0.2888
"228","07_4_Composite.tif",0,0,1,0.228,0.225,0.132,0.0758,0.3198,0.3198
"328","07_4_Composite.tif",0,1,0,0.2873,0.2858,0.1794,0.0745,0.3198,0.3198
"229","07_5_Composite.tif",0,0,1,0.6931,0.6913,0.5,0.1869,0.5515,0.5515
"329","07_5_Composite.tif",0,1,0,0.3315,0.3222,0.0625,0.0493,0.5515,0.5515
"230","07_6_Composite.tif",0,0,1,0.1974,0.2068,0.1351,0.0645,0.2958,0.2958
"330","07_6_Composite.tif",0,1,0,0.3113,0.3085,0.1428,0.0964,0.2958,0.2958
"231","07_7_Composite.tif",0,0,1,0.4328,0.4618,0.2765,0.1354,0.4341,0.4341
"331","07_7_Composite.tif",0,1,0,0.2689,0.2661,0.0588,0.1175,0.4341,0.4341
"232","07_8_Composite.tif",0,0,1,0.1565,0.1633,0.0869,0.0417,0.191,0.191
"332","07_8_Composite.tif",0,1,0,0.2189,0.2084,0.1071,0.0664,0.191,0.191
"233","07_9_Composite.tif",0,0,1,0.1635,0.1767,0.1818,0.078,0.2161,0.2161
"333","07_9_Composite.tif",0,1,0,0.2004,0.2025,0.25,0.0896,0.2161,0.2161
"234","09_10_Composite.tif",0,0,1,0.3913,0.3848,0.25,0.0824,0.4179,0.4179
"334","09_10_Composite.tif",0,1,0,0.2627,0.2625,0.1875,0.0977,0.4179,0.4179
"235","09_11_Composite.tif",0,0,1,0.5554,0.5638,0.3636,0.177,0.5952,0.5952
"335","09_11_Composite.tif",0,1,0,0.3359,0.2884,0,0.0675,0.5952,0.5952
"236","09_12_Composite.tif",0,0,1,0.1762,0.2034,0.1875,0.069,0.2288,0.2288
"336","09_12_Composite.tif",0,1,0,0.1615,0.1918,0.0769,0.047,0.2288,0.2288
"237","09_13_Composite.tif",0,0,1,0.4796,0.5034,0.3043,0.1307,0.4168,0.4168
"337","09_13_Composite.tif",0,1,0,0.1639,0.1606,0,0.0287,0.4168,0.4168
"238","09_14_Composite.tif",0,0,1,0.4438,0.4718,0.4642,0.1526,0.501,0.501
"338","09_14_Composite.tif",0,1,0,0.3236,0.2855,0.125,0.1015,0.501,0.501
"239","09_15_Composite.tif",0,0,1,0.8484,0.8482,0.6666,0.213,0.6002,0.6002
"339","09_15_Composite.tif",0,1,0,0.2443,0.2439,0,0.064,0.6002,0.6002
"240","09_16_Composite.tif",0,0,1,0.7904,0.7853,0.6153,0.184,0.583,0.583
"340","09_16_Composite.tif",0,1,0,0.21,0.2076,0,0.0684,0.583,0.583
"241","09_17_Composite.tif",0,0,1,0.5245,0.469,0.3571,0.1735,0.5035,0.5035
"341","09_17_Composite.tif",0,1,0,0.0849,0.0808,0,0.0392,0.5035,0.5035
"242","09_18_Composite.tif",0,0,1,0.6894,0.5774,0.6428,0.2073,0.6076,0.6076
"342","09_18_Composite.tif",0,1,0,0.0825,0.0797,0,0.0603,0.6076,0.6076
"243","09_19_Composite.tif",0,0,1,0.3786,0.3597,0.25,0.0896,0.3204,0.3204
"343","09_19_Composite.tif",0,1,0,0.1432,0.1401,0,0.0625,0.3204,0.3204
"244","09_1_Composite.tif",0,0,1,0.6907,0.7073,0.6666,0.2246,0.4351,0.4351
"344","09_1_Composite.tif",0,1,0,0.1312,0.1319,0.0666,0.0537,0.4351,0.4351
"245","09_20_Composite.tif",0,0,1,0.8428,0.8378,0.5555,0.1871,0.5479,0.5479
"345","09_20_Composite.tif",0,1,0,0.1679,0.165,0,0.0514,0.5479,0.5479
"246","09_21_Composite.tif",0,0,1,0.2975,0.3285,0.1875,0.1004,0.3724,0.3724
"346","09_21_Composite.tif",0,1,0,0.3082,0.3298,0.2916,0.1167,0.3724,0.3724
"247","09_22_Composite.tif",0,0,1,0.3487,0.4177,0.45,0.1732,0.3905,0.3905
"347","09_22_Composite.tif",0,1,0,0.1911,0.1787,0,0.0637,0.3905,0.3905
"248","09_23_Composite.tif",0,0,1,0.3701,0.41,0.3157,0.1387,0.4639,0.4639
"348","09_23_Composite.tif",0,1,0,0.3055,0.2928,0,0.0571,0.4639,0.4639
"249","09_24_Composite.tif",0,0,1,0.6144,0.6057,0.5897,0.191,0.5123,0.5123
"349","09_24_Composite.tif",0,1,0,0.2207,0.2155,0.12,0.092,0.5123,0.5123
"250","09_25_Composite.tif",0,0,1,0.5994,0.6066,0.6428,0.1607,0.4891,0.4891
"350","09_25_Composite.tif",0,1,0,0.2284,0.226,0,0.0822,0.4891,0.4891
"251","09_26_Composite.tif",0,0,1,0.6209,0.6285,0.6666,0.1731,0.4851,0.4851
"351","09_26_Composite.tif",0,1,0,0.2385,0.2368,0,0.1203,0.4851,0.4851
"252","09_27_Composite.tif",0,0,1,0.4604,0.4774,0.2,0.0871,0.507,0.507
"352","09_27_Composite.tif",0,1,0,0.4103,0.4077,0.2,0.1172,0.507,0.507
"253","09_28_Composite.tif",0,0,1,0.5682,0.5723,0.4117,0.1557,0.424,0.424
"353","09_28_Composite.tif",0,1,0,0.1426,0.1408,0.0689,0.0854,0.424,0.424
"254","09_29_Composite.tif",0,0,1,0.4197,0.4838,0.5,0.1357,0.4258,0.4258
"354","09_29_Composite.tif",0,1,0,0.2197,0.2189,0.1428,0.0984,0.4258,0.4258
"255","09_2_Composite.tif",0,0,1,0.1645,0.1604,0.0909,0.067,0.2381,0.2381
"355","09_2_Composite.tif",0,1,0,0.1107,0.1165,0,0.0472,0.2381,0.2381
"256","09_30_Composite.tif",0,0,1,0.871,0.8377,0.75,0.2218,0.5523,0.5523
"356","09_30_Composite.tif",0,1,0,0.1367,0.1367,0,0.0771,0.5523,0.5523
"257","09_31_Composite.tif",0,0,1,0.7054,0.7383,0.7272,0.199,0.5669,0.5669
"357","09_31_Composite.tif",0,1,0,0.3715,0.3725,0.5,0.1788,0.5669,0.5669
"258","09_32_Composite.tif",0,0,1,0.3831,0.3942,0.25,0.1228,0.3447,0.3447
"358","09_32_Composite.tif",0,1,0,0.1837,0.182,0,0.0635,0.3447,0.3447
"259","09_33_Composite.tif",0,0,1,0.4658,0.4686,0.3846,0.1177,0.4925,0.4925
"359","09_33_Composite.tif",0,1,0,0.2162,0.1903,0.0714,0.0615,0.4925,0.4925
"260","09_34_Composite.tif",0,0,1,0.3925,0.3771,0.3939,0.1419,0.3793,0.3793
"360","09_34_Composite.tif",0,1,0,0.1472,0.1445,0.0769,0.071,0.3793,0.3793
"261","09_3_Composite.tif",0,0,1,0.4047,0.4563,0.2758,0.1067,0.3532,0.3532
"361","09_3_Composite.tif",0,1,0,0.1401,0.1235,0,0.0236,0.3532,0.3532
"262","09_4_Composite.tif",0,0,1,0.5039,0.4827,0.3043,0.1109,0.5102,0.5102
"362","09_4_Composite.tif",0,1,0,0.309,0.2978,0,0.0561,0.5102,0.5102
"263","09_5_Composite.tif",0,0,1,0.5811,0.5873,0.4838,0.1525,0.5401,0.5401
"363","09_5_Composite.tif",0,1,0,0.2434,0.2417,0.1176,0.0724,0.5401,0.5401
"264","09_6_Composite.tif",0,0,1,0.5358,0.5592,0.2,0.1043,0.5327,0.5327
"364","09_6_Composite.tif",0,1,0,0.4741,0.4763,0.1666,0.1536,0.5327,0.5327
"265","09_7_Composite.tif",0,0,1,0.5222,0.5506,0.2222,0.0982,0.5175,0.5175
"365","09_7_Composite.tif",0,1,0,0.3213,0.3213,0,0.1276,0.5175,0.5175
"266","09_8_Composite.tif",0,0,1,0.2933,0.3021,0.2,0.111,0.3609,0.3609
"366","09_8_Composite.tif",0,1,0,0.206,0.1886,0.0384,0.085,0.3609,0.3609
"267","09_9_Composite.tif",0,0,1,0.5775,0.5562,0.3571,0.1243,0.5606,0.5606
"367","09_9_Composite.tif",0,1,0,0.3453,0.3431,0,0.0801,0.5606,0.5606
"268","37_10_Composite.tif",0,0,1,0.643,0.646,0.4736,0.144,0.5315,0.5315
"368","37_10_Composite.tif",0,1,0,0.4198,0.4188,0.2727,0.1004,0.5315,0.5315
"269","37_11_Composite.tif",0,0,1,0.8647,0.8501,0.5,0.1996,0.5993,0.5993
"369","37_11_Composite.tif",0,1,0,0.2874,0.276,0.1428,0.0564,0.5993,0.5993
"270","37_12_Composite.tif",0,0,1,0.8837,0.8946,0.5517,0.2272,0.5525,0.5525
"370","37_12_Composite.tif",0,1,0,0.3689,0.3581,0,0.1066,0.5525,0.5525
"271","37_13_Composite.tif",0,0,1,0.6943,0.6925,0.5416,0.1944,0.4825,0.4825
"371","37_13_Composite.tif",0,1,0,0.2935,0.2606,0.0833,0.0596,0.4825,0.4825
"272","37_14_Composite.tif",0,0,1,0.821,0.7871,0.8,0.352,0.4454,0.4454
"372","37_14_Composite.tif",0,1,0,0.0574,0.0573,0,0.055,0.4454,0.4454
"273","37_15_Composite.tif",0,0,1,0.6253,0.6379,0.6521,0.2346,0.4411,0.4411
"373","37_15_Composite.tif",0,1,0,0.2068,0.2124,0.0555,0.0843,0.4411,0.4411
"274","37_16_Composite.tif",0,0,1,0.2421,0.2968,0.3181,0.0784,0.2605,0.2605
"374","37_16_Composite.tif",0,1,0,0.1505,0.1504,0.2857,0.0838,0.2605,0.2605
"275","37_17_Composite.tif",0,0,1,0.567,0.624,0.4074,0.1797,0.5181,0.5181
"375","37_17_Composite.tif",0,1,0,0.3028,0.3014,0,0.1281,0.5181,0.5181
"276","37_18_Composite.tif",0,0,1,0.5202,0.5367,0.5,0.1728,0.338,0.338
"376","37_18_Composite.tif",0,1,0,0.0873,0.0911,0,0.0424,0.338,0.338
"277","37_19_Composite.tif",0,0,1,0.5406,0.6013,0.6153,0.224,0.3471,0.3471
"377","37_19_Composite.tif",0,1,0,0.1067,0.0995,0.0769,0.0583,0.3471,0.3471
"278","37_1_Composite.tif",0,0,1,0.7286,0.7489,0.5416,0.2249,0.4838,0.4838
"378","37_1_Composite.tif",0,1,0,0.1923,0.175,0,0.0245,0.4838,0.4838
"279","37_20_Composite.tif",0,0,1,0.6601,0.6852,0.6071,0.1819,0.4545,0.4545
"379","37_20_Composite.tif",0,1,0,0.2,0.1757,0.0909,0.0643,0.4545,0.4545
"280","37_21_Composite.tif",0,0,1,0.4294,0.455,0.2272,0.1328,0.3835,0.3835
"380","37_21_Composite.tif",0,1,0,0.0958,0.1023,0,0.0556,0.3835,0.3835
"281","37_22_Composite.tif",0,0,1,0.8284,0.8015,0.8125,0.3683,0.4954,0.4954
"381","37_22_Composite.tif",0,1,0,0.0845,0.0799,0,0.0553,0.4954,0.4954
"282","37_23_Composite.tif",0,0,1,0.6801,0.6891,0.5555,0.2413,0.5388,0.5388
"382","37_23_Composite.tif",0,1,0,0.3969,0.3737,0.3,0.1064,0.5388,0.5388
"283","37_24_Composite.tif",0,0,1,0.3132,0.3405,0.3333,0.1247,0.2351,0.2351
"383","37_24_Composite.tif",0,1,0,0.0407,0.0395,0,0.03,0.2351,0.2351
"284","37_25_Composite.tif",0,0,1,0.6002,0.6122,0.5,0.1638,0.4268,0.4268
"384","37_25_Composite.tif",0,1,0,0.2091,0.1836,0.1111,0.0805,0.4268,0.4268
"285","37_26_Composite.tif",0,0,1,0.696,0.7288,0.5882,0.2018,0.545,0.545
"385","37_26_Composite.tif",0,1,0,0.3075,0.3021,0.3333,0.1403,0.545,0.545
"286","37_27_Composite.tif",0,0,1,0.3634,0.4,0.6,0.1558,0.2546,0.2546
"386","37_27_Composite.tif",0,1,0,0.0331,0.0323,0,0.033,0.2546,0.2546
"287","37_28_Composite.tif",0,0,1,0.6098,0.6325,0.5625,0.174,0.3965,0.3965
"387","37_28_Composite.tif",0,1,0,0.1239,0.117,0.1666,0.0676,0.3965,0.3965
"288","37_29_Composite.tif",0,0,1,0.7562,0.7551,0.5555,0.2711,0.5521,0.5521
"388","37_29_Composite.tif",0,1,0,0.1767,0.1742,0,0.0379,0.5521,0.5521
"289","37_2_Composite.tif",0,0,1,0.7534,0.7594,0.6428,0.2477,0.5852,0.5852
"389","37_2_Composite.tif",0,1,0,0.4429,0.4372,0.2857,0.1196,0.5852,0.5852
"290","37_30_Composite.tif",0,0,1,0.7921,0.7841,0.775,0.2453,0.4697,0.4697
"390","37_30_Composite.tif",0,1,0,0.1987,0.1947,0.0769,0.0583,0.4697,0.4697
"291","37_31_Composite.tif",0,0,1,0.6881,0.6982,0.5294,0.2254,0.5481,0.5481
"391","37_31_Composite.tif",0,1,0,0.4095,0.3846,0.3333,0.1206,0.5481,0.5481
"292","37_32_Composite.tif",0,0,1,0.8498,0.814,0.8095,0.3474,0.4569,0.4569
"392","37_32_Composite.tif",0,1,0,0.0575,0.0542,0,0.0412,0.4569,0.4569
