x,y
130.0,199.0
128.5,196.5
109.0,195.0
125.0,194.0
120.0,194.0
108.5,193.0
108.5,189.5
111.33333333333333,188.66666666666666
123.66666666666667,183.33333333333334
117.0,184.0
110.5,182.5
119.57142857142857,182.71428571428572
127.0,181.6
111.66666666666667,180.0
107.25,180.25
109.0,178.0
114.66666666666667,176.66666666666666
121.0,175.0
112.5,175.5
122.0,173.0
106.0,173.75
127.0,175.0
112.0,171.0
120.0,170.33333333333334
124.33333333333333,169.66666666666666
110.0,169.0
108.0,168.0
105.5,169.5
119.0,165.0
122.0,164.0
111.0,163.0
107.6,163.2
123.0,161.0
110.5,160.5
121.5,158.5
113.0,158.0
111.0,158.0
119.0,157.0
116.0,157.0
114.33333333333333,150.0
117.0,148.0
118.0,145.0
115.0,144.0
111.0,142.0
106.58333333333333,144.83333333333334
115.5,137.5
118.0,135.5
112.0,135.66666666666666
118.0,133.0
114.0,133.0
116.0,131.5
99.0,129.33333333333334
113.0,128.0
102.5,128.5
109.0,127.0
113.5,126.0
113.0,124.0
96.0,125.5
110.0,121.0
108.0,119.0
94.25,119.0
108.0,112.0
106.0,112.0
89.0,112.0
194.66666666666666,112.0
192.0,111.0
104.0,111.0
91.33333333333333,111.33333333333333
89.0,110.0
89.0,108.0
176.0,104.0
105.0,104.0
188.0,103.0
169.0,103.0
106.0,102.0
87.83333333333333,103.83333333333333
92.0,101.0
182.0,100.0
94.0,100.0
173.0,99.5
105.5,99.0
100.0,98.0
168.0,97.5
105.0,97.0
85.0,97.5
199.0,96.0
101.5,96.0
199.0,93.0
197.0,93.0
161.5,93.0
158.0,93.0
156.0,93.0
151.0,93.0
176.0,94.0
164.0,92.0
86.0,92.0
193.0,91.0
151.0,91.0
148.0,91.0
88.0,91.5
158.0,90.0
155.33333333333334,90.33333333333333
101.5,89.0
99.25,91.0
93.0,89.0
83.0,90.0
174.0,88.0
170.5,88.0
100.0,87.0
174.0,86.0
82.66666666666667,86.66666666666667
98.5,85.0
147.0,85.0
159.0,83.75
157.0,82.0
149.0,81.0
99.0,81.5
85.0,81.0
83.5,79.0
174.0,78.0
146.875,78.25
99.0,77.0
160.5,75.5
170.0,73.5
158.0,73.0
165.4,70.6
139.0,70.33333333333333
97.0,71.0
79.84615384615384,71.15384615384616
146.5,69.0
143.5,69.0
90.0,68.0
150.0,67.5
87.0,66.0
77.5,66.5
97.0,65.5
136.0,62.0
81.0,62.0
95.0,61.0
94.0,59.0
132.0,57.0
127.0,57.0
19.0,57.0
139.0,56.0
129.0,56.0
93.0,55.0
76.83333333333333,57.5
93.5,53.0
130.0,52.0
161.0,50.0
128.0,50.0
92.0,49.5
79.0,49.0
77.0,48.0
146.0,47.0
142.0,45.0
144.0,44.0
89.5,44.5
82.25,44.75
154.0,43.5
120.75,40.75
130.0,38.0
75.0,38.333333333333336
117.33333333333333,36.333333333333336
88.0,34.0
72.66666666666667,35.0
74.0,33.0
91.0,31.0
91.0,29.0
121.0,27.0
115.0,27.0
73.5,26.5
121.0,24.0
74.0,23.0
135.5,22.5
97.0,21.5
137.0,20.0
99.0,19.0
142.0,18.0
137.0,18.0
105.0,17.0
100.5,15.5
73.0,16.0
71.66666666666667,12.333333333333334
72.0,10.0
72.0,8.0
105.66666666666667,8.333333333333334
68.0,4.333333333333333
129.0,1.0
126.16666666666667,1.0
108.0,0.0
64.0,0.0
