"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","12_D1_Composite.tif",0,0,1,0.3579,0.3562,0,0.0544,0.5971,0.5971
"3","12_D1_Composite.tif",0,1,0,0.9022,0.9113,0.8076,0.3475,0.5971,0.5971
"21","51_D1_Composite.tif",0,0,1,0.0675,0.0628,0.0322,0.0356,0.2399,0.2399
"31","51_D1_Composite.tif",0,1,0,0.4494,0.4573,0.4347,0.1901,0.2399,0.2399
"22","52_D1_Composite.tif",0,0,1,0.1186,0.1095,0.0357,0.031,0.3725,0.3725
"32","52_D1_Composite.tif",0,1,0,0.7832,0.7916,0.6111,0.2765,0.3725,0.3725
"23","52_D2_Composite.tif",0,0,1,0.2745,0.2672,0,0.042,0.4848,0.4848
"33","52_D2_Composite.tif",0,1,0,0.6328,0.6487,0.3793,0.1545,0.4848,0.4848
"24","53_D1_Composite.tif",0,0,1,0.1295,0.1307,0.0555,0.0891,0.3578,0.3578
"34","53_D1_Composite.tif",0,1,0,0.5421,0.5826,0.5,0.1932,0.3578,0.3578
"25","54_D1_Composite.tif",0,0,1,0.192,0.1725,0.0476,0.0881,0.3794,0.3794
"35","54_D1_Composite.tif",0,1,0,0.5124,0.5241,0.4482,0.2213,0.3794,0.3794
"26","56_D1_Composite.tif",0,0,1,0.1019,0.0996,0,0.0182,0.3756,0.3756
"36","56_D1_Composite.tif",0,1,0,0.7853,0.7611,0.6129,0.2826,0.3756,0.3756
"27","57_D1_Composite.tif",0,0,1,0.1925,0.1859,0,0.0302,0.4479,0.4479
"37","57_D1_Composite.tif",0,1,0,0.7616,0.7549,0.5,0.2353,0.4479,0.4479
"28","57_D2_Composite.tif",0,0,1,0.1058,0.0996,0.0263,0.0338,0.2895,0.2895
"38","57_D2_Composite.tif",0,1,0,0.3489,0.4229,0.2666,0.1342,0.2895,0.2895
"29","57_D3_Composite.tif",0,0,1,0.1234,0.1165,0,0.0197,0.418,0.418
"39","57_D3_Composite.tif",0,1,0,0.6449,0.6818,0.6086,0.2353,0.418,0.418
