"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","12_10_Composite.tif",0,0,1,0.3627,0.3626,0,0.0656,0.7074,0.7074
"3","12_10_Composite.tif",0,1,0,0.9658,0.9627,0.8,0.2512,0.7074,0.7074
"21","12_11_Composite.tif",0,0,1,0.227,0.2252,0,0.0505,0.5912,0.5912
"31","12_11_Composite.tif",0,1,0,0.9257,0.9235,0.8333,0.2649,0.5912,0.5912
"22","12_12_Composite.tif",0,0,1,0.0949,0.095,0,0.0168,0.3753,0.3753
"32","12_12_Composite.tif",0,1,0,0.7352,0.7738,0.7142,0.2113,0.3753,0.3753
"23","12_13_Composite.tif",0,0,1,0.3037,0.3006,0,0.0384,0.5728,0.5728
"33","12_13_Composite.tif",0,1,0,0.8984,0.8998,0.76,0.2294,0.5728,0.5728
"24","12_14_Composite.tif",0,0,1,0.1044,0.112,0.0526,0.0251,0.3691,0.3691
"34","12_14_Composite.tif",0,1,0,0.2111,0.2808,0.2,0.1063,0.3691,0.3691
"25","12_15_Composite.tif",0,0,1,0.1295,0.1299,0.0588,0.0271,0.3653,0.3653
"35","12_15_Composite.tif",0,1,0,0.2557,0.3006,0.2,0.1084,0.3653,0.3653
"26","12_1_Composite.tif",0,0,1,0.1626,0.162,0,0.0606,0.5757,0.5757
"36","12_1_Composite.tif",0,1,0,0.923,0.9219,0.8636,0.2278,0.5757,0.5757
"27","12_2_Composite.tif",0,0,1,0.2325,0.2292,0,0.0498,0.6043,0.6043
"37","12_2_Composite.tif",0,1,0,0.9208,0.928,0.8,0.2413,0.6043,0.6043
"28","12_3_Composite.tif",0,0,1,0.0746,0.0741,0,0.0072,0.3741,0.3741
"38","12_3_Composite.tif",0,1,0,0.6602,0.6616,0.5416,0.1933,0.3741,0.3741
"29","12_4_Composite.tif",0,0,1,0.2177,0.2159,0,0.048,0.6053,0.6053
"39","12_4_Composite.tif",0,1,0,0.8581,0.8377,0.5333,0.1483,0.6053,0.6053
"210","12_5_Composite.tif",0,0,1,0.0779,0.0709,0,0.0143,0.3259,0.3259
"310","12_5_Composite.tif",0,1,0,0.7339,0.7456,0.7777,0.3035,0.3259,0.3259
"211","12_6_Composite.tif",0,0,1,0.2003,0.2,0,0.0381,0.6861,0.6861
"311","12_6_Composite.tif",0,1,0,0.9621,0.9579,0.9393,0.308,0.6861,0.6861
"212","12_7_Composite.tif",0,0,1,0.2076,0.2025,0,0.0294,0.5391,0.5391
"312","12_7_Composite.tif",0,1,0,0.6923,0.6754,0.55,0.1796,0.5391,0.5391
"213","12_8_Composite.tif",0,0,1,0.1343,0.1318,0,0.022,0.4413,0.4413
"313","12_8_Composite.tif",0,1,0,0.9212,0.9342,0.8947,0.277,0.4413,0.4413
"214","12_9_Composite.tif",0,0,1,0.1728,0.17,0,0.0107,0.5751,0.5751
"314","12_9_Composite.tif",0,1,0,0.9901,0.988,1,0.3701,0.5751,0.5751
"215","51_10_Composite.tif",0,0,1,0.0576,0.0561,0,0.0238,0.2103,0.2103
"315","51_10_Composite.tif",0,1,0,0.3333,0.3396,0.2682,0.1528,0.2103,0.2103
"216","51_11_Composite.tif",0,0,1,0.063,0.0629,0,0.0157,0.2526,0.2526
"316","51_11_Composite.tif",0,1,0,0.5182,0.5695,0.413,0.1605,0.2526,0.2526
"217","51_12_Composite.tif",0,0,1,0.0786,0.0616,0.0123,0.0225,0.2207,0.2207
"317","51_12_Composite.tif",0,1,0,0.209,0.2356,0.1698,0.1999,0.2207,0.2207
"218","51_13_Composite.tif",0,0,1,0.0733,0.0731,0.0333,0.0215,0.2865,0.2865
"318","51_13_Composite.tif",0,1,0,0.5883,0.682,0.5581,0.1818,0.2865,0.2865
"219","51_14_Composite.tif",0,0,1,0.1076,0.0949,0.0333,0.0279,0.3059,0.3059
"319","51_14_Composite.tif",0,1,0,0.2915,0.3387,0.2812,0.2386,0.3059,0.3059
"220","51_15_Composite.tif",0,0,1,0.0739,0.0729,0.0153,0.0148,0.2587,0.2587
"320","51_15_Composite.tif",0,1,0,0.5233,0.6004,0.375,0.1678,0.2587,0.2587
"221","51_1_Composite.tif",0,0,1,0.0841,0.0842,0.0204,0.0149,0.3036,0.3036
"321","51_1_Composite.tif",0,1,0,0.636,0.7054,0.4883,0.1867,0.3036,0.3036
"222","51_2_Composite.tif",0,0,1,0.0787,0.0724,0.0238,0.0327,0.274,0.274
"322","51_2_Composite.tif",0,1,0,0.3069,0.3036,0.2702,0.1844,0.274,0.274
"223","51_3_Composite.tif",0,0,1,0.0978,0.0838,0.04,0.027,0.2683,0.2683
"323","51_3_Composite.tif",0,1,0,0.3222,0.365,0.2765,0.2193,0.2683,0.2683
"224","51_4_Composite.tif",0,0,1,0.0884,0.0813,0,0.0163,0.2525,0.2525
"324","51_4_Composite.tif",0,1,0,0.4493,0.4892,0.3636,0.1975,0.2525,0.2525
"225","51_5_Composite.tif",0,0,1,0.1067,0.094,0.081,0.0408,0.3032,0.3032
"325","51_5_Composite.tif",0,1,0,0.3143,0.3427,0.2368,0.2138,0.3032,0.3032
"226","51_6_Composite.tif",0,0,1,0.0986,0.0887,0.0188,0.0234,0.257,0.257
"326","51_6_Composite.tif",0,1,0,0.3581,0.3602,0.2424,0.1503,0.257,0.257
"227","51_7_Composite.tif",0,0,1,0.0917,0.0757,0.0208,0.0226,0.2807,0.2807
"327","51_7_Composite.tif",0,1,0,0.2614,0.2721,0.1935,0.196,0.2807,0.2807
"228","51_8_Composite.tif",0,0,1,0.0847,0.0722,0.0175,0.0307,0.2631,0.2631
"328","51_8_Composite.tif",0,1,0,0.3037,0.2882,0.225,0.1719,0.2631,0.2631
"229","51_9_Composite.tif",0,0,1,0.0989,0.0913,0.0185,0.0198,0.3037,0.3037
"329","51_9_Composite.tif",0,1,0,0.4987,0.5131,0.4285,0.223,0.3037,0.3037
"230","52_10_Composite.tif",0,0,1,0.0926,0.089,0,0.02,0.3519,0.3519
"330","52_10_Composite.tif",0,1,0,0.6804,0.6728,0.5937,0.1904,0.3519,0.3519
