x,y
96.0,123.0
108.0,121.5
110.0,119.2
77.0,117.0
97.0,116.0
56.5,114.5
112.0,113.0
97.0,109.0
92.5,109.5
112.5,106.0
91.5,106.5
96.5,104.5
94.0,104.0
91.5,104.0
98.0,103.0
98.0,101.0
107.8,101.0
100.5,99.0
109.0,96.0
107.0,96.0
86.6666666666667,91.8333333333333
111.333333333333,89.6666666666667
93.0,89.0
113.0,88.0
91.0,88.0
86.0,88.5
110.0,87.0
108.0,83.5
99.0,82.6666666666667
110.75,81.5
84.5,80.5
87.0,79.0
87.0,77.0
84.0,76.0
76.0,73.0
103.75,69.25
79.6,65.2
30.375,66.375
39.0,63.0
37.0,63.0
105.5,62.0
27.8,63.2
90.0,61.0
73.5,61.0
67.0,60.5
65.0,59.0
11.25,59.5
21.5555555555556,57.0
85.5,55.0
60.6666666666667,52.0
103.0,50.0
60.0,49.5
73.0,47.5
103.0,45.0
56.0,44.0
52.4444444444444,40.3333333333333
89.0,38.0
87.0,38.0
29.75,36.5
66.3,36.9
18.0,35.6666666666667
26.0,32.0
93.0,31.0
23.8333333333333,32.5
79.0,29.0
103.0,27.0
100.666666666667,27.3333333333333
77.0,27.0
18.6666666666667,28.0
111.0,26.0
79.0,26.0
17.0,26.0
11.5,25.0
102.5,24.5
75.0,24.25
45.0,24.0
95.3333333333333,24.0
97.0,22.0
2.0,21.0
79.5,20.0
2.0,19.0
80.0,18.0
73.0,18.0
71.0,18.0
105.666666666667,16.0
61.5,15.0
104.0,14.0
50.5,14.5
71.0,13.0
62.0,13.0
48.0,13.5
78.0,12.0
73.2,12.0
57.0,10.5
96.0,8.0
4.66666666666667,7.66666666666667
103.333333333333,7.0
100.0,6.0
98.0,6.0
79.0,6.6
5.0,5.0
61.0,5.25
23.0,4.0
4.0,3.0
98.0,2.0
21.0,1.5
100.0,0.0
98.0,0.0
