Time;Nb detections 1;Nb detections 2;% of 1 (center of mass) inside masks 2;p-value (1 inside masks 2, Analytical);log p-value (1 inside masks 2);Ripley step;Ripley r_max;Max. of the K function;p-value (SODA);log_10(p-value);% (fit of K function) of 2 coloc. with 1;Distance of Coloc. (fit);% (SODA) of 2 coloc. with 1;Distance of Coloc. (SODA)
02_A1;68,00;36,00;0,06;0,03;-1,58;1,00;5,00;5,36;0,00;-6,67;1,00;2,65;0,65;3,18
02_A2;68,00;53,00;0,11;0,00;-8,36;1,00;5,00;5,53;0,00;-7,09;1,00;3,00;0,52;3,32
02_A3;80,00;60,00;0,07;0,00;-3,35;1,00;5,00;5,38;0,00;-6,72;0,50;2,00;0,40;3,60
02_A5;83,00;43,00;0,07;0,00;-3,19;1,00;5,00;4,15;0,00;-4,06;0,94;2,85;0,48;3,22
22_A1;41,00;29,00;0,14;0,00;-6,33;1,00;5,00;4,81;0,00;-5,40;0,98;2,90;0,48;2,25
02_A4;80,00;39,00;0,13;0,00;-8,03;1,00;5,00;6,38;0,00;-9,35;1,00;2,25;0,63;2,22
22_A2;67,00;35,00;0,14;0,00;-9,18;1,00;5,00;5,62;0,00;-7,30;1,00;2,60;0,62;2,89
28_A1;88,00;46,00;0,07;0,01;-2,27;1,00;5,00;4,74;0,00;-5,25;1,00;2,40;0,77;3,36
28_A2;96,00;47,00;0,09;0,00;-3,34;1,00;5,00;3,38;0,00;-2,74;0,81;2,90;0,52;3,38
31_A1;95,00;78,00;0,05;0,01;-2,15;1,00;5,00;3,58;0,00;-3,06;0,86;3,40;0,36;2,52
