"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","02_A1_Composite.tif",0,0,1,0.1454,0.1425,0,0.0329,0.4162,0.4162
"3","02_A1_Composite.tif",0,1,0,0.7985,0.7783,0.8,0.2699,0.4162,0.4162
"21","02_A2_Composite.tif",0,0,1,0.1852,0.185,0,0.051,0.4127,0.4127
"31","02_A2_Composite.tif",0,1,0,0.6495,0.6504,0.5625,0.2642,0.4127,0.4127
"22","02_A3_Composite.tif",0,0,1,0.1857,0.1867,0.1578,0.0776,0.4128,0.4128
"32","02_A3_Composite.tif",0,1,0,0.7022,0.7278,0.6571,0.2602,0.4128,0.4128
"23","02_A4_Composite.tif",0,0,1,0.2104,0.2235,0,0.0613,0.4771,0.4771
"33","02_A4_Composite.tif",0,1,0,0.8635,0.7983,0.7391,0.261,0.4771,0.4771
"24","02_A5_Composite.tif",0,0,1,0.1151,0.1076,0,0.0255,0.3537,0.3537
"34","02_A5_Composite.tif",0,1,0,0.6588,0.6092,0.5217,0.2248,0.3537,0.3537
"25","22_A1_Composite.tif",0,0,1,0.4089,0.3857,0,0.0823,0.5561,0.5561
"35","22_A1_Composite.tif",0,1,0,0.7993,0.8359,0.6,0.2416,0.5561,0.5561
"26","22_A2_Composite.tif",0,0,1,0.1609,0.1566,0,0.0122,0.5095,0.5095
"36","22_A2_Composite.tif",0,1,0,0.8466,0.8414,0.4666,0.2099,0.5095,0.5095
"27","28_A1_Composite.tif",0,0,1,0.1015,0.102,0.25,0.0786,0.333,0.333
"37","28_A1_Composite.tif",0,1,0,0.7326,0.7227,0.7352,0.2138,0.333,0.333
"28","28_A2_Composite.tif",0,0,1,0.0919,0.0926,0,0.0473,0.2684,0.2684
"38","28_A2_Composite.tif",0,1,0,0.2966,0.319,0.2926,0.1408,0.2684,0.2684
"29","31_A1_Composite.tif",0,0,1,0.1287,0.1251,0.0714,0.0532,0.3011,0.3011
"39","31_A1_Composite.tif",0,1,0,0.5582,0.5898,0.5396,0.2196,0.3011,0.3011
