"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","02_10_Composite.tif",0,0,1,0.1122,0.1073,0.0384,0.0693,0.513,0.513
"3","02_10_Composite.tif",0,1,0,0.4384,0.3944,0.4375,0.1699,0.513,0.513
"21","02_11_Composite.tif",0,0,1,0.2786,0.2829,0.1333,0.1038,0.5785,0.5785
"31","02_11_Composite.tif",0,1,0,0.5268,0.526,0.375,0.1527,0.5785,0.5785
"22","02_12_Composite.tif",0,0,1,0.241,0.2659,0.0909,0.0876,0.4804,0.4804
"32","02_12_Composite.tif",0,1,0,0.4187,0.4188,0.3636,0.1171,0.4804,0.4804
"23","02_13_Composite.tif",0,0,1,0.2563,0.2611,0.074,0.1155,0.5232,0.5232
"33","02_13_Composite.tif",0,1,0,0.5076,0.5054,0.3793,0.1596,0.5232,0.5232
"24","02_14_Composite.tif",0,0,1,0.5948,0.594,0.6666,0.2197,0.6869,0.6869
"34","02_14_Composite.tif",0,1,0,0.6454,0.6337,0.3076,0.1129,0.6869,0.6869
"25","02_15_Composite.tif",0,0,1,0.5613,0.549,0.2857,0.1097,0.6869,0.6869
"35","02_15_Composite.tif",0,1,0,0.8123,0.8031,0.4,0.1362,0.6869,0.6869
"26","02_16_Composite.tif",0,0,1,0.2807,0.2804,0.15,0.1086,0.5222,0.5222
"36","02_16_Composite.tif",0,1,0,0.4531,0.4545,0.2631,0.1379,0.5222,0.5222
"27","02_17_Composite.tif",0,0,1,0.4629,0.4671,0.4,0.1604,0.5859,0.5859
"37","02_17_Composite.tif",0,1,0,0.4611,0.4634,0.5,0.1605,0.5859,0.5859
"28","02_18_Composite.tif",0,0,1,0.2874,0.2796,0,0.0682,0.6017,0.6017
"38","02_18_Composite.tif",0,1,0,0.8298,0.8004,0.75,0.2582,0.6017,0.6017
"29","02_19_Composite.tif",0,0,1,0.3424,0.3065,0,0.1049,0.6183,0.6183
"39","02_19_Composite.tif",0,1,0,0.5359,0.5299,0.2727,0.1469,0.6183,0.6183
"210","02_1_Composite.tif",0,0,1,0.5309,0.5162,0.1,0.0411,0.7895,0.7895
"310","02_1_Composite.tif",0,1,0,0.9033,0.8941,0.3333,0.2338,0.7895,0.7895
"211","02_20_Composite.tif",0,0,1,0.3169,0.3161,0,0.1333,0.6573,0.6573
"311","02_20_Composite.tif",0,1,0,0.8192,0.8132,0.7333,0.2669,0.6573,0.6573
"212","02_21_Composite.tif",0,0,1,0.1419,0.1355,0,0.0416,0.6252,0.6252
"312","02_21_Composite.tif",0,1,0,0.7589,0.7311,0.8,0.2626,0.6252,0.6252
"213","02_22_Composite.tif",0,0,1,0.5999,0.6038,0.25,0.1494,0.5871,0.5871
"313","02_22_Composite.tif",0,1,0,0.48,0.4827,0.2941,0.108,0.5871,0.5871
"214","02_23_Composite.tif",0,0,1,0.4947,0.5117,0.4,0.1546,0.6037,0.6037
"314","02_23_Composite.tif",0,1,0,0.4747,0.4853,0.2857,0.1546,0.6037,0.6037
"215","02_24_Composite.tif",0,0,1,0.3602,0.3627,0.1111,0.0975,0.6811,0.6811
"315","02_24_Composite.tif",0,1,0,0.8369,0.8467,0.75,0.2118,0.6811,0.6811
"216","02_25_Composite.tif",0,0,1,0.1621,0.1622,0.1,0.0638,0.633,0.633
"316","02_25_Composite.tif",0,1,0,0.7524,0.6878,0.5714,0.181,0.633,0.633
"217","02_2_Composite.tif",0,0,1,0.118,0.1127,0.0384,0.0696,0.5097,0.5097
"317","02_2_Composite.tif",0,1,0,0.4495,0.4094,0.4375,0.1698,0.5097,0.5097
"218","02_3_Composite.tif",0,0,1,0.2933,0.304,0.1923,0.1087,0.4999,0.4999
"318","02_3_Composite.tif",0,1,0,0.4294,0.4032,0.2777,0.1258,0.4999,0.4999
"219","02_4_Composite.tif",0,0,1,0.4285,0.4082,0,0.0997,0.6128,0.6128
"319","02_4_Composite.tif",0,1,0,0.5929,0.6133,0.2222,0.1427,0.6128,0.6128
"220","02_5_Composite.tif",0,0,1,0.6016,0.6024,0.75,0.2721,0.7368,0.7368
"320","02_5_Composite.tif",0,1,0,0.7222,0.7127,0.3333,0.1525,0.7368,0.7368
"221","02_6_Composite.tif",0,0,1,0.4898,0.482,0.1111,0.1157,0.6932,0.6932
"321","02_6_Composite.tif",0,1,0,0.816,0.8138,0.4166,0.1374,0.6932,0.6932
"222","02_7_Composite.tif",0,0,1,0.2011,0.1796,0,0.0888,0.6504,0.6504
"322","02_7_Composite.tif",0,1,0,0.6849,0.6433,0.6666,0.2399,0.6504,0.6504
"223","02_8_Composite.tif",0,0,1,0.3721,0.3731,0.1481,0.13,0.5429,0.5429
"323","02_8_Composite.tif",0,1,0,0.5511,0.5716,0.3529,0.1563,0.5429,0.5429
"224","02_9_Composite.tif",0,0,1,0.2807,0.2837,0.1111,0.0998,0.6625,0.6625
"324","02_9_Composite.tif",0,1,0,0.5763,0.4357,0.2222,0.1097,0.6625,0.6625
"225","22_10_Composite.tif",0,0,1,0.3757,0.3103,0.1,0.0484,0.5811,0.5811
"325","22_10_Composite.tif",0,1,0,0.7402,0.7466,0.4615,0.1532,0.5811,0.5811
"226","22_11_Composite.tif",0,0,1,0.2544,0.253,0,0.0278,0.5133,0.5133
