Time;Nb detections 1;Nb detections 2;% of 1 (center of mass) inside masks 2;p-value (1 inside masks 2, Analytical);log p-value (1 inside masks 2);Ripley step;Ripley r_max;Max. of the K function;p-value (SODA);log_10(p-value);% (fit of K function) of 2 coloc. with 1;Distance of Coloc. (fit);% (SODA) of 2 coloc. with 1;Distance of Coloc. (SODA)
33_B1;82,00;76,00;0,12;0,00;-8,24;1,00;5,00;8,07;0,00;-14,76;0,59;2,05;0,53;3,12
33_B2;87,00;91,00;0,11;0,00;-7,59;1,00;5,00;4,22;0,00;-4,19;0,97;4,05;0,48;3,11
33_B3;52,00;86,00;0,10;0,00;-8,77;1,00;5,00;5,39;0,00;-6,73;0,60;2,75;0,51;3,21
35_B1;58,00;58,00;0,84;0,00;-428,09;1,00;5,00;71,92;0,00;-1.124,80;0,98;0,40;0,97;0,22
36_B1;70,00;67,00;0,04;0,08;-1,11;1,00;5,00;6,98;0,00;-11,12;0,97;2,80;0,64;3,04
37_B1;77,00;99,00;0,11;0,00;-9,10;1,00;5,00;5,57;0,00;-7,18;0,83;2,95;0,54;3,05
38_B1;63,00;59,00;0,20;0,00;-20,28;1,00;5,00;6,05;0,00;-8,43;0,80;2,65;0,51;2,44
38_B2;54,00;65,00;0,11;0,00;-5,66;1,00;5,00;6,81;0,00;-10,59;0,68;2,85;0,62;3,58
38_B3;58,00;76,00;0,09;0,00;-5,58;1,00;5,00;7,15;0,00;-11,65;0,98;3,40;0,54;3,08
38_B4;64,00;66,00;0,12;0,00;-8,19;1,00;5,00;4,65;0,00;-5,05;0,69;2,80;0,42;2,55
