"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","33_B1_Composite.tif",0,0,1,0.3797,0.359,0.0625,0.0626,0.6399,0.6399
"3","33_B1_Composite.tif",0,1,0,0.8116,0.7903,0.5714,0.1892,0.6399,0.6399
"21","33_B2_Composite.tif",0,0,1,0.2422,0.2338,0,0.052,0.4938,0.4938
"31","33_B2_Composite.tif",0,1,0,0.6628,0.6476,0.4776,0.2164,0.4938,0.4938
"22","33_B3_Composite.tif",0,0,1,0.2655,0.2533,0.1315,0.1224,0.4269,0.4269
"32","33_B3_Composite.tif",0,1,0,0.3843,0.3561,0.2564,0.1169,0.4269,0.4269
"23","35_B1_Composite.tif",0,0,1,0.2824,0.2713,0.1904,0.1545,0.4599,0.4599
"33","35_B1_Composite.tif",0,1,0,0.5886,0.5965,0.5641,0.2118,0.4599,0.4599
"24","36_B1_Composite.tif",0,0,1,0.2636,0.2609,0.0434,0.0561,0.4823,0.4823
"34","36_B1_Composite.tif",0,1,0,0.7,0.6931,0.6086,0.2331,0.4823,0.4823
"25","37_B1_Composite.tif",0,0,1,0.2152,0.2131,0.0769,0.04,0.5105,0.5105
"35","37_B1_Composite.tif",0,1,0,0.825,0.8403,0.75,0.3182,0.5105,0.5105
"26","38_B1_Composite.tif",0,0,1,0.253,0.2447,0.0769,0.0945,0.4562,0.4562
"36","38_B1_Composite.tif",0,1,0,0.5889,0.5498,0.5,0.1981,0.4562,0.4562
"27","38_B2_Composite.tif",0,0,1,0.3085,0.2956,0.0769,0.1215,0.5155,0.5155
"37","38_B2_Composite.tif",0,1,0,0.6873,0.6656,0.5263,0.221,0.5155,0.5155
"28","38_B3_Composite.tif",0,0,1,0.1938,0.1898,0.0526,0.0451,0.4571,0.4571
"38","38_B3_Composite.tif",0,1,0,0.7041,0.6807,0.5135,0.1921,0.4571,0.4571
"29","38_B4_Composite.tif",0,0,1,0.2718,0.2497,0.1333,0.0886,0.4285,0.4285
"39","38_B4_Composite.tif",0,1,0,0.4148,0.3964,0.2857,0.1745,0.4285,0.4285
