"x","y","z","intensity"
86.5,123,0,165.5
110.818181818182,122.454545454545,0,199.454545454545
97.3636363636364,122.818181818182,0,236.727272727273
105.692307692308,118.692307692308,0,239.846153846154
12.4285714285714,118.214285714286,0,230.357142857143
96,116.2,0,239.6
88.5333333333333,115.866666666667,0,245.066666666667
17.5,114,0,216.25
24.5,113,0,194.333333333333
30.75,111.625,0,170.625
18.3333333333333,110.333333333333,0,234
91.5714285714286,107.285714285714,0,255
79.7058823529412,108.117647058824,0,241.588235294118
102.695652173913,108.608695652174,0,242.391304347826
26.9411764705882,103.529411764706,0,206.294117647059
88.3846153846154,102.384615384615,0,244
76.9333333333333,102.133333333333,0,205.6
97.8461538461538,101.230769230769,0,239.076923076923
45,98,0,158
7.5,98.5,0,255
33.5,97.5,0,165
27,97.5,0,203.5
86,94.5,0,166.75
13.6666666666667,94.1111111111111,0,232.111111111111
38.375,92.75,0,195
27.8,92,0,217.3
0.25,92,0,249.75
94,89.5,0,240.3125
19,89,0,202.8
87.0666666666667,88.4,0,252.4
78.8125,85.375,0,217.875
23.75,85,0,203.5
95.5,82.2857142857143,0,243.928571428571
87.2,80.6,0,207.6
27,77,0,219
99.5,76.5,0,162.75
105.615384615385,72.6153846153846,0,183.076923076923
86.8064516129032,71.3870967741936,0,245.741935483871
25.4,69.2,0,237.4
6.8,68.4,0,255
41.125,68.125,0,158.25
77.6363636363636,66.9090909090909,0,156.727272727273
30.5,63.5,0,173
95.375,62.6875,0,239.875
83.6666666666667,60.5,0,192.916666666667
5,55,0,127
11.4285714285714,55.7142857142857,0,255
87.2,54.4,0,219.4
96.8,54.1,0,254.4
20,50,0,255
30.75,48.75,0,212
17,48.5,0,255
105.5,44.5,0,227.75
84.5,45.2,0,148.4
7,44.5,0,206.5
101.5,43,0,252
31,43,0,255
108.5,42.5,0,214
97.2857142857143,42.5714285714286,0,205.285714285714
27,42.5,0,255
102,40.5,0,218.5
5,39.5,0,196
110.466666666667,36.9333333333333,0,215.066666666667
28.2,35.6,0,201.4
3,31.5,0,229
110.5,30,0,211
103.777777777778,28.1111111111111,0,171.222222222222
20.7,27.15,0,212.75
117.363636363636,24.0909090909091,0,240.727272727273
105.333333333333,21.6666666666667,0,208.333333333333
6.45454545454545,22.6363636363636,0,230.181818181818
110,17.2857142857143,0,207.285714285714
123.5,16,0,255
116.666666666667,14.7333333333333,0,244.933333333333
125.2,7.4,0,249.3
124.5,0,0,252
