"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","33_10_Composite.tif",0,0,1,0.2061,0.2031,0.0666,0.0618,0.6053,0.6053
"3","33_10_Composite.tif",0,1,0,0.7562,0.6899,0.4814,0.1968,0.6053,0.6053
"21","33_11_Composite.tif",0,0,1,0.3795,0.3607,0.0666,0.0507,0.6468,0.6468
"31","33_11_Composite.tif",0,1,0,0.8271,0.8061,0.5609,0.1912,0.6468,0.6468
"22","33_12_Composite.tif",0,0,1,0.3702,0.3498,0.1538,0.0846,0.6474,0.6474
"32","33_12_Composite.tif",0,1,0,0.7503,0.7342,0.6,0.1816,0.6474,0.6474
"23","33_13_Composite.tif",0,0,1,0.2439,0.2399,0.04,0.053,0.6083,0.6083
"33","33_13_Composite.tif",0,1,0,0.7845,0.7305,0.4545,0.2024,0.6083,0.6083
"24","33_14_Composite.tif",0,0,1,0.4055,0.3821,0.1818,0.069,0.6534,0.6534
"34","33_14_Composite.tif",0,1,0,0.8202,0.8007,0.6,0.1962,0.6534,0.6534
"25","33_15_Composite.tif",0,0,1,0.2599,0.2562,0,0.0811,0.6545,0.6545
"35","33_15_Composite.tif",0,1,0,0.8193,0.7666,0.5,0.2098,0.6545,0.6545
"26","33_16_Composite.tif",0,0,1,0.26,0.2564,0,0.0712,0.6563,0.6563
"36","33_16_Composite.tif",0,1,0,0.8098,0.7609,0.5121,0.2079,0.6563,0.6563
"27","33_17_Composite.tif",0,0,1,0.2532,0.2465,0,0.0628,0.6203,0.6203
"37","33_17_Composite.tif",0,1,0,0.755,0.7063,0.4444,0.2006,0.6203,0.6203
"28","33_18_Composite.tif",0,0,1,0.2481,0.2458,0.05,0.0683,0.6329,0.6329
"38","33_18_Composite.tif",0,1,0,0.7796,0.7219,0.4222,0.1971,0.6329,0.6329
"29","33_19_Composite.tif",0,0,1,0.2169,0.2121,0.0588,0.0568,0.5907,0.5907
"39","33_19_Composite.tif",0,1,0,0.7408,0.6921,0.4615,0.2041,0.5907,0.5907
"210","33_1_Composite.tif",0,0,1,0.409,0.3872,0.2222,0.0725,0.655,0.655
"310","33_1_Composite.tif",0,1,0,0.8263,0.8086,0.6052,0.198,0.655,0.655
"211","33_20_Composite.tif",0,0,1,0.2438,0.241,0.0434,0.0622,0.6196,0.6196
"311","33_20_Composite.tif",0,1,0,0.7731,0.7105,0.4313,0.194,0.6196,0.6196
"212","33_2_Composite.tif",0,0,1,0.2935,0.2747,0.0666,0.0709,0.6316,0.6316
"312","33_2_Composite.tif",0,1,0,0.6609,0.6105,0.35,0.2071,0.6316,0.6316
"213","33_3_Composite.tif",0,0,1,0.2155,0.2124,0.08,0.0685,0.6178,0.6178
"313","33_3_Composite.tif",0,1,0,0.7661,0.7124,0.5192,0.1967,0.6178,0.6178
"214","33_4_Composite.tif",0,0,1,0.2981,0.2664,0.0909,0.0694,0.6144,0.6144
"314","33_4_Composite.tif",0,1,0,0.684,0.6428,0.38,0.2058,0.6144,0.6144
"215","33_5_Composite.tif",0,0,1,0.2338,0.2295,0.0416,0.0545,0.6112,0.6112
"315","33_5_Composite.tif",0,1,0,0.7786,0.7174,0.423,0.1961,0.6112,0.6112
"216","33_6_Composite.tif",0,0,1,0.2587,0.2534,0,0.0583,0.6507,0.6507
"316","33_6_Composite.tif",0,1,0,0.7784,0.7417,0.52,0.2277,0.6507,0.6507
"217","33_7_Composite.tif",0,0,1,0.2287,0.2215,0.0243,0.0446,0.4825,0.4825
"317","33_7_Composite.tif",0,1,0,0.5715,0.5721,0.4482,0.1583,0.4825,0.4825
"218","33_8_Composite.tif",0,0,1,0.2644,0.2594,0.0588,0.0585,0.5925,0.5925
"318","33_8_Composite.tif",0,1,0,0.7877,0.7722,0.6666,0.2008,0.5925,0.5925
"219","33_9_Composite.tif",0,0,1,0.2362,0.2312,0.0384,0.0596,0.6006,0.6006
"319","33_9_Composite.tif",0,1,0,0.7577,0.6997,0.415,0.1946,0.6006,0.6006
"220","35_10_Composite.tif",0,0,1,0.2982,0.2933,0,0.0611,0.6099,0.6099
"320","35_10_Composite.tif",0,1,0,0.7712,0.773,0.5384,0.2102,0.6099,0.6099
"221","35_11_Composite.tif",0,0,1,0.314,0.3094,0,0.0403,0.6296,0.6296
"321","35_11_Composite.tif",0,1,0,0.8158,0.8137,0.5454,0.2047,0.6296,0.6296
"222","35_12_Composite.tif",0,0,1,0.281,0.2781,0,0.066,0.6083,0.6083
"322","35_12_Composite.tif",0,1,0,0.7661,0.762,0.5365,0.2151,0.6083,0.6083
"223","35_13_Composite.tif",0,0,1,0.3211,0.3181,0,0.0331,0.6312,0.6312
"323","35_13_Composite.tif",0,1,0,0.8347,0.8401,0.5172,0.2005,0.6312,0.6312
"224","35_14_Composite.tif",0,0,1,0.3388,0.3371,0.1052,0.0556,0.5791,0.5791
"324","35_14_Composite.tif",0,1,0,0.7461,0.7824,0.4333,0.1812,0.5791,0.5791
"225","35_15_Composite.tif",0,0,1,0.281,0.2779,0,0.0619,0.6069,0.6069
"325","35_15_Composite.tif",0,1,0,0.7769,0.7742,0.5476,0.2096,0.6069,0.6069
"226","35_16_Composite.tif",0,0,1,0.308,0.3037,0,0.0613,0.6198,0.6198
"326","35_16_Composite.tif",0,1,0,0.7901,0.7784,0.5405,0.2027,0.6198,0.6198
"227","35_17_Composite.tif",0,0,1,0.318,0.3103,0,0.0489,0.623,0.623
"327","35_17_Composite.tif",0,1,0,0.8063,0.8068,0.5294,0.2026,0.623,0.623
"228","35_18_Composite.tif",0,0,1,0.2532,0.2425,0.1153,0.0661,0.5647,0.5647
"328","35_18_Composite.tif",0,1,0,0.6892,0.7042,0.48,0.1752,0.5647,0.5647
"229","35_19_Composite.tif",0,0,1,0.3095,0.3074,0,0.0577,0.6131,0.6131
"329","35_19_Composite.tif",0,1,0,0.7865,0.7776,0.5555,0.2002,0.6131,0.6131
"230","35_1_Composite.tif",0,0,1,0.3052,0.3007,0.1111,0.0661,0.6178,0.6178
"330","35_1_Composite.tif",0,1,0,0.7924,0.7815,0.5675,0.205,0.6178,0.6178
"231","35_20_Composite.tif",0,0,1,0.3419,0.3409,0.1052,0.0521,0.5779,0.5779
"331","35_20_Composite.tif",0,1,0,0.7447,0.7822,0.4333,0.181,0.5779,0.5779
"232","35_2_Composite.tif",0,0,1,0.3204,0.3179,0,0.065,0.6276,0.6276
"332","35_2_Composite.tif",0,1,0,0.8072,0.8075,0.5294,0.1968,0.6276,0.6276
"233","35_3_Composite.tif",0,0,1,0.3296,0.3267,0,0.0298,0.634,0.634
"333","35_3_Composite.tif",0,1,0,0.8324,0.835,0.5,0.201,0.634,0.634
"234","35_4_Composite.tif",0,0,1,0.3209,0.3184,0,0.0293,0.631,0.631
"334","35_4_Composite.tif",0,1,0,0.8357,0.842,0.5172,0.1998,0.631,0.631
"235","35_5_Composite.tif",0,0,1,0.1531,0.1555,0,0.0678,0.446,0.446
"335","35_5_Composite.tif",0,1,0,0.5249,0.5229,0.4603,0.1764,0.446,0.446
"236","35_6_Composite.tif",0,0,1,0.3133,0.3082,0,0.059,0.624,0.624
"336","35_6_Composite.tif",0,1,0,0.8061,0.8047,0.5294,0.2008,0.624,0.624
"237","35_7_Composite.tif",0,0,1,0.3048,0.3003,0.1428,0.0822,0.6195,0.6195
"337","35_7_Composite.tif",0,1,0,0.7962,0.7914,0.4864,0.1931,0.6195,0.6195
"238","35_8_Composite.tif",0,0,1,0.2432,0.2373,0,0.0469,0.5843,0.5843
"338","35_8_Composite.tif",0,1,0,0.7486,0.7452,0.6,0.2043,0.5843,0.5843
"239","35_9_Composite.tif",0,0,1,0.3493,0.3485,0.0769,0.0617,0.6144,0.6144
"339","35_9_Composite.tif",0,1,0,0.7991,0.8147,0.4642,0.1869,0.6144,0.6144
"240","36_10_Composite.tif",0,0,1,0.1933,0.2004,0.0357,0.0473,0.4379,0.4379
"340","36_10_Composite.tif",0,1,0,0.599,0.5952,0.4634,0.1705,0.4379,0.4379
"241","36_11_Composite.tif",0,0,1,0.1376,0.1363,0.12,0.0513,0.4368,0.4368
"341","36_11_Composite.tif",0,1,0,0.6124,0.579,0.5609,0.2695,0.4368,0.4368
"242","36_12_Composite.tif",0,0,1,0.4447,0.4178,0.1176,0.0313,0.6532,0.6532
"342","36_12_Composite.tif",0,1,0,0.7751,0.7723,0.6363,0.217,0.6532,0.6532
"243","36_13_Composite.tif",0,0,1,0.194,0.1955,0,0.0428,0.4167,0.4167
"343","36_13_Composite.tif",0,1,0,0.5644,0.5685,0.5609,0.1966,0.4167,0.4167
"244","36_14_Composite.tif",0,0,1,0.2189,0.2129,0.0625,0.0667,0.4593,0.4593
"344","36_14_Composite.tif",0,1,0,0.6212,0.6228,0.6111,0.2031,0.4593,0.4593
"245","36_15_Composite.tif",0,0,1,0.1997,0.1964,0.0384,0.0591,0.4084,0.4084
"345","36_15_Composite.tif",0,1,0,0.5097,0.5119,0.4761,0.1897,0.4084,0.4084
"246","36_16_Composite.tif",0,0,1,0.1449,0.145,0.037,0.0403,0.4014,0.4014
"346","36_16_Composite.tif",0,1,0,0.5885,0.5676,0.5714,0.2312,0.4014,0.4014
