x,y
41.0,125.0
58.75,124.0
77.3333333333333,122.666666666667
64.5,122.5
61.5,122.0
50.5,122.5
49.0,121.0
50.0,119.0
42.5,119.5
27.0,119.0
81.75,117.25
68.0,111.0
54.5,110.0
82.0,108.0
60.5,107.0
53.0,107.666666666667
60.0,104.5
73.0,101.0
66.5,99.0
64.0,99.0
60.0,97.0
64.5,96.5
86.5,94.5
69.0,93.0
88.0,90.0
85.0,88.0
49.0,86.0
66.0,80.5
85.0,67.0
65.0,65.5
62.3333333333333,64.6666666666667
53.0,62.0
84.0,57.0
69.0,57.0
84.0,54.0
69.0,51.0
82.0,49.0
65.0,48.5
82.5,47.0
70.0,46.0
57.0,43.5
77.6666666666667,41.6666666666667
75.0,41.5
48.0,40.3333333333333
52.0,37.0
74.6,36.0
70.0,36.0
41.5,36.25
60.3333333333333,32.6666666666667
53.0,32.0
38.0,32.0
72.0,29.5
68.5,29.5
39.0,27.0
36.5,28.5
69.5,26.5
65.5,25.0
37.0,25.0
31.0,25.0
27.6666666666667,24.0
48.0,22.0
55.0,20.0
26.0,20.5
50.0,18.0
49.0,14.0
25.0,14.0
23.0,14.0
21.0,13.0
45.0,12.0
28.0,12.0
20.0,10.5
37.0,6.0
29.0,6.0
37.0,4.0
