Time;Nb detections 1;Nb detections 2;% of 1 (center of mass) inside masks 2;p-value (1 inside masks 2, Analytical);log p-value (1 inside masks 2);Ripley step;Ripley r_max;Max. of the K function;p-value (SODA);log_10(p-value);% (fit of K function) of 2 coloc. with 1;Distance of Coloc. (fit);% (SODA) of 2 coloc. with 1;Distance of Coloc. (SODA)
09_J1;92,00;94,00;0,20;0,00;-36,39;1,00;5,00;12,56;0,00;-35,05;0,91;1,90;0,62;1,67
09_J2;85,00;91,00;0,16;0,00;-23,36;1,00;5,00;8,76;0,00;-17,32;1,00;2,30;0,63;2,65
09_J3;69,00;73,00;0,23;0,00;-32,53;1,00;5,00;10,46;0,00;-24,46;0,90;2,05;0,64;2,27
09_J4;78,00;99,00;0,22;0,00;-50,17;1,00;5,00;12,10;0,00;-32,59;1,00;2,05;0,65;1,75
09_J5;76,00;61,00;0,20;0,00;-22,32;0,40;5,00;8,76;0,00;-16,92;0,78;1,44;0,73;1,91
09_J6;60,00;63,00;0,25;0,00;-38,13;0,40;5,00;9,52;0,00;-19,99;0,75;1,78;0,58;1,56
10_J1;70,00;110,00;0,19;0,00;-32,66;0,40;5,00;9,35;0,00;-19,28;0,55;1,49;0,49;1,71
10_J2;71,00;74,00;0,32;0,00;-74,29;0,40;5,00;10,99;0,00;-26,59;0,97;1,68;0,69;1,70
10_J3;56,00;66,00;0,24;0,00;-41,58;0,40;5,00;8,53;0,00;-16,04;0,79;1,87;0,60;1,81
10_J4;59,00;66,00;0,24;0,00;-36,28;0,40;5,00;11,64;0,00;-29,82;0,76;1,92;0,58;2,61
