"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","09_J1_Composite.tif",0,0,1,0.511,0.4781,0.25,0.115,0.7936,0.7936
"3","09_J1_Composite.tif",0,1,0,0.9438,0.9409,0.8666,0.2759,0.7936,0.7936
"21","09_J2_Composite.tif",0,0,1,0.553,0.5482,0.1176,0.0715,0.748,0.748
"31","09_J2_Composite.tif",0,1,0,0.8896,0.8897,0.6923,0.2363,0.748,0.748
"22","09_J3_Composite.tif",0,0,1,0.8134,0.8032,0.7222,0.2217,0.8265,0.8265
"32","09_J3_Composite.tif",0,1,0,0.7691,0.7658,0.4666,0.1907,0.8265,0.8265
"23","09_J4_Composite.tif",0,0,1,0.7279,0.7254,0.4375,0.1259,0.8313,0.8313
"33","09_J4_Composite.tif",0,1,0,0.9057,0.9004,0.7272,0.23,0.8313,0.8313
"24","09_J5_Composite.tif",0,0,1,0.6643,0.6392,0.3125,0.1259,0.8322,0.8322
"34","09_J5_Composite.tif",0,1,0,0.9216,0.9174,0.7826,0.2148,0.8322,0.8322
"25","09_J6_Composite.tif",0,0,1,0.6656,0.6321,0.413,0.1425,0.7804,0.7804
"35","09_J6_Composite.tif",0,1,0,0.7802,0.7347,0.5227,0.1887,0.7804,0.7804
"26","10_J1_Composite.tif",0,0,1,0.9215,0.9205,1,0.2019,0.8798,0.8798
"36","10_J1_Composite.tif",0,1,0,0.8973,0.8915,0.5,0.1356,0.8798,0.8798
"27","10_J2_Composite.tif",0,0,1,0.555,0.5016,0.2857,0.1525,0.8661,0.8661
"37","10_J2_Composite.tif",0,1,0,0.9357,0.9384,0.9545,0.2493,0.8661,0.8661
"28","10_J3_Composite.tif",0,0,1,0.633,0.624,0.1764,0.0965,0.7746,0.7746
"38","10_J3_Composite.tif",0,1,0,0.9057,0.8963,0.6428,0.214,0.7746,0.7746
"29","10_J4_Composite.tif",0,0,1,0.8194,0.8031,0.3684,0.1431,0.8664,0.8664
"39","10_J4_Composite.tif",0,1,0,0.8479,0.8232,0.3529,0.1722,0.8664,0.8664
