"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","09_10_Composite.tif",0,0,1,0.6788,0.6787,0.5,0.1464,0.8322,0.8322
"3","09_10_Composite.tif",0,1,0,0.8822,0.8754,0.6153,0.1951,0.8322,0.8322
"21","09_11_Composite.tif",0,0,1,0.608,0.5915,0.3928,0.1374,0.7968,0.7968
"31","09_11_Composite.tif",0,1,0,0.7068,0.6984,0.6551,0.1754,0.7968,0.7968
"22","09_12_Composite.tif",0,0,1,0.5377,0.5339,0.3636,0.1415,0.8412,0.8412
"32","09_12_Composite.tif",0,1,0,0.9078,0.8795,0.45,0.1703,0.8412,0.8412
"23","09_13_Composite.tif",0,0,1,0.5489,0.5294,0.2765,0.1099,0.7616,0.7616
"33","09_13_Composite.tif",0,1,0,0.697,0.6725,0.3673,0.1384,0.7616,0.7616
"24","09_14_Composite.tif",0,0,1,0.4646,0.4491,0.279,0.1046,0.7438,0.7438
"34","09_14_Composite.tif",0,1,0,0.8595,0.8446,0.7272,0.2279,0.7438,0.7438
"25","09_15_Composite.tif",0,0,1,0.7445,0.737,0.4444,0.1438,0.8375,0.8375
"35","09_15_Composite.tif",0,1,0,0.7857,0.7763,0.5,0.1619,0.8375,0.8375
"26","09_16_Composite.tif",0,0,1,0.5449,0.5429,0.2,0.1085,0.7668,0.7668
"36","09_16_Composite.tif",0,1,0,0.8334,0.8232,0.6046,0.191,0.7668,0.7668
"27","09_17_Composite.tif",0,0,1,0.6356,0.6107,0.4181,0.1519,0.7594,0.7594
"37","09_17_Composite.tif",0,1,0,0.4399,0.4474,0.3442,0.1574,0.7594,0.7594
"28","09_18_Composite.tif",0,0,1,0.5705,0.5524,0.2888,0.113,0.7688,0.7688
"38","09_18_Composite.tif",0,1,0,0.6905,0.6683,0.3584,0.1375,0.7688,0.7688
"29","09_19_Composite.tif",0,0,1,0.6382,0.6224,0.5,0.1458,0.8059,0.8059
"39","09_19_Composite.tif",0,1,0,0.7035,0.6982,0.64,0.174,0.8059,0.8059
"210","09_1_Composite.tif",0,0,1,0.631,0.6214,0.1538,0.1008,0.8283,0.8283
"310","09_1_Composite.tif",0,1,0,0.8594,0.8559,0.375,0.1524,0.8283,0.8283
"211","09_20_Composite.tif",0,0,1,0.5347,0.5109,0.2,0.1067,0.7195,0.7195
"311","09_20_Composite.tif",0,1,0,0.7326,0.7255,0.5471,0.1741,0.7195,0.7195
"212","09_21_Composite.tif",0,0,1,0.4046,0.3884,0.282,0.1197,0.7484,0.7484
"312","09_21_Composite.tif",0,1,0,0.8092,0.8038,0.6909,0.2019,0.7484,0.7484
"213","09_22_Composite.tif",0,0,1,0.5284,0.4931,0.2173,0.1129,0.756,0.756
"313","09_22_Composite.tif",0,1,0,0.6078,0.6052,0.4285,0.1733,0.756,0.756
"214","09_23_Composite.tif",0,0,1,0.6418,0.639,0.2142,0.1028,0.8351,0.8351
"314","09_23_Composite.tif",0,1,0,0.9271,0.9231,0.4,0.158,0.8351,0.8351
"215","09_24_Composite.tif",0,0,1,0.6728,0.67,0.3,0.126,0.8406,0.8406
"315","09_24_Composite.tif",0,1,0,0.9246,0.9215,0.4347,0.165,0.8406,0.8406
"216","09_25_Composite.tif",0,0,1,0.4553,0.4366,0.3095,0.1085,0.7411,0.7411
"316","09_25_Composite.tif",0,1,0,0.8339,0.8245,0.6944,0.2121,0.7411,0.7411
"217","09_26_Composite.tif",0,0,1,0.8598,0.8501,0.875,0.1835,0.863,0.863
"317","09_26_Composite.tif",0,1,0,0.8108,0.784,0.2857,0.1272,0.863,0.863
"218","09_27_Composite.tif",0,0,1,0.8239,0.8161,0.48,0.1549,0.8637,0.8637
"318","09_27_Composite.tif",0,1,0,0.8455,0.8326,0.6842,0.1797,0.8637,0.8637
"219","09_28_Composite.tif",0,0,1,0.622,0.6195,0.238,0.1155,0.8088,0.8088
"319","09_28_Composite.tif",0,1,0,0.8947,0.8853,0.5,0.1743,0.8088,0.8088
"220","09_29_Composite.tif",0,0,1,0.5506,0.5351,0.1,0.0538,0.7722,0.7722
"320","09_29_Composite.tif",0,1,0,0.9103,0.913,0.7058,0.1915,0.7722,0.7722
"221","09_2_Composite.tif",0,0,1,0.6868,0.6796,0.3571,0.1265,0.8414,0.8414
"321","09_2_Composite.tif",0,1,0,0.861,0.8566,0.6666,0.1839,0.8414,0.8414
"222","09_30_Composite.tif",0,0,1,0.6231,0.6033,0.4516,0.1559,0.821,0.821
"322","09_30_Composite.tif",0,1,0,0.6793,0.6448,0.425,0.158,0.821,0.821
"223","09_31_Composite.tif",0,0,1,0.8404,0.8349,0.5,0.1671,0.8855,0.8855
"323","09_31_Composite.tif",0,1,0,0.9012,0.8938,0.5789,0.175,0.8855,0.8855
"224","09_32_Composite.tif",0,0,1,0.83,0.8271,0.4166,0.1469,0.8851,0.8851
"324","09_32_Composite.tif",0,1,0,0.9284,0.9212,0.4444,0.1655,0.8851,0.8851
"225","09_33_Composite.tif",0,0,1,0.741,0.7234,0.5,0.1456,0.8161,0.8161
"325","09_33_Composite.tif",0,1,0,0.7135,0.6897,0.3823,0.1381,0.8161,0.8161
"226","09_34_Composite.tif",0,0,1,0.4262,0.4103,0.2352,0.0814,0.7296,0.7296
"326","09_34_Composite.tif",0,1,0,0.9151,0.917,0.8636,0.2504,0.7296,0.7296
"227","09_35_Composite.tif",0,0,1,0.5841,0.5583,0.2424,0.1052,0.799,0.799
"327","09_35_Composite.tif",0,1,0,0.7621,0.7431,0.4482,0.1419,0.799,0.799
"228","09_36_Composite.tif",0,0,1,0.7117,0.7092,0.2307,0.1191,0.8522,0.8522
"328","09_36_Composite.tif",0,1,0,0.869,0.8669,0.6086,0.1792,0.8522,0.8522
"229","09_37_Composite.tif",0,0,1,0.456,0.4387,0.2444,0.1031,0.7428,0.7428
"329","09_37_Composite.tif",0,1,0,0.8614,0.8481,0.7826,0.2352,0.7428,0.7428
"230","09_38_Composite.tif",0,0,1,0.2937,0.2697,0.0625,0.0544,0.7106,0.7106
"330","09_38_Composite.tif",0,1,0,0.9281,0.9224,0.9,0.2569,0.7106,0.7106
"231","09_39_Composite.tif",0,0,1,0.4349,0.4115,0.2439,0.0929,0.7386,0.7386
"331","09_39_Composite.tif",0,1,0,0.8165,0.7965,0.647,0.2063,0.7386,0.7386
"232","09_3_Composite.tif",0,0,1,0.5487,0.5481,0.2352,0.1061,0.7726,0.7726
"332","09_3_Composite.tif",0,1,0,0.8429,0.834,0.7027,0.1984,0.7726,0.7726
"233","09_40_Composite.tif",0,0,1,0.5664,0.557,0.3076,0.1298,0.8053,0.8053
"333","09_40_Composite.tif",0,1,0,0.6819,0.659,0.3888,0.1442,0.8053,0.8053
"234","09_41_Composite.tif",0,0,1,0.7332,0.732,0.6,0.1722,0.8372,0.8372
"334","09_41_Composite.tif",0,1,0,0.9026,0.8971,0.4545,0.1795,0.8372,0.8372
"235","09_42_Composite.tif",0,0,1,0.7681,0.7401,0.4687,0.1622,0.8591,0.8591
"335","09_42_Composite.tif",0,1,0,0.7481,0.7024,0.4,0.1482,0.8591,0.8591
"236","09_43_Composite.tif",0,0,1,0.5812,0.5613,0.3684,0.1459,0.7729,0.7729
"336","09_43_Composite.tif",0,1,0,0.7736,0.7724,0.6666,0.1839,0.7729,0.7729
"237","09_44_Composite.tif",0,0,1,0.7875,0.7753,0.2666,0.1354,0.8449,0.8449
"337","09_44_Composite.tif",0,1,0,0.7913,0.7814,0.238,0.1159,0.8449,0.8449
"238","09_45_Composite.tif",0,0,1,0.4383,0.4178,0.2682,0.1085,0.7434,0.7434
"338","09_45_Composite.tif",0,1,0,0.8241,0.8051,0.6842,0.2072,0.7434,0.7434
"239","09_46_Composite.tif",0,0,1,0.6188,0.6138,0.3684,0.141,0.7864,0.7864
"339","09_46_Composite.tif",0,1,0,0.7694,0.76,0.4814,0.1631,0.7864,0.7864
"240","09_47_Composite.tif",0,0,1,0.6854,0.6692,0.4736,0.1553,0.8153,0.8153
"340","09_47_Composite.tif",0,1,0,0.704,0.6727,0.3548,0.1442,0.8153,0.8153
"241","09_48_Composite.tif",0,0,1,0.4964,0.4939,0.3684,0.1494,0.7503,0.7503
"341","09_48_Composite.tif",0,1,0,0.7677,0.7587,0.5454,0.18,0.7503,0.7503
"242","09_49_Composite.tif",0,0,1,0.6621,0.6598,0.4117,0.1265,0.8335,0.8335
"342","09_49_Composite.tif",0,1,0,0.9172,0.9134,0.8888,0.2437,0.8335,0.8335
"243","09_4_Composite.tif",0,0,1,0.4424,0.4263,0.2727,0.1118,0.7449,0.7449
"343","09_4_Composite.tif",0,1,0,0.816,0.7978,0.6511,0.2044,0.7449,0.7449
"244","09_50_Composite.tif",0,0,1,0.5164,0.5051,0.2727,0.1055,0.7653,0.7653
"344","09_50_Composite.tif",0,1,0,0.6861,0.6709,0.5,0.1673,0.7653,0.7653
"245","09_5_Composite.tif",0,0,1,0.7995,0.7997,0.5,0.1531,0.8475,0.8475
"345","09_5_Composite.tif",0,1,0,0.8807,0.8528,0.2,0.1121,0.8475,0.8475
"246","09_6_Composite.tif",0,0,1,0.4346,0.4207,0.1621,0.0709,0.7336,0.7336
"346","09_6_Composite.tif",0,1,0,0.9122,0.9155,0.8809,0.2518,0.7336,0.7336
"247","09_7_Composite.tif",0,0,1,0.4721,0.4548,0.1833,0.0983,0.6724,0.6724
"347","09_7_Composite.tif",0,1,0,0.6029,0.5814,0.3859,0.1419,0.6724,0.6724
"248","09_8_Composite.tif",0,0,1,0.4606,0.4503,0.2222,0.1052,0.7749,0.7749
"348","09_8_Composite.tif",0,1,0,0.9136,0.9069,0.7884,0.2057,0.7749,0.7749
"249","09_9_Composite.tif",0,0,1,0.5526,0.547,0.2173,0.1032,0.7544,0.7544
"349","09_9_Composite.tif",0,1,0,0.8394,0.8351,0.6097,0.1922,0.7544,0.7544
"250","10_10_Composite.tif",0,0,1,0.7018,0.6966,0.25,0.1156,0.8674,0.8674
"350","10_10_Composite.tif",0,1,0,0.9625,0.9591,0.6923,0.1882,0.8674,0.8674
"251","10_11_Composite.tif",0,0,1,0.7458,0.7417,0.5,0.1261,0.875,0.875
"351","10_11_Composite.tif",0,1,0,0.9661,0.9645,1,0.1985,0.875,0.875
"252","10_12_Composite.tif",0,0,1,0.4693,0.4437,0.0714,0.0815,0.8544,0.8544
"352","10_12_Composite.tif",0,1,0,0.9411,0.9401,0.76,0.1871,0.8544,0.8544
"253","10_13_Composite.tif",0,0,1,0.7807,0.7749,0.3636,0.1129,0.8578,0.8578
"353","10_13_Composite.tif",0,1,0,0.9289,0.9188,0.3333,0.139,0.8578,0.8578
"254","10_14_Composite.tif",0,0,1,0.8186,0.8128,0.6666,0.1919,0.8823,0.8823
"354","10_14_Composite.tif",0,1,0,0.927,0.9151,0.6666,0.233,0.8823,0.8823
"255","10_15_Composite.tif",0,0,1,0.2143,0.2124,0.0909,0.0749,0.8508,0.8508
"355","10_15_Composite.tif",0,1,0,0.8619,0.8249,0.5384,0.2136,0.8508,0.8508
"256","10_16_Composite.tif",0,0,1,0.7811,0.7741,0.375,0.1159,0.8815,0.8815
"356","10_16_Composite.tif",0,1,0,0.965,0.9629,0.7,0.1893,0.8815,0.8815
"257","10_17_Composite.tif",0,0,1,0.193,0.1912,0.1,0.0721,0.8414,0.8414
"357","10_17_Composite.tif",0,1,0,0.9063,0.8868,0.6666,0.2205,0.8414,0.8414
"258","10_18_Composite.tif",0,0,1,0.7591,0.7539,0.3333,0.1263,0.8696,0.8696
"358","10_18_Composite.tif",0,1,0,0.9582,0.9563,0.9166,0.2023,0.8696,0.8696
"259","10_19_Composite.tif",0,0,1,0.3602,0.3546,0,0.0652,0.8632,0.8632
"359","10_19_Composite.tif",0,1,0,0.9782,0.9755,1,0.2356,0.8632,0.8632
"260","10_1_Composite.tif",0,0,1,0.7129,0.7111,0.6,0.1679,0.9012,0.9012
"360","10_1_Composite.tif",0,1,0,0.958,0.9416,0.2727,0.1532,0.9012,0.9012
"261","10_20_Composite.tif",0,0,1,0.7133,0.7096,0.3333,0.1248,0.8719,0.8719
"361","10_20_Composite.tif",0,1,0,0.9736,0.9724,0.9285,0.1982,0.8719,0.8719
"262","10_21_Composite.tif",0,0,1,0.6833,0.6799,0.5,0.1422,0.8555,0.8555
"362","10_21_Composite.tif",0,1,0,0.8932,0.8808,0.5625,0.1752,0.8555,0.8555
"263","10_22_Composite.tif",0,0,1,0.8072,0.8045,1,0.2476,0.8817,0.8817
"363","10_22_Composite.tif",0,1,0,0.9148,0.9045,0.625,0.2462,0.8817,0.8817
"264","10_23_Composite.tif",0,0,1,0.5701,0.5638,0.4,0.1199,0.8156,0.8156
"364","10_23_Composite.tif",0,1,0,0.9329,0.9245,0.5625,0.193,0.8156,0.8156
"265","10_24_Composite.tif",0,0,1,0.5369,0.5131,0.2727,0.118,0.8427,0.8427
"365","10_24_Composite.tif",0,1,0,0.9186,0.9171,0.647,0.1812,0.8427,0.8427
"266","10_25_Composite.tif",0,0,1,0.6805,0.6775,0.4444,0.1294,0.8539,0.8539
"366","10_25_Composite.tif",0,1,0,0.8889,0.8774,0.6428,0.1828,0.8539,0.8539
"267","10_26_Composite.tif",0,0,1,0.7215,0.7177,0.3333,0.1237,0.8734,0.8734
"367","10_26_Composite.tif",0,1,0,0.9769,0.9754,1,0.2034,0.8734,0.8734
"268","10_27_Composite.tif",0,0,1,0.7739,0.7674,0.4285,0.1317,0.8847,0.8847
"368","10_27_Composite.tif",0,1,0,0.9721,0.97,0.8888,0.1892,0.8847,0.8847
"269","10_28_Composite.tif",0,0,1,0.7096,0.685,0.8888,0.2139,0.8831,0.8831
"369","10_28_Composite.tif",0,1,0,0.9332,0.9129,0.8461,0.2171,0.8831,0.8831
"270","10_29_Composite.tif",0,0,1,0.7895,0.7835,0.3636,0.1121,0.8594,0.8594
"370","10_29_Composite.tif",0,1,0,0.9281,0.9166,0.3333,0.1369,0.8594,0.8594
"271","10_2_Composite.tif",0,0,1,0.752,0.7465,0.6666,0.1977,0.8899,0.8899
"371","10_2_Composite.tif",0,1,0,0.9419,0.9352,0.3333,0.174,0.8899,0.8899
"272","10_30_Composite.tif",0,0,1,0.8131,0.8041,1,0.2317,0.8826,0.8826
"372","10_30_Composite.tif",0,1,0,0.9264,0.9188,0.6666,0.2345,0.8826,0.8826
"273","10_31_Composite.tif",0,0,1,0.6051,0.5846,0.2666,0.111,0.8182,0.8182
"373","10_31_Composite.tif",0,1,0,0.8717,0.8546,0.4137,0.16,0.8182,0.8182
"274","10_32_Composite.tif",0,0,1,0.7577,0.7527,0.3333,0.1259,0.8713,0.8713
"374","10_32_Composite.tif",0,1,0,0.9592,0.9573,0.8333,0.1937,0.8713,0.8713
"275","10_33_Composite.tif",0,0,1,0.5909,0.5783,0.375,0.1363,0.826,0.826
"375","10_33_Composite.tif",0,1,0,0.9071,0.8945,0.423,0.1684,0.826,0.826
"276","10_34_Composite.tif",0,0,1,0.7991,0.788,1,0.2351,0.8845,0.8845
"376","10_34_Composite.tif",0,1,0,0.9383,0.9276,0.8333,0.2466,0.8845,0.8845
"277","10_35_Composite.tif",0,0,1,0.4005,0.3916,0.0588,0.0721,0.8661,0.8661
"377","10_35_Composite.tif",0,1,0,0.9023,0.888,0.4,0.1909,0.8661,0.8661
"278","10_36_Composite.tif",0,0,1,0.6747,0.6728,0.6666,0.1371,0.8668,0.8668
"378","10_36_Composite.tif",0,1,0,0.9183,0.9156,0.5,0.1619,0.8668,0.8668
"279","10_37_Composite.tif",0,0,1,0.527,0.4958,0.125,0.0885,0.8431,0.8431
"379","10_37_Composite.tif",0,1,0,0.9013,0.8983,0.7666,0.1892,0.8431,0.8431
"280","10_38_Composite.tif",0,0,1,0.4533,0.4414,0.15,0.066,0.8543,0.8543
"380","10_38_Composite.tif",0,1,0,0.9606,0.9624,0.8947,0.2137,0.8543,0.8543
"281","10_39_Composite.tif",0,0,1,0.5475,0.5327,0.2105,0.0897,0.8011,0.8011
"381","10_39_Composite.tif",0,1,0,0.8946,0.8857,0.5277,0.186,0.8011,0.8011
"282","10_3_Composite.tif",0,0,1,0.6682,0.6648,0.5,0.1324,0.8513,0.8513
"382","10_3_Composite.tif",0,1,0,0.8744,0.859,0.625,0.176,0.8513,0.8513
"283","10_40_Composite.tif",0,0,1,0.7554,0.7468,1,0.2819,0.8817,0.8817
"383","10_40_Composite.tif",0,1,0,0.9251,0.9187,0.4166,0.1873,0.8817,0.8817
"284","10_41_Composite.tif",0,0,1,0.7536,0.7484,0.6,0.1914,0.8874,0.8874
"384","10_41_Composite.tif",0,1,0,0.943,0.9349,0.3636,0.1791,0.8874,0.8874
"285","10_42_Composite.tif",0,0,1,0.6693,0.6654,0.5555,0.1419,0.851,0.851
"385","10_42_Composite.tif",0,1,0,0.876,0.8604,0.5882,0.1735,0.851,0.851
"286","10_43_Composite.tif",0,0,1,0.7335,0.7302,0.8,0.2082,0.8344,0.8344
"386","10_43_Composite.tif",0,1,0,0.9194,0.9135,0.5714,0.173,0.8344,0.8344
"287","10_44_Composite.tif",0,0,1,0.7764,0.7703,0.4285,0.1309,0.8778,0.8778
"387","10_44_Composite.tif",0,1,0,0.9653,0.9631,0.9,0.1939,0.8778,0.8778
"288","10_45_Composite.tif",0,0,1,0.8199,0.8151,1,0.244,0.8848,0.8848
"388","10_45_Composite.tif",0,1,0,0.924,0.9177,0.6666,0.2435,0.8848,0.8848
"289","10_46_Composite.tif",0,0,1,0.3766,0.3705,0.0454,0.0748,0.8506,0.8506
"389","10_46_Composite.tif",0,1,0,0.9437,0.9387,0.6071,0.1916,0.8506,0.8506
"290","10_47_Composite.tif",0,0,1,0.6277,0.6193,0.3846,0.1264,0.8182,0.8182
"390","10_47_Composite.tif",0,1,0,0.8283,0.8133,0.4375,0.1533,0.8182,0.8182
"291","10_48_Composite.tif",0,0,1,0.691,0.6874,0.2777,0.1158,0.8093,0.8093
"391","10_48_Composite.tif",0,1,0,0.8253,0.808,0.2727,0.1392,0.8093,0.8093
"292","10_49_Composite.tif",0,0,1,0.7791,0.7731,0.5714,0.1325,0.8779,0.8779
"392","10_49_Composite.tif",0,1,0,0.9628,0.9601,0.8181,0.1837,0.8779,0.8779
"293","10_4_Composite.tif",0,0,1,0.786,0.7741,1,0.273,0.8768,0.8768
"393","10_4_Composite.tif",0,1,0,0.9283,0.9233,0.3333,0.2049,0.8768,0.8768
"294","10_50_Composite.tif",0,0,1,0.5929,0.5905,0.4444,0.103,0.8162,0.8162
"394","10_50_Composite.tif",0,1,0,0.9341,0.9263,0.5714,0.187,0.8162,0.8162
