x,y
114.0,127.0
17.5,127.0
100.0,108.0
123.0,106.0
126.0,105.0
116.555555555556,106.11111111111099
109.0,104.0
95.1666666666667,102.666666666667
95.0,100.0
89.2857142857143,101.142857142857
76.0,100.0
117.75,99.25
108.3,100.1
98.5,100.0
72.0,98.0
126.0,97.0
104.0,97.0
84.0,94.5
115.333333333333,94.8333333333333
98.0,94.0
60.0,92.0
98.3333333333333,88.0
91.5,90.125
64.6666666666667,88.0
88.2,86.0
55.0,85.3333333333333
103.0,84.5
100.0,84.5
122.0,85.25
113.363636363636,84.0909090909091
106.375,85.125
82.0,83.25
78.2,83.4
55.0,83.0
119.166666666667,81.6666666666667
90.6,82.2
67.0,81.5
58.4444444444444,82.8888888888889
126.0,81.0
65.25,79.0
79.0,76.0
75.1428571428571,76.28571428571429
42.0,74.0
70.5,73.5
45.8,73.4
65.0,72.0
59.6,73.6
56.0,72.5
70.0,70.5
65.75,69.25
58.0,69.0
49.0,67.0
36.5,66.6666666666667
56.28571428571429,65.71428571428571
43.25,64.75
29.0,64.0
63.0,63.75
53.0,63.0
42.0,63.0
50.0,62.0
45.0,62.0
25.5,59.5
23.0,59.0
46.1428571428571,59.571428571428605
32.5,55.5
14.0,54.0
37.0,52.0
15.0,52.0
40.0909090909091,51.1818181818182
27.8,49.6
123.0,48.0
15.5,48.5
33.0,46.0
21.0,44.75
54.0,43.5
22.0,42.0
37.5,42.5
32.0,39.0
17.0,39.0
47.0,37.875
16.0,37.0
13.5,37.5
6.0,37.0
3.0,36.0
26.0,35.0
10.1666666666667,36.5
26.0,33.0
60.2,32.4
21.5,28.5
67.0,26.0
66.75,28.25
45.75,27.5
55.2,26.4
36.0,25.0
16.0,25.0
61.0,24.0
55.0,22.75
64.5,21.5
11.0,20.2
58.5,18.0
6.0,16.3333333333333
54.6666666666667,15.333333333333302
84.5,14.5
1.0,14.0
0.25,11.25
