"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","22_Pr01_1_Composite.tif",0,0,1,0.2023,0.1994,0.0833,0.0689,0.4618,0.4618
"3","22_Pr01_1_Composite.tif",0,1,0,0.4465,0.4003,0.4,0.1468,0.4618,0.4618
"21","22_Pr01_2_Composite.tif",0,0,1,0.4292,0.4117,0.3333,0.15,0.4743,0.4743
"31","22_Pr01_2_Composite.tif",0,1,0,0.4725,0.453,0.3265,0.1336,0.4743,0.4743
"22","22_Pr01_3_Composite.tif",0,0,1,0.515,0.5031,0.5333,0.1765,0.4915,0.4915
"32","22_Pr01_3_Composite.tif",0,1,0,0.3598,0.3748,0.25,0.1065,0.4915,0.4915
"23","23_Pr01_1_Composite.tif",0,0,1,0.3895,0.3781,0.2666,0.1402,0.4803,0.4803
"33","23_Pr01_1_Composite.tif",0,1,0,0.5709,0.5676,0.4375,0.1728,0.4803,0.4803
"24","23_Pr01_2_Composite.tif",0,0,1,0.3381,0.3345,0.0952,0.1194,0.3691,0.3691
"34","23_Pr01_2_Composite.tif",0,1,0,0.542,0.547,0.4337,0.1601,0.3691,0.3691
"25","23_Pr01_3_Composite.tif",0,0,1,0.2598,0.2571,0.1666,0.1291,0.4375,0.4375
"35","23_Pr01_3_Composite.tif",0,1,0,0.607,0.6257,0.4736,0.1991,0.4375,0.4375
"26","24_Pr01_1_Composite.tif",0,0,1,0.2651,0.2563,0,0.0949,0.3288,0.3288
"36","24_Pr01_1_Composite.tif",0,1,0,0.4441,0.4364,0.4489,0.2079,0.3288,0.3288
"27","24_Pr01_2_Composite.tif",0,0,1,0.2802,0.2795,0,0.1109,0.3933,0.3933
"37","24_Pr01_2_Composite.tif",0,1,0,0.6164,0.6185,0.6296,0.2013,0.3933,0.3933
"28","24_Pr01_3_Composite.tif",0,0,1,0.3259,0.3031,0.1764,0.1633,0.3502,0.3502
"38","24_Pr01_3_Composite.tif",0,1,0,0.3627,0.3563,0.3125,0.1152,0.3502,0.3502
"29","24_Pr01_4_Composite.tif",0,0,1,0.3759,0.3736,0.0833,0.0998,0.4494,0.4494
"39","24_Pr01_4_Composite.tif",0,1,0,0.6615,0.6529,0.5714,0.2061,0.4494,0.4494
