"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","22_10_Composite.tif",0,0,1,0.3442,0.3393,0.4285,0.144,0.5205,0.5205
"3","22_10_Composite.tif",0,1,0,0.3975,0.3765,0.3508,0.1263,0.5205,0.5205
"21","22_11_Composite.tif",0,0,1,0.6424,0.6405,0.7857,0.2009,0.6064,0.6064
"31","22_11_Composite.tif",0,1,0,0.5617,0.5362,0.2758,0.1449,0.6064,0.6064
"22","22_12_Composite.tif",0,0,1,0.3953,0.38,0.1739,0.1362,0.6161,0.6161
"32","22_12_Composite.tif",0,1,0,0.641,0.6391,0.5531,0.1833,0.6161,0.6161
"23","22_13_Composite.tif",0,0,1,0.3175,0.2915,0.0833,0.0998,0.516,0.516
"33","22_13_Composite.tif",0,1,0,0.6531,0.6734,0.5087,0.2014,0.516,0.516
"24","22_14_Composite.tif",0,0,1,0.4316,0.4234,0.1666,0.1411,0.5935,0.5935
"34","22_14_Composite.tif",0,1,0,0.7222,0.7161,0.5217,0.176,0.5935,0.5935
"25","22_15_Composite.tif",0,0,1,0.4862,0.4723,0.1052,0.1059,0.5836,0.5836
"35","22_15_Composite.tif",0,1,0,0.6039,0.5651,0.3061,0.1239,0.5836,0.5836
"26","22_16_Composite.tif",0,0,1,0.5656,0.5566,0.2962,0.1393,0.548,0.548
"36","22_16_Composite.tif",0,1,0,0.5969,0.5749,0.35,0.1341,0.548,0.548
"27","22_17_Composite.tif",0,0,1,0.5576,0.5455,0.2692,0.131,0.5423,0.5423
"37","22_17_Composite.tif",0,1,0,0.5753,0.562,0.2622,0.115,0.5423,0.5423
"28","22_18_Composite.tif",0,0,1,0.6728,0.6632,0.3333,0.1302,0.5787,0.5787
"38","22_18_Composite.tif",0,1,0,0.6597,0.6569,0.3333,0.1271,0.5787,0.5787
"29","22_19_Composite.tif",0,0,1,0.5632,0.5602,0.5217,0.1882,0.564,0.564
"39","22_19_Composite.tif",0,1,0,0.442,0.4205,0.2222,0.1194,0.564,0.564
"210","22_1_Composite.tif",0,0,1,0.4505,0.4434,0.2857,0.1463,0.5555,0.5555
"310","22_1_Composite.tif",0,1,0,0.5588,0.5398,0.3333,0.1315,0.5555,0.5555
"211","22_20_Composite.tif",0,0,1,0.4054,0.4043,0.1818,0.1197,0.5869,0.5869
"311","22_20_Composite.tif",0,1,0,0.7458,0.7523,0.64,0.1861,0.5869,0.5869
"212","22_21_Composite.tif",0,0,1,0.3866,0.3728,0.1904,0.0981,0.6124,0.6124
"312","22_21_Composite.tif",0,1,0,0.6765,0.6806,0.5111,0.1699,0.6124,0.6124
"213","22_22_Composite.tif",0,0,1,0.313,0.3044,0.2333,0.131,0.4831,0.4831
"313","22_22_Composite.tif",0,1,0,0.2015,0.1852,0.123,0.0913,0.4831,0.4831
"214","22_23_Composite.tif",0,0,1,0.427,0.4135,0.375,0.1716,0.5852,0.5852
"314","22_23_Composite.tif",0,1,0,0.5708,0.5819,0.5,0.1518,0.5852,0.5852
"215","22_24_Composite.tif",0,0,1,0.53,0.5151,0.4761,0.1664,0.5338,0.5338
"315","22_24_Composite.tif",0,1,0,0.4887,0.4635,0.25,0.1134,0.5338,0.5338
"216","22_25_Composite.tif",0,0,1,0.4201,0.4171,0.15,0.1331,0.5703,0.5703
"316","22_25_Composite.tif",0,1,0,0.4966,0.484,0.32,0.129,0.5703,0.5703
"217","22_26_Composite.tif",0,0,1,0.5053,0.4998,0.3043,0.1482,0.5404,0.5404
"317","22_26_Composite.tif",0,1,0,0.5969,0.5788,0.3384,0.1257,0.5404,0.5404
"218","22_27_Composite.tif",0,0,1,0.5791,0.5636,0.4545,0.1638,0.6204,0.6204
"318","22_27_Composite.tif",0,1,0,0.5837,0.5707,0.2758,0.1233,0.6204,0.6204
"219","22_28_Composite.tif",0,0,1,0.5324,0.5155,0.3076,0.1725,0.5014,0.5014
"319","22_28_Composite.tif",0,1,0,0.3743,0.3587,0.1206,0.0902,0.5014,0.5014
"220","22_29_Composite.tif",0,0,1,0.485,0.4687,0.3636,0.163,0.5373,0.5373
"320","22_29_Composite.tif",0,1,0,0.6399,0.6339,0.4545,0.155,0.5373,0.5373
"221","22_2_Composite.tif",0,0,1,0.3858,0.3655,0.25,0.1332,0.576,0.576
"321","22_2_Composite.tif",0,1,0,0.5809,0.5686,0.5166,0.2027,0.576,0.576
"222","22_30_Composite.tif",0,0,1,0.3746,0.3656,0.3809,0.1247,0.6234,0.6234
"322","22_30_Composite.tif",0,1,0,0.5417,0.5576,0.425,0.1382,0.6234,0.6234
"223","22_31_Composite.tif",0,0,1,0.5398,0.5287,0.2307,0.1193,0.6142,0.6142
"323","22_31_Composite.tif",0,1,0,0.6018,0.5609,0.3142,0.1084,0.6142,0.6142
"224","22_32_Composite.tif",0,0,1,0.3773,0.3656,0.0333,0.0917,0.5718,0.5718
"324","22_32_Composite.tif",0,1,0,0.6534,0.6451,0.3972,0.1601,0.5718,0.5718
"225","22_33_Composite.tif",0,0,1,0.5304,0.5311,0.3,0.1534,0.6889,0.6889
"325","22_33_Composite.tif",0,1,0,0.7209,0.7069,0.5714,0.2127,0.6889,0.6889
"226","22_34_Composite.tif",0,0,1,0.3945,0.3795,0.2857,0.1454,0.6389,0.6389
"326","22_34_Composite.tif",0,1,0,0.6297,0.6258,0.5476,0.1897,0.6389,0.6389
"227","22_3_Composite.tif",0,0,1,0.5016,0.4949,0.1875,0.1077,0.5607,0.5607
"327","22_3_Composite.tif",0,1,0,0.6654,0.673,0.3529,0.1468,0.5607,0.5607
"228","22_4_Composite.tif",0,0,1,0.3588,0.3507,0.2857,0.1161,0.5097,0.5097
"328","22_4_Composite.tif",0,1,0,0.5529,0.5499,0.4545,0.163,0.5097,0.5097
"229","22_5_Composite.tif",0,0,1,0.385,0.3752,0.35,0.1782,0.5329,0.5329
"329","22_5_Composite.tif",0,1,0,0.4131,0.3783,0.2727,0.1308,0.5329,0.5329
"230","22_6_Composite.tif",0,0,1,0.525,0.523,0.2857,0.1178,0.5202,0.5202
"330","22_6_Composite.tif",0,1,0,0.748,0.7409,0.4067,0.153,0.5202,0.5202
"231","22_7_Composite.tif",0,0,1,0.4936,0.4832,0.25,0.1146,0.5563,0.5563
"331","22_7_Composite.tif",0,1,0,0.5484,0.5404,0.3137,0.1132,0.5563,0.5563
"232","22_8_Composite.tif",0,0,1,0.3405,0.3158,0.16,0.1045,0.4754,0.4754
