"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","01_Composite.tif",0,0,1,0.8421,0.8387,0.5,0.1583,0.7057,0.7057
"3","01_Composite.tif",0,1,0,0.6442,0.6417,0.1818,0.057,0.7057,0.7057
"21","02_Composite.tif",0,0,1,0.8874,0.8898,0.6551,0.2432,0.7034,0.7034
"31","02_Composite.tif",0,1,0,0.5458,0.5367,0.0526,0.0514,0.7034,0.7034
"22","03_Composite.tif",0,0,1,0.8852,0.8851,0.8064,0.3382,0.5854,0.5854
"32","03_Composite.tif",0,1,0,0.301,0.2982,0,0.0365,0.5854,0.5854
"23","04_Composite.tif",0,0,1,0.0382,0.0543,0,0.0382,0.0666,0.0666
"33","04_Composite.tif",0,1,0,0.0246,0.028,0,0.0195,0.0666,0.0666
"24","05_Composite.tif",0,0,1,0.8414,0.8339,0.7,0.2909,0.5759,0.5759
"34","05_Composite.tif",0,1,0,0.3136,0.3113,0,0.0764,0.5759,0.5759
"25","06_Composite.tif",0,0,1,0.6446,0.6482,0.421,0.1815,0.6283,0.6283
"35","06_Composite.tif",0,1,0,0.5082,0.4961,0.3,0.1308,0.6283,0.6283
"26","07_Composite.tif",0,0,1,0.6573,0.6677,0.3125,0.1526,0.5247,0.5247
"36","07_Composite.tif",0,1,0,0.366,0.341,0.0476,0.048,0.5247,0.5247
"27","08_Composite.tif",0,0,1,0.7353,0.7424,0.6551,0.2391,0.5985,0.5985
"37","08_Composite.tif",0,1,0,0.2689,0.2649,0.05,0.0486,0.5985,0.5985
"28","09_Composite.tif",0,0,1,0.7539,0.7567,0.375,0.1736,0.6333,0.6333
"38","09_Composite.tif",0,1,0,0.508,0.4946,0.1666,0.0744,0.6333,0.6333
"29","10_Composite.tif",0,0,1,0.6749,0.7068,0.2592,0.1176,0.6123,0.6123
"39","10_Composite.tif",0,1,0,0.5544,0.5194,0.125,0.0745,0.6123,0.6123
