"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","01_10_Composite.tif",0,0,1,0.7355,0.7581,0.75,0.2565,0.4963,0.4963
"3","01_10_Composite.tif",0,1,0,0.1287,0.1306,0,0.0409,0.4963,0.4963
"21","01_1_Composite.tif",0,0,1,0.7715,0.7768,0.7096,0.2259,0.6253,0.6253
"31","01_1_Composite.tif",0,1,0,0.4798,0.4573,0.1666,0.0789,0.6253,0.6253
"22","01_2_Composite.tif",0,0,1,0.8234,0.8151,0.4666,0.1698,0.632,0.632
"32","01_2_Composite.tif",0,1,0,0.509,0.5023,0.3,0.0853,0.632,0.632
"23","01_3_Composite.tif",0,0,1,0.7172,0.7314,0.7142,0.2294,0.5708,0.5708
"33","01_3_Composite.tif",0,1,0,0.2853,0.2855,0,0.0257,0.5708,0.5708
"24","01_4_Composite.tif",0,0,1,0.6801,0.6793,0.6071,0.1924,0.6103,0.6103
"34","01_4_Composite.tif",0,1,0,0.3509,0.3471,0.1111,0.0491,0.6103,0.6103
"25","01_5_Composite.tif",0,0,1,0.7098,0.7163,0.7777,0.2502,0.5463,0.5463
"35","01_5_Composite.tif",0,1,0,0.1868,0.1861,0,0.0446,0.5463,0.5463
"26","01_6_Composite.tif",0,0,1,0.7895,0.79,0.6666,0.2801,0.6549,0.6549
"36","01_6_Composite.tif",0,1,0,0.2618,0.2506,0,0.0242,0.6549,0.6549
"27","01_7_Composite.tif",0,0,1,0.7335,0.7575,0.75,0.2554,0.4922,0.4922
"37","01_7_Composite.tif",0,1,0,0.127,0.1284,0,0.0391,0.4922,0.4922
"28","01_8_Composite.tif",0,0,1,0.8943,0.8928,0.9062,0.3247,0.6907,0.6907
"38","01_8_Composite.tif",0,1,0,0.4412,0.4366,0.1111,0.0686,0.6907,0.6907
"29","01_9_Composite.tif",0,0,1,0.854,0.859,0.6451,0.2334,0.6106,0.6106
"39","01_9_Composite.tif",0,1,0,0.4152,0.4153,0,0.0492,0.6106,0.6106
"210","02_10_Composite.tif",0,0,1,0.6885,0.7072,0.5555,0.2204,0.4248,0.4248
"310","02_10_Composite.tif",0,1,0,0.1952,0.1934,0,0.0168,0.4248,0.4248
"211","02_1_Composite.tif",0,0,1,0.5952,0.6262,0.5769,0.2332,0.3927,0.3927
"311","02_1_Composite.tif",0,1,0,0.1829,0.1837,0.04,0.0348,0.3927,0.3927
"212","02_2_Composite.tif",0,0,1,0.3682,0.4732,0.4666,0.1547,0.2334,0.2334
"312","02_2_Composite.tif",0,1,0,0.0824,0.0832,0,0.0161,0.2334,0.2334
"213","02_3_Composite.tif",0,0,1,0.6457,0.6541,0.5806,0.203,0.5027,0.5027
"313","02_3_Composite.tif",0,1,0,0.3957,0.3632,0.0952,0.0975,0.5027,0.5027
"214","02_4_Composite.tif",0,0,1,0.3441,0.3935,0.4117,0.1859,0.2044,0.2044
"314","02_4_Composite.tif",0,1,0,0.0548,0.0559,0.0666,0.0231,0.2044,0.2044
"215","02_5_Composite.tif",0,0,1,0.1594,0.1578,0.2,0.1155,0.171,0.171
"315","02_5_Composite.tif",0,1,0,0.0327,0.0313,0,0.0184,0.171,0.171
"216","02_6_Composite.tif",0,0,1,0.4257,0.4731,0.5,0.1563,0.3032,0.3032
"316","02_6_Composite.tif",0,1,0,0.0899,0.0881,0,0.0298,0.3032,0.3032
"217","02_7_Composite.tif",0,0,1,0.2629,0.2838,0.2727,0.0777,0.2116,0.2116
"317","02_7_Composite.tif",0,1,0,0.1377,0.1419,0.0606,0.033,0.2116,0.2116
"218","02_8_Composite.tif",0,0,1,0.3854,0.3822,0.2857,0.1038,0.2847,0.2847
