"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","01_Composite.tif",0,0,1,0.6567,0.6796,0.5925,0.2315,0.5585,0.5585
"3","01_Composite.tif",0,1,0,0.3379,0.3368,0.2857,0.2139,0.5585,0.5585
"21","02_Composite.tif",0,0,1,0.2464,0.2406,0.1891,0.1052,0.2786,0.2786
"31","02_Composite.tif",0,1,0,0.4367,0.4458,0.4761,0.1665,0.2786,0.2786
"22","03_Composite.tif",0,0,1,0.8129,0.812,0.5454,0.2016,0.6167,0.6167
"32","03_Composite.tif",0,1,0,0.4882,0.4637,0.4,0.1688,0.6167,0.6167
"23","04_Composite.tif",0,0,1,0.4969,0.4897,0.3913,0.1473,0.4737,0.4737
"33","04_Composite.tif",0,1,0,0.3031,0.29,0.1724,0.1218,0.4737,0.4737
"24","05_Composite.tif",0,0,1,0.6897,0.689,0.7391,0.2573,0.5981,0.5981
"34","05_Composite.tif",0,1,0,0.4372,0.4371,0.3333,0.1723,0.5981,0.5981
"25","06_Composite.tif",0,0,1,0.7149,0.7217,0.64,0.2009,0.5719,0.5719
"35","06_Composite.tif",0,1,0,0.342,0.3388,0,0.1501,0.5719,0.5719
"26","07_Composite.tif",0,0,1,0.8588,0.8802,0.6363,0.2369,0.6408,0.6408
"36","07_Composite.tif",0,1,0,0.3392,0.3388,0,0.0677,0.6408,0.6408
"27","08_Composite.tif",0,0,1,0.8253,0.83,0.6111,0.2328,0.6654,0.6654
"37","08_Composite.tif",0,1,0,0.5653,0.5653,1,0.2184,0.6654,0.6654
"28","09_Composite.tif",0,0,1,0.6308,0.6311,0.3333,0.1325,0.5694,0.5694
"38","09_Composite.tif",0,1,0,0.5319,0.5367,0.6,0.2141,0.5694,0.5694
"29","10_Composite.tif",0,0,1,0.5812,0.5767,0.35,0.1706,0.5319,0.5319
"39","10_Composite.tif",0,1,0,0.4734,0.4611,0.3225,0.1489,0.5319,0.5319
