"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","06_10_Composite.tif",0,0,1,0.5069,0.5593,0.4687,0.1531,0.3831,0.3831
"3","06_10_Composite.tif",0,1,0,0.2117,0.2117,0,0.0942,0.3831,0.3831
"21","06_1_Composite.tif",0,0,1,0.4604,0.4464,0.4324,0.1498,0.4213,0.4213
"31","06_1_Composite.tif",0,1,0,0.1505,0.1461,0.0833,0.102,0.4213,0.4213
"22","06_2_Composite.tif",0,0,1,0.5728,0.5458,0.2758,0.1411,0.4733,0.4733
"32","06_2_Composite.tif",0,1,0,0.1956,0.1918,0.2222,0.0938,0.4733,0.4733
"23","06_3_Composite.tif",0,0,1,0.6654,0.633,0.4285,0.1955,0.5008,0.5008
"33","06_3_Composite.tif",0,1,0,0.1994,0.198,0.3333,0.1405,0.5008,0.5008
"24","06_4_Composite.tif",0,0,1,0.483,0.5514,0.4615,0.1667,0.3678,0.3678
"34","06_4_Composite.tif",0,1,0,0.169,0.1679,0,0.0746,0.3678,0.3678
"25","06_5_Composite.tif",0,0,1,0.7233,0.7166,0.6666,0.2136,0.4767,0.4767
"35","06_5_Composite.tif",0,1,0,0.2254,0.2256,0,0.1035,0.4767,0.4767
"26","06_6_Composite.tif",0,0,1,0.4181,0.3941,0.3043,0.1215,0.3783,0.3783
"36","06_6_Composite.tif",0,1,0,0.1272,0.1206,0,0.0679,0.3783,0.3783
"27","06_7_Composite.tif",0,0,1,0.5065,0.4859,0.45,0.1549,0.4293,0.4293
"37","06_7_Composite.tif",0,1,0,0.1449,0.1418,0.1428,0.0968,0.4293,0.4293
"28","06_8_Composite.tif",0,0,1,0.5046,0.4862,0.45,0.1533,0.4261,0.4261
"38","06_8_Composite.tif",0,1,0,0.1476,0.1442,0.1428,0.0979,0.4261,0.4261
"29","06_9_Composite.tif",0,0,1,0.388,0.4536,0.3333,0.1347,0.2916,0.2916
"39","06_9_Composite.tif",0,1,0,0.1406,0.1399,0,0.0505,0.2916,0.2916
"210","07_10_Composite.tif",0,0,1,0.5578,0.5656,0.5853,0.1931,0.3465,0.3465
"310","07_10_Composite.tif",0,1,0,0.1776,0.1755,0.0476,0.0477,0.3465,0.3465
"211","07_1_Composite.tif",0,0,1,0.4056,0.4379,0.3617,0.1397,0.4186,0.4186
"311","07_1_Composite.tif",0,1,0,0.2463,0.2483,0.0769,0.0864,0.4186,0.4186
"212","07_2_Composite.tif",0,0,1,0.2286,0.2318,0.3243,0.1169,0.2744,0.2744
"312","07_2_Composite.tif",0,1,0,0.1589,0.1535,0.1052,0.0833,0.2744,0.2744
"213","07_3_Composite.tif",0,0,1,0.5032,0.5161,0.3333,0.1334,0.4529,0.4529
"313","07_3_Composite.tif",0,1,0,0.3103,0.3005,0.1333,0.1178,0.4529,0.4529
"214","07_4_Composite.tif",0,0,1,0.3212,0.3328,0.238,0.1399,0.3549,0.3549
"314","07_4_Composite.tif",0,1,0,0.2106,0.2142,0.0714,0.0727,0.3549,0.3549
"215","07_5_Composite.tif",0,0,1,0.3499,0.355,0.32,0.1347,0.3258,0.3258
"315","07_5_Composite.tif",0,1,0,0.1721,0.1731,0.0666,0.0708,0.3258,0.3258
"216","07_6_Composite.tif",0,0,1,0.7231,0.6541,0.4166,0.1182,0.3663,0.3663
"316","07_6_Composite.tif",0,1,0,0.0629,0.066,0,0.0284,0.3663,0.3663
"217","07_7_Composite.tif",0,0,1,0.4444,0.4393,0.4193,0.1597,0.2917,0.2917
"317","07_7_Composite.tif",0,1,0,0.0734,0.0731,0,0.0601,0.2917,0.2917
"218","07_8_Composite.tif",0,0,1,0.0584,0.0579,0.1111,0.0647,0.1402,0.1402
"318","07_8_Composite.tif",0,1,0,0.1144,0.1148,0.074,0.0643,0.1402,0.1402
"219","07_9_Composite.tif",0,0,1,0.4316,0.4745,0.3636,0.1537,0.4493,0.4493
"319","07_9_Composite.tif",0,1,0,0.2211,0.2167,0.04,0.0731,0.4493,0.4493
"220","08_10_Composite.tif",0,0,1,0.6574,0.6603,0.6666,0.2082,0.4809,0.4809
"320","08_10_Composite.tif",0,1,0,0.2212,0.216,0.0454,0.0526,0.4809,0.4809
"221","08_1_Composite.tif",0,0,1,0.5134,0.5176,0.28,0.1343,0.4481,0.4481
"321","08_1_Composite.tif",0,1,0,0.3552,0.3473,0.1818,0.1181,0.4481,0.4481
"222","08_2_Composite.tif",0,0,1,0.512,0.5499,0.5555,0.1902,0.4805,0.4805
"322","08_2_Composite.tif",0,1,0,0.1977,0.1955,0.04,0.0632,0.4805,0.4805
"223","08_3_Composite.tif",0,0,1,0.6335,0.6189,0.4047,0.2018,0.5736,0.5736
"323","08_3_Composite.tif",0,1,0,0.3582,0.3094,0.0666,0.0561,0.5736,0.5736
"224","08_4_Composite.tif",0,0,1,0.5252,0.5317,0.5714,0.1612,0.4754,0.4754
"324","08_4_Composite.tif",0,1,0,0.1987,0.2006,0.0909,0.1014,0.4754,0.4754
"225","08_5_Composite.tif",0,0,1,0.6712,0.6703,0.3809,0.1585,0.456,0.456
"325","08_5_Composite.tif",0,1,0,0.2842,0.2721,0.1,0.0723,0.456,0.456
"226","08_6_Composite.tif",0,0,1,0.8465,0.8448,0.5333,0.2109,0.6205,0.6205
"326","08_6_Composite.tif",0,1,0,0.3267,0.3265,0,0.1183,0.6205,0.6205
"227","08_7_Composite.tif",0,0,1,0.7935,0.7913,0.8064,0.271,0.6017,0.6017
"327","08_7_Composite.tif",0,1,0,0.345,0.3429,0.1666,0.1225,0.6017,0.6017
"228","08_8_Composite.tif",0,0,1,0.7164,0.7073,0.5384,0.1813,0.5879,0.5879
"328","08_8_Composite.tif",0,1,0,0.4486,0.4512,0.4,0.1138,0.5879,0.5879
"229","08_9_Composite.tif",0,0,1,0.7506,0.7344,0.5777,0.2042,0.5462,0.5462
"329","08_9_Composite.tif",0,1,0,0.2718,0.2625,0.0833,0.0563,0.5462,0.5462
"230","09_10_Composite.tif",0,0,1,0.4452,0.4734,0.3913,0.1287,0.4014,0.4014
"330","09_10_Composite.tif",0,1,0,0.1802,0.1838,0.0909,0.0697,0.4014,0.4014
"231","09_1_Composite.tif",0,0,1,0.4647,0.4765,0.3714,0.1517,0.4173,0.4173
"331","09_1_Composite.tif",0,1,0,0.243,0.2417,0.1818,0.0907,0.4173,0.4173
"232","09_2_Composite.tif",0,0,1,0.4522,0.3917,0.1739,0.0793,0.4432,0.4432
"332","09_2_Composite.tif",0,1,0,0.154,0.1501,0,0.0475,0.4432,0.4432
"233","09_3_Composite.tif",0,0,1,0.1066,0.1118,0.0833,0.0588,0.0607,0.0607
"333","09_3_Composite.tif",0,1,0,0.0468,0.0434,0.0454,0.0275,0.0607,0.0607
"234","09_4_Composite.tif",0,0,1,0.3209,0.3302,0.2222,0.0974,0.2956,0.2956
"334","09_4_Composite.tif",0,1,0,0.1257,0.1229,0.1428,0.0894,0.2956,0.2956
"235","09_5_Composite.tif",0,0,1,0.4868,0.488,0.5652,0.1733,0.4289,0.4289
"335","09_5_Composite.tif",0,1,0,0.2236,0.2187,0.1111,0.0866,0.4289,0.4289
"236","09_6_Composite.tif",0,0,1,0.3683,0.4206,0.3125,0.1062,0.4121,0.4121
"336","09_6_Composite.tif",0,1,0,0.207,0.207,0,0.0948,0.4121,0.4121
"237","09_7_Composite.tif",0,0,1,0.4454,0.4133,0.3611,0.1281,0.4352,0.4352
"337","09_7_Composite.tif",0,1,0,0.2428,0.2458,0.1111,0.1042,0.4352,0.4352
"238","09_8_Composite.tif",0,0,1,0.6893,0.7,0.5384,0.1519,0.6037,0.6037
"338","09_8_Composite.tif",0,1,0,0.2951,0.2878,0.25,0.1407,0.6037,0.6037
"239","09_9_Composite.tif",0,0,1,0.5457,0.5411,0.4545,0.1542,0.4668,0.4668
"339","09_9_Composite.tif",0,1,0,0.2891,0.2826,0.125,0.0802,0.4668,0.4668
"240","35_10_Composite.tif",0,0,1,0.7161,0.79,0.6666,0.1989,0.5178,0.5178
"340","35_10_Composite.tif",0,1,0,0.3324,0.2617,0,0.0352,0.5178,0.5178
"241","35_1_Composite.tif",0,0,1,0.5846,0.6145,0.5833,0.2,0.5087,0.5087
"341","35_1_Composite.tif",0,1,0,0.1389,0.1301,0,0.0414,0.5087,0.5087
"242","35_2_Composite.tif",0,0,1,0.5243,0.5732,0.2727,0.1172,0.4313,0.4313
"342","35_2_Composite.tif",0,1,0,0.0629,0.0584,0.1428,0.0692,0.4313,0.4313
"243","35_3_Composite.tif",0,0,1,0.3446,0.329,0.2,0.0996,0.3118,0.3118
"343","35_3_Composite.tif",0,1,0,0.2075,0.2145,0.1666,0.081,0.3118,0.3118
"244","35_4_Composite.tif",0,0,1,0.7108,0.6651,0.2352,0.1176,0.5099,0.5099
"344","35_4_Composite.tif",0,1,0,0.248,0.1819,0,0.0388,0.5099,0.5099
"245","35_5_Composite.tif",0,0,1,0.8281,0.8286,0.7142,0.2792,0.5644,0.5644
"345","35_5_Composite.tif",0,1,0,0.2325,0.2325,0,0.103,0.5644,0.5644
"246","35_6_Composite.tif",0,0,1,0.689,0.7422,0.4285,0.1876,0.5064,0.5064
"346","35_6_Composite.tif",0,1,0,0.262,0.2385,0,0.0302,0.5064,0.5064
"247","35_7_Composite.tif",0,0,1,0.8487,0.8519,0.5333,0.2647,0.6327,0.6327
"347","35_7_Composite.tif",0,1,0,0.3484,0.3482,0,0.1036,0.6327,0.6327
"248","35_8_Composite.tif",0,0,1,0.7509,0.7484,0.5217,0.2041,0.5344,0.5344
"348","35_8_Composite.tif",0,1,0,0.1452,0.1383,0,0.044,0.5344,0.5344
"249","35_9_Composite.tif",0,0,1,0.8284,0.8316,0.75,0.2859,0.5768,0.5768
"349","35_9_Composite.tif",0,1,0,0.2696,0.2651,0,0.0643,0.5768,0.5768
"250","36_10_Composite.tif",0,0,1,0.4929,0.5207,0.2142,0.1061,0.3582,0.3582
"350","36_10_Composite.tif",0,1,0,0.166,0.1677,0,0.047,0.3582,0.3582
"251","36_1_Composite.tif",0,0,1,0.5201,0.5169,0.32,0.1311,0.4197,0.4197
"351","36_1_Composite.tif",0,1,0,0.1902,0.1682,0.0588,0.0669,0.4197,0.4197
"252","36_2_Composite.tif",0,0,1,0.66,0.6847,0.5384,0.1736,0.4324,0.4324
"352","36_2_Composite.tif",0,1,0,0.2822,0.2762,0.1666,0.1525,0.4324,0.4324
"253","36_3_Composite.tif",0,0,1,0.6719,0.75,0.7391,0.2105,0.3872,0.3872
"353","36_3_Composite.tif",0,1,0,0.1058,0.1052,0,0.0512,0.3872,0.3872
"254","36_4_Composite.tif",0,0,1,0.8215,0.8421,0.8,0.2386,0.5007,0.5007
"354","36_4_Composite.tif",0,1,0,0.1755,0.1751,0,0.036,0.5007,0.5007
"255","36_5_Composite.tif",0,0,1,0.3806,0.3698,0.423,0.1205,0.4126,0.4126
"355","36_5_Composite.tif",0,1,0,0.1601,0.1615,0.1176,0.098,0.4126,0.4126
"256","36_6_Composite.tif",0,0,1,0.6342,0.6304,0.4117,0.1434,0.4539,0.4539
"356","36_6_Composite.tif",0,1,0,0.2528,0.2444,0,0.0613,0.4539,0.4539
"257","36_7_Composite.tif",0,0,1,0.4272,0.4335,0.2727,0.1146,0.4215,0.4215
"357","36_7_Composite.tif",0,1,0,0.1763,0.1649,0.0833,0.0724,0.4215,0.4215
"258","36_8_Composite.tif",0,0,1,0.7517,0.8037,0.7894,0.2299,0.4251,0.4251
"358","36_8_Composite.tif",0,1,0,0.135,0.134,0,0.06,0.4251,0.4251
"259","36_9_Composite.tif",0,0,1,0.4985,0.4823,0.3478,0.13,0.4752,0.4752
