Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;59.00;54.00;0.00;0.70;-0.16;1.00;5.00;0.66;3.55;0.42;3.52;0.00;-7.50
1.00;63.00;58.00;0.00;0.73;-0.14;1.00;5.00;0.54;2.95;0.46;3.28;0.00;-2.93
2.00;60.00;50.00;0.02;0.06;-1.19;1.00;5.00;0.53;3.20;0.28;3.42;0.00;-6.44
3.00;62.00;59.00;0.03;0.00;-2.59;1.00;5.00;0.58;2.55;0.45;3.03;0.00;-5.22
4.00;58.00;54.00;0.00;0.70;-0.16;1.00;5.00;0.51;3.05;0.30;2.61;0.00;-4.72
5.00;50.00;52.00;0.00;0.68;-0.17;1.00;5.00;1.00;4.60;0.40;3.49;0.00;-9.03
6.00;54.00;52.00;0.02;0.07;-1.18;1.00;5.00;0.69;3.00;0.41;3.04;0.00;-5.60
7.00;57.00;46.00;0.04;0.00;-3.09;1.00;5.00;0.86;3.00;0.57;3.18;0.00;-4.55
8.00;60.00;57.00;0.02;0.11;-0.94;1.00;5.00;0.70;2.90;0.39;2.67;0.00;-4.58
9.00;57.00;62.00;0.02;0.11;-0.95;1.00;5.00;0.47;2.05;0.50;3.02;0.00;-14.64
10.00;61.00;62.00;0.03;0.00;-3.00;1.00;5.00;1.00;4.60;0.31;2.52;0.00;-7.31
11.00;56.00;52.00;0.00;0.70;-0.16;1.00;5.00;0.50;3.25;0.33;3.03;0.00;-6.04
12.00;58.00;58.00;0.00;0.71;-0.15;1.00;5.00;0.31;2.40;0.31;3.11;0.00;-3.56
13.00;65.00;54.00;0.00;0.71;-0.15;1.00;5.00;0.30;2.05;0.38;3.16;0.00;-2.92
14.00;58.00;61.00;0.02;0.08;-1.08;1.00;5.00;0.73;4.10;0.36;3.61;0.00;-3.72
15.00;52.00;55.00;0.05;0.00;-6.58;1.00;5.00;1.00;3.25;0.56;3.05;0.00;-11.04
16.00;51.00;52.00;0.02;0.06;-1.25;1.00;5.00;0.89;2.90;0.51;2.60;0.00;-6.51
17.00;56.00;53.00;0.06;0.00;-6.68;1.00;5.00;1.00;3.30;0.42;2.49;0.00;-12.13
18.00;52.00;51.00;0.08;0.00;-12.47;1.00;5.00;0.83;2.30;0.58;2.92;0.00;-15.91
19.00;45.00;55.00;0.04;0.00;-3.23;1.00;5.00;0.85;2.80;0.59;3.18;0.00;-9.34
