"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","structure_1_30_1_Composite.tif",0,0,1,0.2712,0.2668,0.2236,0.2572,0.192,0.192
"3","structure_1_30_1_Composite.tif",0,1,0,0.2313,0.2266,0.1219,0.2182,0.192,0.192
"21","structure_1_30_2_Composite.tif",0,0,1,0.2004,0.1948,0.106,0.2199,0.1608,0.1608
"31","structure_1_30_2_Composite.tif",0,1,0,0.2295,0.2265,0.15,0.2197,0.1608,0.1608
"22","structure_1_30_3_Composite.tif",0,0,1,0.2167,0.2082,0.0652,0.2676,0.1692,0.1692
"32","structure_1_30_3_Composite.tif",0,1,0,0.2626,0.2626,0.1818,0.2492,0.1692,0.1692
"23","structure_1_30_4_Composite.tif",0,0,1,0.2771,0.2708,0.1403,0.2495,0.2239,0.2239
"33","structure_1_30_4_Composite.tif",0,1,0,0.2341,0.2326,0.1818,0.2383,0.2239,0.2239
"24","structure_1_30_5_Composite.tif",0,0,1,0.2883,0.2873,0.1914,0.264,0.2122,0.2122
"34","structure_1_30_5_Composite.tif",0,1,0,0.291,0.2853,0.1632,0.2546,0.2122,0.2122
"25","structure_2_30_1_Composite.tif",0,0,1,0.2659,0.2416,0.1014,0.191,0.227,0.227
"35","structure_2_30_1_Composite.tif",0,1,0,0.2377,0.2343,0.1228,0.2176,0.227,0.227
"26","structure_2_30_2_Composite.tif",0,0,1,0.2647,0.2388,0.1,0.1972,0.2681,0.2681
"36","structure_2_30_2_Composite.tif",0,1,0,0.2738,0.2651,0.1475,0.2178,0.2681,0.2681
"27","structure_2_30_3_Composite.tif",0,0,1,0.2623,0.2616,0.1632,0.2188,0.2474,0.2474
"37","structure_2_30_3_Composite.tif",0,1,0,0.2945,0.2831,0.1403,0.2642,0.2474,0.2474
"28","structure_2_30_4_Composite.tif",0,0,1,0.3137,0.3172,0.1463,0.2345,0.223,0.223
"38","structure_2_30_4_Composite.tif",0,1,0,0.2412,0.2225,0.1489,0.1947,0.223,0.223
"29","structure_2_30_5_Composite.tif",0,0,1,0.2941,0.2766,0.1549,0.1909,0.2498,0.2498
"39","structure_2_30_5_Composite.tif",0,1,0,0.3022,0.2946,0.1454,0.2121,0.2498,0.2498
"210","structure_3_30_1_Composite.tif",0,0,1,0.1682,0.1617,0.0517,0.1871,0.1878,0.1878
"310","structure_3_30_1_Composite.tif",0,1,0,0.2512,0.2467,0.1698,0.2168,0.1878,0.1878
"211","structure_3_30_2_Composite.tif",0,0,1,0.1687,0.1723,0.0545,0.1957,0.1605,0.1605
"311","structure_3_30_2_Composite.tif",0,1,0,0.2911,0.2797,0.1846,0.2742,0.1605,0.1605
"212","structure_3_30_3_Composite.tif",0,0,1,0.2592,0.2536,0.1379,0.2415,0.1611,0.1611
"312","structure_3_30_3_Composite.tif",0,1,0,0.2259,0.2303,0.1521,0.2322,0.1611,0.1611
"213","structure_3_30_4_Composite.tif",0,0,1,0.2284,0.2318,0.1372,0.2425,0.1767,0.1767
"313","structure_3_30_4_Composite.tif",0,1,0,0.2154,0.2078,0.1142,0.2334,0.1767,0.1767
"214","structure_3_30_5_Composite.tif",0,0,1,0.2336,0.2352,0.0983,0.2798,0.1785,0.1785
"314","structure_3_30_5_Composite.tif",0,1,0,0.2249,0.2224,0.098,0.2648,0.1785,0.1785
"215","structure_4_30_1_Composite.tif",0,0,1,0.3745,0.3675,0.125,0.2276,0.2979,0.2979
"315","structure_4_30_1_Composite.tif",0,1,0,0.3209,0.3103,0.0952,0.2273,0.2979,0.2979
"216","structure_4_30_2_Composite.tif",0,0,1,0.3962,0.3884,0.1666,0.2568,0.3267,0.3267
"316","structure_4_30_2_Composite.tif",0,1,0,0.3934,0.3884,0.2,0.1956,0.3267,0.3267
"217","structure_4_30_3_Composite.tif",0,0,1,0.3638,0.351,0.1428,0.2541,0.2994,0.2994
"317","structure_4_30_3_Composite.tif",0,1,0,0.3606,0.3623,0.3142,0.2151,0.2994,0.2994
"218","structure_4_30_4_Composite.tif",0,0,1,0.2327,0.2043,0.1346,0.1803,0.2361,0.2361
"318","structure_4_30_4_Composite.tif",0,1,0,0.2647,0.2509,0.1034,0.209,0.2361,0.2361
"219","structure_4_30_5_Composite.tif",0,0,1,0.2735,0.2543,0.1914,0.1675,0.2715,0.2715
"319","structure_4_30_5_Composite.tif",0,1,0,0.2579,0.2517,0.15,0.2415,0.2715,0.2715
