FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
1_Composite.tif;0;0;1;0,8895;0,8165;0,75;0,5509;0,9819;0,9819
1_Composite.tif;0;1;0;0,6006;0,6338;0,6;0,4736;0,9819;0,9819
2_Composite.tif;0;0;1;0,9391;0,9407;1;0,5259;0,9793;0,9793
2_Composite.tif;0;1;0;0,3571;0,3628;0,2;0,359;0,9793;0,9793
3_Composite.tif;0;0;1;0,8871;0,9017;0,875;0,3732;0,9866;0,9866
3_Composite.tif;0;1;0;0,7516;0,6809;0,6;0,3433;0,9866;0,9866
4_Composite.tif;0;0;1;0,8712;0,8585;1;0,4351;0,9818;0,9818
4_Composite.tif;0;1;0;0,7844;0,8028;0,9;0,4268;0,9818;0,9818
5_Composite.tif;0;0;1;0,7844;0,7324;0,7142;0,4177;0,9805;0,9805
5_Composite.tif;0;1;0;0,5072;0,3268;0,2941;0,2771;0,9805;0,9805
6_Composite.tif;0;0;1;0,9346;0,9096;1;0,5327;0,9725;0,9725
6_Composite.tif;0;1;0;0,7274;0,7339;0,7;0,5128;0,9725;0,9725
7_Composite.tif;0;0;1;0,9103;0,8772;1;0,397;0,9765;0,9765
7_Composite.tif;0;1;0;0,6573;0,6049;0,6666;0,3752;0,9765;0,9765
8_Composite.tif;0;0;1;0,8573;0,8296;1;0,4026;0,9789;0,9789
8_Composite.tif;0;1;0;0,8888;0,3536;0,2727;0,2861;0,9789;0,9789
9_Composite.tif;0;0;1;0,8109;0,8002;0,8571;0,4011;0,9837;0,9837
9_Composite.tif;0;1;0;0,6733;0,6244;0,4444;0,3589;0,9837;0,9837
10_Composite.tif;0;0;1;0,8903;0,8679;1;0,455;0,9795;0,9795
10_Composite.tif;0;1;0;0,7634;0,7461;0,8888;0,4357;0,9795;0,9795
11_Composite.tif;0;0;1;0,7714;0,7533;0,875;0,4857;0,9778;0,9778
11_Composite.tif;0;1;0;0,9646;0,8392;0,8181;0,4736;0,9778;0,9778
12_Composite.tif;0;0;1;0,8291;0,8238;0,9166;0,506;0,9767;0,9767
12_Composite.tif;0;1;0;0,8752;0,7451;0,7692;0,4693;0,9767;0,9767
13_Composite.tif;0;0;1;0,8499;0,8119;0,9;0,4474;0,9718;0,9718
13_Composite.tif;0;1;0;0,8918;0,8479;0,8461;0,4533;0,9718;0,9718
14_Composite.tif;0;0;1;0,9186;0,9095;0,9166;0,4592;0,9792;0,9792
14_Composite.tif;0;1;0;0,7793;0,7411;0,7142;0,4411;0,9792;0,9792
15_Composite.tif;0;0;1;0,8892;0,8464;0,909;0,4;0,983;0,983
15_Composite.tif;0;1;0;0,7719;0,7293;0,6666;0,3661;0,983;0,983
16_Composite.tif;0;0;1;0,8989;0,8699;0,909;0,3413;0,9862;0,9862
16_Composite.tif;0;1;0;0,5621;0,5849;0,6363;0,2958;0,9862;0,9862
17_Composite.tif;0;0;1;0,8552;0,749;0,9166;0,419;0,9755;0,9755
17_Composite.tif;0;1;0;0,6343;0,5162;0,4615;0,3992;0,9755;0,9755
18_Composite.tif;0;0;1;0,9386;0,9457;0,9;0,4328;0,9742;0,9742
18_Composite.tif;0;1;0;0,7749;0,7468;0,8;0,4968;0,9742;0,9742
19_Composite.tif;0;0;1;0,9156;0,8919;1;0,4103;0,9849;0,9849
19_Composite.tif;0;1;0;0,8696;0,8544;0,875;0,3863;0,9849;0,9849
20_Composite.tif;0;0;1;0,928;0,9129;1;0,4843;0,9768;0,9768
20_Composite.tif;0;1;0;0,642;0,5782;0,6153;0,3935;0,9768;0,9768
