"x","y","z","intensity"
95.5379310344828,118.441379310345,0,211.593103448276
88.55,97.1,0,172.5
58.6666666666667,94.6666666666667,0,123.666666666667
63.6,94.2,0,138.8
84,92,0,147
106.333333333333,52.6666666666667,0,110
11,54.1111111111111,0,99.2222222222222
36.5,51,0,105
31,51,0,90
107.5,48.5,0,115
99.8378378378378,49.8378378378378,0,124.351351351351
61,30.7142857142857,0,117.142857142857
64.5,26,0,100
47.3333333333333,26.3333333333333,0,140.666666666667
38.8333333333333,28.3333333333333,0,140.875
31,25,0,91
92.7368421052632,25.1052631578947,0,113.368421052632
89.5,22.5,0,112.75
85.6,24.6,0,111.7
43,22.5,0,133.833333333333
36.125,21.875,0,114.5
