Time	Nb detections 1	Nb detections 2	% of 1 (center of mass) inside masks 2	p-value (1 inside masks 2, Analytical)	log p-value (1 inside masks 2)	Ripley step	Ripley r_max	Max. of the K function	p-value (SODA)	log_10(p-value)	% (fit of K function) of 2 coloc. with 1	Distance of Coloc. (fit)	% (SODA) of 2 coloc. with 1	Distance of Coloc. (SODA)
0,00	49,00	34,00	0,00	0,85	-0,07	1,00	5,00	15,85	0,00	-55,48	1,00	4,20	0,92	4,35
1,00	44,00	37,00	0,00	0,85	-0,07	1,00	5,00	16,28	0,00	-58,47	0,96	4,25	0,95	4,34
2,00	41,00	34,00	0,00	0,84	-0,08	1,00	5,00	9,04	0,00	-18,40	0,80	4,15	0,67	4,12
3,00	44,00	37,00	0,00	0,85	-0,07	1,00	5,00	11,18	0,00	-27,89	0,79	4,10	0,80	4,20
4,00	38,00	29,00	0,03	0,44	-0,36	1,00	5,00	11,68	0,00	-30,40	0,94	4,15	0,84	4,20
5,00	36,00	35,00	0,00	0,84	-0,08	1,00	5,00	11,49	0,00	-29,42	0,73	4,15	0,72	4,38
6,00	36,00	29,00	0,00	0,83	-0,08	1,00	5,00	11,63	0,00	-30,14	0,83	4,15	0,85	4,39
7,00	39,00	33,00	0,00	0,82	-0,08	1,00	5,00	8,97	0,00	-18,12	0,77	5,00	0,56	4,30
8,00	39,00	26,00	0,04	0,44	-0,36	1,00	5,00	11,30	0,00	-28,48	1,00	4,65	0,88	4,32
9,00	32,00	35,00	0,03	0,53	-0,28	1,00	5,00	10,39	0,00	-24,18	0,75	4,10	0,73	4,05
10,00	41,00	34,00	0,00	0,84	-0,08	1,00	5,00	12,80	0,00	-36,38	1,00	4,55	0,70	4,15
11,00	39,00	33,00	0,00	0,81	-0,09	1,00	5,00	10,05	0,00	-22,66	0,97	5,00	0,64	4,23
12,00	36,00	28,00	0,07	0,12	-0,93	1,00	5,00	7,97	0,00	-14,38	1,00	4,10	0,67	4,12
13,00	38,00	35,00	0,03	0,51	-0,30	1,00	5,00	11,20	0,00	-27,97	0,75	4,05	0,69	4,26
14,00	35,00	32,00	0,03	0,50	-0,30	1,00	5,00	11,53	0,00	-29,63	0,87	4,05	0,89	4,30
15,00	37,00	32,00	0,03	0,42	-0,38	1,00	5,00	13,56	0,00	-40,78	1,00	4,25	0,88	4,16
16,00	40,00	30,00	0,03	0,47	-0,33	1,00	5,00	11,73	0,00	-30,63	1,00	4,90	0,84	4,25
17,00	45,00	37,00	0,00	0,86	-0,07	1,00	5,00	16,31	0,00	-58,70	0,94	4,05	0,92	4,36
18,00	46,00	31,00	0,00	0,83	-0,08	1,00	5,00	13,13	0,00	-38,28	1,00	4,05	0,96	4,17
19,00	38,00	31,00	0,00	0,83	-0,08	1,00	5,00	10,12	0,00	-22,93	0,95	5,00	0,80	3,99
