"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","random_spots_20_100_Composite.tif",0,0,1,0.0964,0.0971,0.0375,0.2344,0.0438,0.0438
"3","random_spots_20_100_Composite.tif",0,1,0,0.0949,0.0946,0.0375,0.2414,0.0438,0.0438
"21","random_spots_20_10_Composite.tif",0,0,1,0.0979,0.0985,0.0595,0.1928,0.0593,0.0593
"31","random_spots_20_10_Composite.tif",0,1,0,0.0908,0.0917,0.024,0.2208,0.0593,0.0593
"22","random_spots_20_11_Composite.tif",0,0,1,0.1215,0.1276,0.0487,0.2022,0.0569,0.0569
"32","random_spots_20_11_Composite.tif",0,1,0,0.1129,0.1146,0.047,0.2588,0.0569,0.0569
"23","random_spots_20_12_Composite.tif",0,0,1,0.0891,0.0893,0.0444,0.2413,0.0514,0.0514
"33","random_spots_20_12_Composite.tif",0,1,0,0.097,0.0975,0.0459,0.1991,0.0514,0.0514
"24","random_spots_20_13_Composite.tif",0,0,1,0.1032,0.1037,0.0568,0.1942,0.0481,0.0481
"34","random_spots_20_13_Composite.tif",0,1,0,0.0991,0.0984,0.0246,0.1867,0.0481,0.0481
"25","random_spots_20_14_Composite.tif",0,0,1,0.1096,0.1092,0.0533,0.2081,0.0556,0.0556
"35","random_spots_20_14_Composite.tif",0,1,0,0.1269,0.1231,0.0875,0.2095,0.0556,0.0556
"26","random_spots_20_15_Composite.tif",0,0,1,0.0775,0.0775,0,0.1979,0.0465,0.0465
"36","random_spots_20_15_Composite.tif",0,1,0,0.1048,0.0968,0.0736,0.2378,0.0465,0.0465
"27","random_spots_20_16_Composite.tif",0,0,1,0.1204,0.1192,0.0609,0.2464,0.0506,0.0506
"37","random_spots_20_16_Composite.tif",0,1,0,0.1183,0.1186,0.0481,0.2124,0.0506,0.0506
"28","random_spots_20_17_Composite.tif",0,0,1,0.1287,0.1291,0.0123,0.2012,0.0533,0.0533
"38","random_spots_20_17_Composite.tif",0,1,0,0.1416,0.1441,0.0722,0.1981,0.0533,0.0533
"29","random_spots_20_18_Composite.tif",0,0,1,0.0981,0.0992,0.0574,0.2253,0.0502,0.0502
