Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;67.00;63.00;0.02;0.14;-0.87;1.00;5.00;0.23;2.25;0.23;2.33;0.00;-11.70
1.00;72.00;59.00;0.00;0.72;-0.15;1.00;5.00;0.23;2.25;0.22;2.37;0.00;-9.78
2.00;56.00;72.00;0.01;0.10;-0.99;1.00;5.00;0.22;2.30;0.18;2.16;0.00;-4.52
3.00;60.00;77.00;0.03;0.00;-2.80;1.00;5.00;0.36;2.40;0.24;2.08;0.00;-6.63
4.00;71.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.24;1.95;0.23;1.87;0.00;-7.63
5.00;63.00;73.00;0.01;0.14;-0.85;1.00;5.00;0.24;2.65;0.19;2.35;0.00;-8.87
6.00;61.00;49.00;0.06;0.00;-8.00;1.00;5.00;0.37;2.80;0.23;1.94;0.00;-5.52
7.00;54.00;56.00;0.02;0.05;-1.31;1.00;5.00;0.37;3.10;0.19;1.89;0.00;-3.89
8.00;62.00;73.00;0.01;0.13;-0.87;1.00;5.00;0.23;2.05;0.22;1.92;0.00;-4.75
9.00;63.00;69.00;0.00;0.71;-0.15;1.00;5.00;0.26;1.95;0.28;1.90;0.00;-10.93
10.00;87.00;68.00;0.03;0.01;-1.89;1.00;5.00;0.37;2.20;0.37;2.43;0.00;-5.91
11.00;71.00;64.00;0.03;0.00;-2.36;1.00;5.00;0.39;2.95;0.30;2.32;0.00;-6.18
12.00;62.00;65.00;0.03;0.00;-3.14;1.00;5.00;0.25;2.10;0.24;1.72;0.00;-4.53
13.00;61.00;63.00;0.03;0.01;-2.28;1.00;5.00;0.31;2.55;0.21;2.06;0.00;-5.15
14.00;59.00;76.00;0.00;0.72;-0.14;1.00;5.00;0.14;2.05;0.15;1.97;0.00;-2.58
15.00;73.00;93.00;0.01;0.25;-0.61;1.00;5.00;0.24;2.10;0.23;2.03;0.00;-6.59
16.00;75.00;67.00;0.01;0.16;-0.80;1.00;5.00;0.21;2.40;0.15;2.29;0.00;-5.21
17.00;62.00;71.00;0.00;0.72;-0.14;1.00;5.00;0.27;2.40;0.26;2.16;0.00;-11.91
18.00;70.00;60.00;0.03;0.00;-2.79;1.00;5.00;0.38;3.00;0.24;2.34;0.00;-10.62
19.00;67.00;71.00;0.01;0.17;-0.77;1.00;5.00;0.37;2.60;0.26;2.11;0.00;-9.68
20.00;61.00;67.00;0.01;0.10;-1.00;1.00;5.00;0.27;2.30;0.23;1.96;0.00;-5.98
21.00;72.00;70.00;0.03;0.01;-2.24;1.00;5.00;0.35;2.25;0.30;1.83;0.00;-7.18
22.00;69.00;63.00;0.00;0.72;-0.14;1.00;5.00;0.27;2.15;0.25;1.97;0.00;-5.72
23.00;61.00;78.00;0.01;0.16;-0.80;1.00;5.00;0.23;2.05;0.20;1.96;0.00;-5.02
24.00;60.00;70.00;0.01;0.10;-0.99;1.00;5.00;0.33;2.30;0.23;1.96;0.00;-5.79
25.00;59.00;58.00;0.00;0.68;-0.17;1.00;5.00;0.21;2.50;0.24;2.42;0.00;-2.94
26.00;65.00;62.00;0.00;0.72;-0.14;1.00;5.00;0.31;2.85;0.27;2.86;0.00;-6.71
27.00;62.00;63.00;0.02;0.09;-1.05;1.00;5.00;0.25;2.35;0.23;1.97;0.00;-7.00
28.00;70.00;55.00;0.00;0.71;-0.15;1.00;5.00;0.31;2.10;0.28;2.02;0.00;-5.33
29.00;71.00;52.00;0.02;0.11;-0.98;1.00;5.00;0.27;1.70;0.21;1.41;0.00;-12.57
30.00;63.00;79.00;0.03;0.00;-2.40;1.00;5.00;0.29;2.10;0.21;1.90;0.00;-4.84
31.00;74.00;65.00;0.00;0.73;-0.13;1.00;5.00;0.15;2.10;0.20;2.49;0.06;-1.23
32.00;67.00;79.00;0.00;0.74;-0.13;1.00;5.00;0.26;2.00;0.24;2.01;0.00;-5.35
33.00;66.00;69.00;0.01;0.15;-0.82;1.00;5.00;0.30;2.10;0.28;1.91;0.00;-6.53
34.00;70.00;65.00;0.00;0.74;-0.13;1.00;5.00;0.24;2.50;0.23;2.56;0.02;-1.79
35.00;64.00;77.00;0.01;0.15;-0.81;1.00;5.00;0.17;2.65;0.14;2.61;0.07;-1.13
36.00;67.00;49.00;0.00;0.69;-0.16;1.00;5.00;0.25;2.70;0.25;2.52;0.00;-2.65
37.00;70.00;70.00;0.01;0.15;-0.81;1.00;5.00;0.25;2.10;0.21;1.95;0.00;-3.63
38.00;55.00;56.00;0.00;0.68;-0.16;1.00;5.00;0.17;2.15;0.15;1.82;0.00;-2.64
39.00;67.00;66.00;0.00;0.72;-0.14;1.00;5.00;0.24;2.10;0.23;2.04;0.00;-4.54
40.00;64.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.27;2.10;0.22;1.87;0.00;-3.98
41.00;58.00;62.00;0.00;0.69;-0.16;1.00;5.00;0.19;2.15;0.19;1.94;0.00;-4.90
42.00;70.00;60.00;0.03;0.00;-2.85;1.00;5.00;0.51;2.60;0.38;2.18;0.00;-7.44
43.00;58.00;60.00;0.05;0.00;-6.56;1.00;5.00;0.33;2.70;0.20;1.92;0.00;-5.40
44.00;62.00;66.00;0.02;0.11;-0.95;1.00;5.00;0.29;2.15;0.26;1.85;0.00;-6.07
45.00;61.00;70.00;0.00;0.72;-0.14;1.00;5.00;0.27;2.05;0.26;1.94;0.00;-7.09
46.00;75.00;63.00;0.03;0.01;-2.19;1.00;5.00;0.41;2.50;0.30;2.11;0.00;-8.94
47.00;69.00;64.00;0.00;0.72;-0.15;1.00;5.00;0.34;2.40;0.29;2.36;0.00;-2.84
48.00;59.00;56.00;0.00;0.70;-0.16;1.00;5.00;0.27;2.05;0.26;1.97;0.00;-6.14
49.00;66.00;68.00;0.03;0.00;-2.57;1.00;5.00;0.30;1.75;0.25;1.61;0.00;-10.24
50.00;72.00;66.00;0.00;0.73;-0.14;1.00;5.00;0.26;2.05;0.24;2.57;0.00;-3.66
51.00;64.00;60.00;0.02;0.09;-1.05;1.00;5.00;0.25;1.95;0.25;1.84;0.00;-6.18
52.00;58.00;70.00;0.01;0.11;-0.96;1.00;5.00;0.22;2.95;0.17;2.93;0.00;-2.50
53.00;61.00;61.00;0.03;0.00;-3.01;1.00;5.00;0.48;2.95;0.34;2.59;0.00;-9.71
54.00;76.00;64.00;0.02;0.18;-0.75;1.00;5.00;0.49;2.20;0.43;2.05;0.00;-15.71
55.00;60.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.23;2.25;0.24;2.10;0.00;-9.35
