"x","y","z","intensity"
35,124,0,93
102.625,123.8125,0,142.5
113,122.5,0,95.8
106.5,119.5,0,109.25
29.7777777777778,120.555555555556,0,96.4444444444444
110,115,0,85
30.7857142857143,114.785714285714,0,107.285714285714
98.2142857142857,113.214285714286,0,109.357142857143
103.125,107.125,0,109.25
31,101,0,96
27.2916666666667,104.25,0,137.333333333333
91,99.5,0,87
98.7714285714286,100.428571428571,0,126.457142857143
28.5,94,0,110.375
23,92.8,0,120.1
96.6,89.3333333333333,0,100.933333333333
27.6428571428571,85.9285714285714,0,103.928571428571
88.75,83.625,0,123.625
94,79,0,103
82.4,79.7,0,104.9
24.05,78.7,0,119.5
90.6,74.8,0,92.6
18,72,0,91.7142857142857
23.8333333333333,70.1666666666667,0,95.6666666666667
78.5263157894737,70.3684210526316,0,108
85.5,65,0,95
79.5,63,0,106
20.375,63.9375,0,104
14.8333333333333,59.8333333333333,0,100.833333333333
82.875,59.75,0,106
71.6363636363636,58.9090909090909,0,92.5454545454545
21,56,0,110.666666666667
77.15,50.05,0,131.4
66.4,47.8,0,93.6
46.5,47.5,0,101
40.4285714285714,47.1428571428571,0,114.857142857143
18.8928571428571,48.5,0,159.892857142857
88.6818181818182,47.0454545454545,0,125
28,45,0,103.8
57,46.2608695652174,0,115.217391304348
111.833333333333,43,0,92.8333333333333
98.4615384615385,45.2307692307692,0,100.076923076923
10.2857142857143,41.5714285714286,0,111.714285714286
61.6666666666667,40.6666666666667,0,113.666666666667
37.0714285714286,42.1428571428571,0,146.285714285714
67,39.7142857142857,0,119.428571428571
121.8,38.4,0,86.6
85.1428571428571,39.5714285714286,0,124.428571428571
78.4,38.8,0,99
46.7692307692308,38.7692307692308,0,145.384615384615
22.4444444444444,38.2222222222222,0,130.944444444444
13.1,38.3,0,118.8
3.5,36.8,0,126.2
59.2222222222222,35.8888888888889,0,124.111111111111
127,34,0,87
35.25,34.625,0,111
6,33.25,0,126.25
123.666666666667,31.3333333333333,0,101.666666666667
50.5483870967742,32.9032258064516,0,142.838709677419
106.444444444444,33.6190476190476,0,142.063492063492
92.8,31,0,99.7
83.3333333333333,31.2666666666667,0,114.933333333333
25.25,30,0,97.375
0.5,29,0,114
17.6153846153846,28.4615384615385,0,125.538461538462
123,27,0,108.4
116,26,0,81
7.5,25.5,0,106.625
124.5,22,0,96.875
