Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;101.00;101.00;0.03;0.09;-1.04;1.00;5.00;0.84;2.25;0.56;2.54;0.00;-17.69
1.00;80.00;85.00;0.07;0.00;-6.12;1.00;5.00;1.00;3.55;0.53;3.35;0.00;-8.40
2.00;91.00;92.00;0.04;0.01;-2.19;1.00;5.00;0.72;2.45;0.54;3.14;0.00;-9.48
3.00;103.00;102.00;0.07;0.00;-5.77;1.00;5.00;1.00;2.95;0.51;2.47;0.00;-8.92
4.00;90.00;95.00;0.09;0.00;-11.35;1.00;5.00;1.00;3.00;0.51;2.52;0.00;-9.70
5.00;91.00;93.00;0.18;0.00;-39.78;1.00;5.00;1.00;2.35;0.75;3.05;0.00;-10.07
6.00;97.00;103.00;0.11;0.00;-13.36;1.00;5.00;1.00;2.30;0.72;3.03;0.00;-13.56
7.00;87.00;87.00;0.11;0.00;-12.50;1.00;5.00;1.00;2.50;0.66;3.01;0.00;-10.87
8.00;97.00;106.00;0.09;0.00;-9.32;1.00;5.00;1.00;2.15;0.71;3.16;0.00;-28.21
9.00;93.00;86.00;0.10;0.00;-11.49;1.00;5.00;1.00;2.35;0.74;3.03;0.00;-16.09
10.00;95.00;101.00;0.03;0.06;-1.22;1.00;5.00;0.90;2.85;0.58;3.12;0.00;-19.17
11.00;84.00;95.00;0.03;0.02;-1.77;1.00;5.00;0.75;2.90;0.40;2.50;0.00;-6.81
12.00;91.00;89.00;0.02;0.11;-0.95;1.00;5.00;0.66;3.00;0.44;3.27;0.00;-4.47
13.00;98.00;91.00;0.07;0.00;-7.06;1.00;5.00;0.67;2.20;0.45;2.43;0.00;-13.95
14.00;95.00;90.00;0.07;0.00;-6.30;1.00;5.00;0.76;2.70;0.33;1.88;0.00;-5.90
15.00;84.00;77.00;0.16;0.00;-21.15;1.00;5.00;1.00;2.25;0.68;2.53;0.00;-14.29
16.00;85.00;77.00;0.12;0.00;-12.17;1.00;5.00;1.00;2.15;0.67;2.51;0.00;-14.29
17.00;78.00;79.00;0.16;0.00;-20.74;1.00;5.00;1.00;2.40;0.68;2.93;0.00;-27.60
18.00;88.00;87.00;0.14;0.00;-16.23;1.00;5.00;1.00;2.05;0.77;3.05;0.00;-21.38
19.00;63.00;90.00;0.19;0.00;-31.30;1.00;5.00;1.00;2.35;0.71;3.01;0.00;-34.85
