"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"2","structure_1_50_1_Composite.tif",0,0,1,0.8713,0.8699,0.8,0.2205,0.7592,0.7592
"3","structure_1_50_1_Composite.tif",0,1,0,0.8274,0.8274,1,0.2914,0.7592,0.7592
"21","structure_1_50_2_Composite.tif",0,0,1,0.8385,0.8373,1,0.2864,0.7693,0.7693
"31","structure_1_50_2_Composite.tif",0,1,0,0.8093,0.8088,1,0.2776,0.7693,0.7693
"22","structure_1_50_3_Composite.tif",0,0,1,0.8552,0.8545,0.5,0.2473,0.7664,0.7664
"32","structure_1_50_3_Composite.tif",0,1,0,0.8377,0.8377,1,0.3092,0.7664,0.7664
"23","structure_1_50_4_Composite.tif",0,0,1,0.906,0.906,1,0.3277,0.7889,0.7889
"33","structure_1_50_4_Composite.tif",0,1,0,0.8174,0.8175,0.5,0.2341,0.7889,0.7889
"24","structure_1_50_5_Composite.tif",0,0,1,0.8697,0.8685,0.8,0.3024,0.7803,0.7803
"34","structure_1_50_5_Composite.tif",0,1,0,0.8103,0.8103,1,0.3082,0.7803,0.7803
"25","structure_2_50_1_Composite.tif",0,0,1,0.8911,0.8911,0.6666,0.26,0.8459,0.8459
"35","structure_2_50_1_Composite.tif",0,1,0,0.8605,0.8599,0.6666,0.2859,0.8459,0.8459
"26","structure_2_50_2_Composite.tif",0,0,1,0.8965,0.8955,0.6666,0.3327,0.8326,0.8326
"36","structure_2_50_2_Composite.tif",0,1,0,0.8422,0.8414,0.5,0.2531,0.8326,0.8326
"27","structure_2_50_3_Composite.tif",0,0,1,0.9114,0.9081,0.6,0.2916,0.8364,0.8364
"37","structure_2_50_3_Composite.tif",0,1,0,0.8483,0.8506,1,0.3395,0.8364,0.8364
"28","structure_2_50_4_Composite.tif",0,0,1,0.8882,0.8882,1,0.3597,0.8498,0.8498
"38","structure_2_50_4_Composite.tif",0,1,0,0.8712,0.871,1,0.4256,0.8498,0.8498
"29","structure_2_50_5_Composite.tif",0,0,1,0.8862,0.8862,1,0.3987,0.8297,0.8297
"39","structure_2_50_5_Composite.tif",0,1,0,0.8449,0.8437,0.5,0.2143,0.8297,0.8297
"210","structure_3_50_1_Composite.tif",0,0,1,0.8685,0.8683,0.5,0.2606,0.7401,0.7401
"310","structure_3_50_1_Composite.tif",0,1,0,0.8395,0.8395,1,0.3319,0.7401,0.7401
"211","structure_3_50_2_Composite.tif",0,0,1,0.8991,0.8992,1,0.2696,0.717,0.717
"311","structure_3_50_2_Composite.tif",0,1,0,0.8453,0.8451,0.6666,0.2229,0.717,0.717
"212","structure_3_50_3_Composite.tif",0,0,1,0.8251,0.8251,1,0.2688,0.7081,0.7081
"312","structure_3_50_3_Composite.tif",0,1,0,0.8531,0.8531,1,0.3253,0.7081,0.7081
"213","structure_3_50_4_Composite.tif",0,0,1,0.8799,0.8799,1,0.2892,0.7273,0.7273
"313","structure_3_50_4_Composite.tif",0,1,0,0.8642,0.8651,0.5,0.1988,0.7273,0.7273
"214","structure_3_50_5_Composite.tif",0,0,1,0.8411,0.8408,0.5,0.2087,0.7295,0.7295
"314","structure_3_50_5_Composite.tif",0,1,0,0.8792,0.8792,0.6666,0.2504,0.7295,0.7295
"215","structure_4_50_1_Composite.tif",0,0,1,0.8902,0.8902,1,0.3811,0.8645,0.8645
"315","structure_4_50_1_Composite.tif",0,1,0,0.8785,0.8785,1,0.3763,0.8645,0.8645
"216","structure_4_50_2_Composite.tif",0,0,1,0.8994,0.8994,1,0.3613,0.8666,0.8666
"316","structure_4_50_2_Composite.tif",0,1,0,0.8901,0.8901,1,0.3786,0.8666,0.8666
"217","structure_4_50_3_Composite.tif",0,0,1,0.9358,0.9353,1,0.3904,0.8736,0.8736
"317","structure_4_50_3_Composite.tif",0,1,0,0.8635,0.8633,1,0.3929,0.8736,0.8736
"218","structure_4_50_4_Composite.tif",0,0,1,0.9175,0.9173,1,0.3696,0.8791,0.8791
"318","structure_4_50_4_Composite.tif",0,1,0,0.8781,0.8781,1,0.3632,0.8791,0.8791
"219","structure_4_50_5_Composite.tif",0,0,1,0.9069,0.9069,1,0.3869,0.8759,0.8759
"319","structure_4_50_5_Composite.tif",0,1,0,0.863,0.863,1,0.4198,0.8759,0.8759
