"","class","no_pic","t","OTC"
"1","2D",1,0,0.009139402
"2","2D",1,15,0.043952309
"3","2D",1,30,0.1244868
"4","2D",1,45,0.292950497
"5","2D",1,60,0.440823186
"6","2D",1,75,0.557590026
"7","2D",1,90,0.636307657
"8","2D",1,105,0.681636374
"9","2D",1,120,0.723984418
"10","2D",1,135,0.775445284
"11","2D",1,150,0.833490206
"12","2D",1,165,0.87899437
"13","2D",1,180,0.906638311
"14","2D",1,195,0.938764879
"15","2D",1,210,0.957586787
"16","2D",1,225,0.970383718
"17","2D",1,240,0.972816715
"18","2D",1,255,0.973722992
"19","2D",1,270,0.97374126
"20","2D",1,285,0.97374159
"21","2D",1,300,0.973777797
"22","2D",1,315,0.973831918
"23","2D",1,330,0.973886081
"24","2D",1,345,0.974074812
"25","2D",1,360,0.974164816
"26","2D",1,375,0.974398455
"27","2D",1,390,0.97443462
"28","2D",1,405,0.974452828
"29","2D",1,420,0.974470779
"30","2D",1,435,0.974471022
"31","2D",1,450,0.974471279
"32","2D",1,465,0.97452534
"33","2D",1,480,0.974525574
"34","2D",1,495,0.974543729
"35","2D",1,510,0.974543954
"36","2D",1,525,0.974562121
"37","2D",1,540,0.974562298
"38","2D",1,555,0.974579547
"39","2D",1,570,0.974579744
"40","2D",1,585,0.974672511
"41","2D",1,600,0.974672726
"42","2D",1,615,0.974746934
"43","2D",1,630,0.974765083
"44","2D",1,645,0.974802297
"45","2D",1,660,0.974802509
"46","2D",1,675,0.974802714
"47","2D",1,690,0.974802896
"48","2D",1,705,0.974803091
"49","2D",1,720,0.974803291
"50","2D",1,735,0.974803499
"51","2D",1,750,0.975006743
"52","2D",1,765,0.977056506
"53","2D",1,780,0.977857559
"54","2D",1,795,0.978163396
"55","2D",1,810,0.978594359
"56","2D",1,825,0.978767283
"57","2D",1,840,0.980060901
"58","2D",1,855,0.980115998
"59","2D",1,870,0.980190839
"60","2D",1,885,0.980191028
"61","2D",1,900,0.98022712
"62","2D",1,915,0.980397826
"63","2D",1,930,0.980475175
"64","2D",1,945,0.980793074
"65","2D",1,960,0.980851701
"66","2D",1,975,0.980950627
"67","2D",1,990,0.980964171
"68","2D",1,1005,0.980964356
"69","2D",1,1020,0.980964552
"70","2D",1,1035,0.980982702
"71","2D",1,1050,0.980982903
"72","2D",1,1065,0.9809831
"73","2D",1,1080,0.981001237
"74","2D",1,1095,0.981093983
"75","2D",1,1110,0.981186155
"76","2D",1,1125,0.981212602
"77","2D",1,1140,0.981332922
"78","2D",1,1155,0.981351063
"79","2D",1,1170,0.981405106
"80","2D",1,1185,0.981500312
"81","2D",1,1200,0.981522152
"82","2D",1,1215,0.981522346
"83","2D",1,1230,0.981522542
"84","2D",1,1245,0.981522733
"85","2D",1,1260,0.981522922
"86","2D",1,1275,0.981523127
"87","2D",1,1290,0.981523311
"88","2D",1,1305,0.981523509
"89","2D",1,1320,0.981523698
"90","2D",1,1335,0.981523883
"91","2D",1,1350,0.981542037
"92","2D",2,0,0.010086462
"93","2D",2,15,0.044248328
"94","2D",2,30,0.090539184
"95","2D",2,45,0.171015594
"96","2D",2,60,0.258490369
"97","2D",2,75,0.345536025
