"","class","no_pic","t","OTC"
"1","2D_random",1,0,0.027469833
"2","2D_random",1,15,0.117907273
"3","2D_random",1,30,0.263551085
"4","2D_random",1,45,0.494011017
"5","2D_random",1,60,0.659687052
"6","2D_random",1,75,0.759564328
"7","2D_random",1,90,0.819765963
"8","2D_random",1,105,0.869597801
"9","2D_random",1,120,0.907582071
"10","2D_random",1,135,0.935965886
"11","2D_random",1,150,0.949780796
"12","2D_random",1,165,0.957254574
"13","2D_random",1,180,0.963534309
"14","2D_random",1,195,0.970514616
"15","2D_random",1,210,0.976197251
"16","2D_random",1,225,0.980967002
"17","2D_random",1,240,0.984872184
"18","2D_random",1,255,0.988419211
"19","2D_random",1,270,0.991233858
"20","2D_random",1,285,0.993692945
"21","2D_random",1,300,0.995971202
"22","2D_random",1,315,0.997057421
"23","2D_random",1,330,0.997833542
"24","2D_random",1,345,0.998873268
"25","2D_random",1,360,0.999496308
"26","2D_random",1,375,0.999933537
"27","2D_random",1,390,1
"28","2D_random",1,405,1
"29","2D_random",1,420,1
"30","2D_random",1,435,1
"31","2D_random",1,450,1
"32","2D_random",1,465,1
"33","2D_random",1,480,1
"34","2D_random",1,495,1
"35","2D_random",1,510,1
"36","2D_random",1,525,1
"37","2D_random",1,540,1
"38","2D_random",1,555,1
"39","2D_random",1,570,1
"40","2D_random",1,585,1
"41","2D_random",1,600,1
"42","2D_random",1,615,1
"43","2D_random",1,630,1
"44","2D_random",1,645,1
"45","2D_random",1,660,1
"46","2D_random",1,675,1
"47","2D_random",1,690,1
"48","2D_random",1,705,1
"49","2D_random",1,720,1
"50","2D_random",1,735,1
"51","2D_random",1,750,1
"52","2D_random",1,765,1
"53","2D_random",1,780,1
"54","2D_random",1,795,1
"55","2D_random",1,810,1
"56","2D_random",1,825,1
"57","2D_random",1,840,1
"58","2D_random",1,855,1
"59","2D_random",1,870,1
"60","2D_random",1,885,1
"61","2D_random",1,900,1
"62","2D_random",1,915,1
"63","2D_random",1,930,1
"64","2D_random",1,945,1
"65","2D_random",1,960,1
"66","2D_random",1,975,1
"67","2D_random",1,990,1
"68","2D_random",1,1005,1
"69","2D_random",1,1020,1
"70","2D_random",1,1035,1
"71","2D_random",1,1050,1
"72","2D_random",1,1065,1
"73","2D_random",1,1080,1
"74","2D_random",1,1095,1
"75","2D_random",1,1110,1
"76","2D_random",1,1125,1
"77","2D_random",1,1140,1
"78","2D_random",1,1155,1
"79","2D_random",1,1170,1
"80","2D_random",1,1185,1
"81","2D_random",1,1200,1
"82","2D_random",1,1215,1
"83","2D_random",1,1230,1
"84","2D_random",1,1245,1
"85","2D_random",1,1260,1
"86","2D_random",1,1275,1
"87","2D_random",1,1290,1
"88","2D_random",1,1305,1
"89","2D_random",1,1320,1
"90","2D_random",1,1335,1
"91","2D_random",1,1350,1
"92","2D_random",2,0,0.01423246
"93","2D_random",2,15,0.047784933
"94","2D_random",2,30,0.093740423
"95","2D_random",2,45,0.172064337
"96","2D_random",2,60,0.284162302
"97","2D_random",2,75,0.46528397
"98","2D_random",2,90,0.626986486
"99","2D_random",2,105,0.772939546
"100","2D_random",2,120,0.883784314
"101","2D_random",2,135,0.945392878
"102","2D_random",2,150,0.97291903
"103","2D_random",2,165,0.982789669
"104","2D_random",2,180,0.986919305
"105","2D_random",2,195,0.99167289
"106","2D_random",2,210,0.995133393
"107","2D_random",2,225,0.996777152
"108","2D_random",2,240,0.997685685
"109","2D_random",2,255,0.998356178
"110","2D_random",2,270,0.998811856
"111","2D_random",2,285,0.999166898
"112","2D_random",2,300,0.999470615
"113","2D_random",2,315,0.999698353
"114","2D_random",2,330,0.999912269
"115","2D_random",2,345,0.999977794
"116","2D_random",2,360,1
"117","2D_random",2,375,1
"118","2D_random",2,390,1
"119","2D_random",2,405,1
"120","2D_random",2,420,1
"121","2D_random",2,435,1
"122","2D_random",2,450,1
"123","2D_random",2,465,1
"124","2D_random",2,480,1
"125","2D_random",2,495,1
"126","2D_random",2,510,1
"127","2D_random",2,525,1
"128","2D_random",2,540,1
"129","2D_random",2,555,1
"130","2D_random",2,570,1
"131","2D_random",2,585,1
"132","2D_random",2,600,1
"133","2D_random",2,615,1
"134","2D_random",2,630,1
"135","2D_random",2,645,1
"136","2D_random",2,660,1
"137","2D_random",2,675,1
"138","2D_random",2,690,1
"139","2D_random",2,705,1
"140","2D_random",2,720,1
"141","2D_random",2,735,1
"142","2D_random",2,750,1
"143","2D_random",2,765,1
"144","2D_random",2,780,1
"145","2D_random",2,795,1
"146","2D_random",2,810,1
"147","2D_random",2,825,1
"148","2D_random",2,840,1
"149","2D_random",2,855,1
"150","2D_random",2,870,1
"151","2D_random",2,885,1
"152","2D_random",2,900,1
"153","2D_random",2,915,1
"154","2D_random",2,930,1
"155","2D_random",2,945,1
"156","2D_random",2,960,1
"157","2D_random",2,975,1
"158","2D_random",2,990,1
"159","2D_random",2,1005,1
"160","2D_random",2,1020,1
"161","2D_random",2,1035,1
"162","2D_random",2,1050,1
"163","2D_random",2,1065,1
"164","2D_random",2,1080,1
"165","2D_random",2,1095,1
"166","2D_random",2,1110,1
"167","2D_random",2,1125,1
"168","2D_random",2,1140,1
"169","2D_random",2,1155,1
"170","2D_random",2,1170,1
"171","2D_random",2,1185,1
"172","2D_random",2,1200,1
"173","2D_random",2,1215,1
"174","2D_random",2,1230,1
"175","2D_random",2,1245,1
"176","2D_random",2,1260,1
"177","2D_random",2,1275,1
"178","2D_random",2,1290,1
"179","2D_random",2,1305,1
"180","2D_random",2,1320,1
"181","2D_random",2,1335,1
"182","2D_random",2,1350,1
"183","2D_random",3,0,0.028870476
