"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"ymin1","0.294425121728122"
"ymin2","0.232457950117003"
"ymin3","0.497186670138188"
"ymin4","0.594242205302062"
"ymin5","0.656834753144575"
"ymin6","0.263021504673387"
"ymin7","0.263021504673387"
"ymin8","0"
"ymin9","0.1176"
"ymin10","0.396869055682262"
"ymin11","0.259735179449813"
"ymin12","0.934205428571428"
"ymin13","0.762320115359371"
"ymin14","0.818515226506441"
"ymin15","0.342535396731102"
"ymin16","0.340950698932481"
"ymin17","0"
"ymin18","0.2142"
"lower1","0.467177948775425"
"lower2","0.384681964484051"
"lower3","1.08719690117122"
"lower4","0.787042356921046"
"lower5","0.819445706772561"
"lower6","0.428804381769701"
"lower7","0.425636067296894"
"lower8","0.1185"
"lower9","0.2752"
"lower10","0.547727638775432"
"lower11","0.381024569684094"
"lower12","1.46964191091114"
"lower13","0.845686421712847"
"lower14","0.88127975666895"
"lower15","0.476311044461002"
"lower16","0.474600802631405"
"lower17","0.125"
"lower18","0.4347"
"middle1","0.553126247790191"
"middle2","0.47642005642189"
"middle3","1.6027243139769"
"middle4","0.857740911446636"
"middle5","0.886516630908049"
"middle6","0.514365140850269"
"middle7","0.515837123000644"
"middle8","0.1818"
"middle9","0.34025"
"middle10","0.600000606496217"
"middle11","0.491611186802045"
"middle12","1.77986592055522"
"middle13","0.885952119308664"
"middle14","0.905579414972394"
"middle15","0.538774633545129"
"middle16","0.53822850356873"
"middle17","0.25"
"middle18","0.5454"
"upper1","0.601349317023095"
"upper2","0.550131276607262"
"upper3","1.94769989336649"
"upper4","0.917829670018655"
"upper5","0.930354133036258"
"upper6","0.571031769240604"
"upper7","0.571992624863572"
"upper8","0.2837"
"upper9","0.4545"
"upper10","0.656710157493289"
"upper11","0.560322583055232"
"upper12","2.02080958017425"
"upper13","0.91199693500217"
"upper14","0.930480679512036"
"upper15","0.598745048538917"
"upper16","0.597647717960034"
"upper17","0.375"
"upper18","0.647"
"ymax1","0.749455021025752"
"ymax2","0.677124095827028"
"ymax3","2.95196034480454"
"ymax4","0.99029889909719"
"ymax5","0.989558093257511"
"ymax6","0.693042720588184"
"ymax7","0.696928432259551"
"ymax8","0.5217"
"ymax9","0.64"
"ymax10","0.800271733489965"
"ymax11","0.752300468528851"
"ymax12","2.76487209214813"
"ymax13","0.964671316701945"
"ymax14","0.968489581721373"
"ymax15","0.745625554339037"
"ymax16","0.74454198338475"
