"","Picture","method","value"
"1","2D","ICCS.M1",0.580792684927178
"2","2D","ICCS.M1",0.600410866797732
"3","2D","ICCS.M1",0.554131422292993
"4","2D","ICCS.M1",0.510426533354025
"5","2D","ICCS.M1",0.476976764641149
"6","2D","ICCS.M1",0.540778395808657
"7","2D","ICCS.M1",0.523419156733246
"8","2D","ICCS.M1",0.494726737251011
"9","2D","ICCS.M1",0.552974621835638
"10","2D","ICCS.M1",0.504840833230767
"11","2D","ICCS.M1",0.557483636499746
"12","2D","ICCS.M1",0.645144211644132
"13","2D","ICCS.M1",0.553277873744744
"14","2D","ICCS.M1",0.622900972324203
"15","2D","ICCS.M1",0.568422152701816
"16","2D","ICCS.M1",0.574843486139018
"17","2D","ICCS.M1",0.545282875769849
"18","2D","ICCS.M1",0.540145640372849
"19","2D","ICCS.M1",0.527712956294679
"20","2D","ICCS.M1",0.607771337046733
"21","2D","ICCS.M1",0.604334142246287
"22","2D","ICCS.M1",0.508643298084205
"23","2D","ICCS.M1",0.561132065180589
"24","2D","ICCS.M1",0.558972510158747
"25","2D","ICCS.M1",0.554369435561483
"26","2D","ICCS.M1",0.587586488847957
"27","2D","ICCS.M1",0.574104705011582
"28","2D","ICCS.M1",0.464252386453535
"29","2D","ICCS.M1",0.582267904344109
"30","2D","ICCS.M1",0.663156100490804
"31","2D","ICCS.M1",0.589850919322236
"32","2D","ICCS.M1",0.577951615548924
"33","2D","ICCS.M1",0.722786979400933
"34","2D","ICCS.M1",0.662044912201541
"35","2D","ICCS.M1",0.506535033189638
"36","2D","ICCS.M1",0.525628767346527
"37","2D","ICCS.M1",0.693566335918113
"38","2D","ICCS.M1",0.51488443977212
"39","2D","ICCS.M1",0.697185603767013
"40","2D","ICCS.M1",0.596265305161145
"41","2D","ICCS.M1",0.639947457065659
"42","2D","ICCS.M1",0.650539516032124
"43","2D","ICCS.M1",0.749455021025752
"44","2D","ICCS.M1",0.553982029051258
"45","2D","ICCS.M1",0.450237928641933
"46","2D","ICCS.M1",0.610168905924114
"47","2D","ICCS.M1",0.555416125547777
"48","2D","ICCS.M1",0.697348676126841
"49","2D","ICCS.M1",0.47219109256393
"50","2D","ICCS.M1",0.733011144821692
"51","2D","ICCS.M1",0.572584669236421
"52","2D","ICCS.M1",0.601568798660584
"53","2D","ICCS.M1",0.663224962657416
"54","2D","ICCS.M1",0.647934164717008
"55","2D","ICCS.M1",0.491752971507846
"56","2D","ICCS.M1",0.600690872110629
"57","2D","ICCS.M1",0.60552395624154
"58","2D","ICCS.M1",0.636288391699731
"59","2D","ICCS.M1",0.521847707803072
"60","2D","ICCS.M1",0.6962977453622
"61","2D","ICCS.M1",0.451114431693643
"62","2D","ICCS.M1",0.573295781598228
"63","2D","ICCS.M1",0.462229417337818
"64","2D","ICCS.M1",0.621162503480645
"65","2D","ICCS.M1",0.632350830818895
"66","2D","ICCS.M1",0.616632057273749
"67","2D","ICCS.M1",0.563826153249293
"68","2D","ICCS.M1",0.620574340105964
"69","2D","ICCS.M1",0.465506900845924
"70","2D","ICCS.M1",0.464424347748436
"71","2D","ICCS.M1",0.294425121728122
"72","2D","ICCS.M1",0.435394567288536
"73","2D","ICCS.M1",0.333425347810052
"74","2D","ICCS.M1",0.51126495293592
"75","2D","ICCS.M1",0.387472942898271
"76","2D","ICCS.M1",0.455448871838874
"77","2D","ICCS.M1",0.329875042432934
"78","2D","ICCS.M1",0.362649192045903
"79","2D","ICCS.M1",0.421282417265272
"80","2D","ICCS.M1",0.476518945142707
"81","2D","ICCS.M1",0.555597757081718
"82","2D","ICCS.M1",0.390738870644908
"83","2D","ICCS.M1",0.411087219573685
"84","2D","ICCS.M1",0.605409768018225
"85","2D","ICCS.M1",0.458749785215695
"86","2D","ICCS.M1",0.505835288075412
"87","2D","ICCS.M1",0.519707334770876
"88","2D","ICCS.M1",0.525792345716875
"89","2D","ICCS.M1",0.364810809951183
"90","2D","ICCS.M1",0.550397376977746
"91","2D","ICCS.M1",0.362566614948383
"92","2D","ICCS.M1",0.440963882741806
"93","2D","ICCS.M1",0.394619362575209
"94","2D","ICCS.M1",0.491440117447903
"95","2D","ICCS.M1",0.49671989716017
"96","2D","ICCS.M1",0.430006148480704
"97","2D","ICCS.M1",0.418048044119545
"98","2D","ICCS.M1",0.339307300255623
"99","2D","ICCS.M1",0.334347925513106
"100","2D","ICCS.M1",0.348201341923125
"101","2D","ICCS.M1",0.58396246418084
"102","2D","ICCS.M1",0.564318804337275
"103","3D","ICCS.M1",0.542811800962052
"104","3D","ICCS.M1",0.538776002451613
"105","3D","ICCS.M1",0.516547317343853
"106","3D","ICCS.M1",0.587425194432867
"107","3D","ICCS.M1",0.473022255681724
"108","3D","ICCS.M1",0.707542131615298
"109","3D","ICCS.M1",0.671475460020046
"110","3D","ICCS.M1",0.498210528927327
"111","3D","ICCS.M1",0.561415715192531
"112","3D","ICCS.M1",0.566103022878639
"113","3D","ICCS.M1",0.607570029947149
"114","3D","ICCS.M1",0.476920900464383
"115","3D","ICCS.M1",0.595392373257629
"116","3D","ICCS.M1",0.490353885475933
"117","3D","ICCS.M1",0.688902122193556
"118","3D","ICCS.M1",0.64971291623241
"119","3D","ICCS.M1",0.565151443370649
"120","3D","ICCS.M1",0.597487971843877
"121","3D","ICCS.M1",0.845632126970002
"122","3D","ICCS.M1",0.572053024406395
"123","3D","ICCS.M1",0.646669596475591
"124","3D","ICCS.M1",0.54786115106861
"125","3D","ICCS.M1",0.51962133145214
"126","3D","ICCS.M1",0.435790334463696
"127","3D","ICCS.M1",0.496142585555493
"128","3D","ICCS.M1",0.581874108793654
"129","3D","ICCS.M1",0.529905400253249
"130","3D","ICCS.M1",0.577268221994115
"131","3D","ICCS.M1",0.396869055682262
"132","3D","ICCS.M1",0.560895469873633
"133","3D","ICCS.M1",0.608371850764839
"134","3D","ICCS.M1",0.787579597452628
"135","3D","ICCS.M1",0.638544823541528
"136","3D","ICCS.M1",0.800271733489965
"137","3D","ICCS.M1",0.57524676874485
"138","3D","ICCS.M1",0.618100024453084
"139","3D","ICCS.M1",0.608699600111229
"140","3D","ICCS.M1",0.65298730652421
"141","3D","ICCS.M1",0.614414928041307
"142","3D","ICCS.M1",0.742624293303988
"143","3D","ICCS.M1",0.587738157313901
"144","3D","ICCS.M1",0.451731252817851
"145","3D","ICCS.M1",0.640311093648299
"146","3D","ICCS.M1",0.610227256357679
"147","3D","ICCS.M1",0.529197165414429
"148","3D","ICCS.M1",0.793201658862797
"149","3D","ICCS.M1",0.657176079905829
"150","3D","ICCS.M1",0.579851248573256
"151","3D","ICCS.M1",0.571292537555379
"152","3D","ICCS.M1",0.834184587972492
"153","3D","ICCS.M1",0.719120199247443
"154","3D","ICCS.M1",0.594593006341317
"155","3D","ICCS.M1",0.650863022778013
"156","3D","ICCS.M1",0.66206902182623
"157","3D","ICCS.M1",0.360489449086754
"158","3D","ICCS.M1",0.512489113828395
"159","3D","ICCS.M1",0.605244615584035
"160","3D","ICCS.M1",0.652079321677287
"161","3D","ICCS.M1",0.952312268777235
"162","3D","ICCS.M1",0.628189044908623
"163","3D","ICCS.M1",0.538420021584837
"164","3D","ICCS.M1",0.739667370591906
"165","3D","ICCS.M1",0.634885748318209
"166","3D","ICCS.M1",0.694336939487584
"167","3D","ICCS.M1",0.557385342140932
"168","3D","ICCS.M1",0.667282631254918
"169","3D","ICCS.M1",0.499952712300427
"170","3D","ICCS.M1",0.732940952278223
"171","3D","ICCS.M1",0.689321878423568
"172","3D","ICCS.M1",0.452825714306462
"173","3D","ICCS.M1",0.766172660930145
"174","3D","ICCS.M1",0.61572843041158
"175","3D","ICCS.M1",0.714808681348681
"176","3D","ICCS.M1",0.671301685896748
"177","3D","ICCS.M1",0.584335108551269
"178","3D","ICCS.M1",0.60488865776467
"179","3D","ICCS.M1",0.609520026731579
"180","3D","ICCS.M1",0.630482341464911
"181","3D","ICCS.M1",0.674819010823658
"182","3D","ICCS.M1",0.655312390255671
"183","3D","ICCS.M1",0.597196671644197
"184","3D","ICCS.M1",0.5620206575612
"185","3D","ICCS.M1",0.747133582901675
"186","3D","ICCS.M1",0.703780661132217
"187","3D","ICCS.M1",0.621417856713945
"188","3D","ICCS.M1",0.559241818958116
"189","3D","ICCS.M1",0.539652753971859
"190","3D","ICCS.M1",0.583117254890441
"191","3D","ICCS.M1",0.493679180475287
"192","3D","ICCS.M1",0.602513241148557
"193","3D","ICCS.M1",0.522505387418813
"194","3D","ICCS.M1",0.497120049720602
"195","3D","ICCS.M1",0.588387524951759
"196","3D","ICCS.M1",0.725311571798655
"197","3D","ICCS.M1",0.552735654586497
"198","3D","ICCS.M1",0.559590057049947
"199","3D","ICCS.M1",0.606038900480544
"200","3D","ICCS.M1",0.547683134677705
"201","3D","ICCS.M1",0.6347268034758
"202","3D","ICCS.M1",0.543590006581176
"203","3D","ICCS.M1",0.525209007735085
"204","3D","ICCS.M1",0.724777985559139
"205","2D","ICCS.M2",0.53421647763641
"206","2D","ICCS.M2",0.554898455834239
"207","2D","ICCS.M2",0.566986719064672
"208","2D","ICCS.M2",0.516404111816451
"209","2D","ICCS.M2",0.610296803028551
"210","2D","ICCS.M2",0.500165639989753
"211","2D","ICCS.M2",0.594868574406367
"212","2D","ICCS.M2",0.463153405613015
"213","2D","ICCS.M2",0.63358520494991
"214","2D","ICCS.M2",0.545155926966177
"215","2D","ICCS.M2",0.663427162190883
"216","2D","ICCS.M2",0.592642669980533
"217","2D","ICCS.M2",0.48992117031237
"218","2D","ICCS.M2",0.568154882380463
"219","2D","ICCS.M2",0.604364813720446
"220","2D","ICCS.M2",0.523461061784916
"221","2D","ICCS.M2",0.541446898133613
"222","2D","ICCS.M2",0.621349861585499
"223","2D","ICCS.M2",0.60938994291102
"224","2D","ICCS.M2",0.570595019322741
"225","2D","ICCS.M2",0.627509343445985
"226","2D","ICCS.M2",0.467897733762492
"227","2D","ICCS.M2",0.616696327732224
"228","2D","ICCS.M2",0.512419555501362
"229","2D","ICCS.M2",0.593322057803685
"230","2D","ICCS.M2",0.498205157899846
"231","2D","ICCS.M2",0.677124095827028
"232","2D","ICCS.M2",0.550655958173925
"233","2D","ICCS.M2",0.497837975742679
"234","2D","ICCS.M2",0.589298009253931
"235","2D","ICCS.M2",0.64281090568665
"236","2D","ICCS.M2",0.566798859420825
"237","2D","ICCS.M2",0.664522502824227
"238","2D","ICCS.M2",0.620835962541724
