"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"ymin1","0.384505493739179"
"ymin2","0.281167580017489"
"ymin3","0.63930644628099"
"ymin4","0.678360841118979"
"ymin5","0.802369861100145"
"ymin6","0.328801580254832"
"ymin7","0.328399797292866"
"ymin8","0"
"ymin9","0.25"
"ymin10","0.405545919834361"
"ymin11","0.275646843942965"
"ymin12","1.57773123260679"
"ymin13","0.882341900594742"
"ymin14","0.925675771550195"
"ymin15","0.348324844417229"
"ymin16","0.347894003030508"
"ymin17","0"
"ymin18","0.4"
"lower1","0.447195912933289"
"lower2","0.307286081624913"
"lower3","0.877314932199343"
"lower4","0.756286087885123"
"lower5","0.849838325125182"
"lower6","0.375158425813956"
"lower7","0.370374039153617"
"lower8","0.0833"
"lower9","0.344875"
"lower10","0.484623758530258"
"lower11","0.335856630696274"
"lower12","1.62130196137259"
"lower13","0.915594278595638"
"lower14","0.947298366809156"
"lower15","0.393124329150634"
"lower16","0.393058554581587"
"lower17","0.099325"
"lower18","0.43635"
"middle1","0.501644865287306"
"middle2","0.361667677383987"
"middle3","1.10971265390555"
"middle4","0.823969517599266"
"middle5","0.867379883865205"
"middle6","0.443536868202754"
"middle7","0.442708601957824"
"middle8","0.1309"
"middle9","0.4356"
"middle10","0.537132532402976"
"middle11","0.410549598095744"
"middle12","1.96018962900749"
"middle13","0.95942765888897"
"middle14","0.95946065421511"
"middle15","0.478027784583981"
"middle16","0.478026570798103"
"middle17","0.24285"
"middle18","0.6257"
"upper1","0.550801775008282"
"upper2","0.394083725530556"
"upper3","1.72961852475107"
"upper4","0.875118062663224"
"upper5","0.884096223288173"
"upper6","0.471235116546789"
"upper7","0.468335363124992"
"upper8","0.24405"
"upper9","0.467425"
"upper10","0.564219231460533"
"upper11","0.492141813128215"
"upper12","2.36528125833104"
"upper13","0.966504458242097"
"upper14","0.968414248393514"
"upper15","0.52003830384979"
"upper16","0.520378922500698"
"upper17","0.3214"
"upper18","0.765075"
"ymax1","0.583069180407948"
"ymax2","0.465068155148226"
"ymax3","1.91700139895784"
"ymax4","0.900067605526514"
"ymax5","0.925303750660328"
"ymax6","0.491549238215157"
"ymax7","0.491308118894689"
"ymax8","0.3333"
"ymax9","0.6296"
"ymax10","0.588789374339032"
"ymax11","0.550658118381063"
"ymax12","2.67844014907873"
"ymax13","0.981139983235541"
"ymax14","0.978576510786023"
"ymax15","0.624567981448462"
"ymax16","0.624542572877816"
