"","Picture","method","value"
"1","2D","ICCS.M1",0.558403436882735
"2","2D","ICCS.M1",0.483824193800428
"3","2D","ICCS.M1",0.457040556964091
"4","2D","ICCS.M1",0.583069180407948
"5","2D","ICCS.M1",0.443914364923022
"6","2D","ICCS.M1",0.561032476188584
"7","2D","ICCS.M1",0.384505493739179
"8","2D","ICCS.M1",0.527996789384925
"9","2D","ICCS.M1",0.397731059511812
"10","2D","ICCS.M1",0.519465536774185
"11","3D","ICCS.M1",0.480488610289404
"12","3D","ICCS.M1",0.440165377926083
"13","3D","ICCS.M1",0.405545919834361
"14","3D","ICCS.M1",0.708398097530022
"15","3D","ICCS.M1",0.588789374339032
"16","3D","ICCS.M1",0.566478610218391
"17","3D","ICCS.M1",0.497029203252821
"18","3D","ICCS.M1",0.53190809696703
"19","3D","ICCS.M1",0.557441095186962
"20","3D","ICCS.M1",0.542356967838921
"21","2D","ICCS.M2",0.382041264221251
"22","2D","ICCS.M2",0.465068155148226
"23","2D","ICCS.M2",0.528663484910125
"24","2D","ICCS.M2",0.395796466288737
"25","2D","ICCS.M2",0.30690871611439
"26","2D","ICCS.M2",0.341294090546723
"27","2D","ICCS.M2",0.281167580017489
"28","2D","ICCS.M2",0.292977185658273
"29","2D","ICCS.M2",0.308418178156482
"30","2D","ICCS.M2",0.388945503256012
"31","3D","ICCS.M2",0.317354592526622
"32","3D","ICCS.M2",0.275646843942965
"33","3D","ICCS.M2",0.372774107535354
"34","3D","ICCS.M2",0.550658118381063
"35","3D","ICCS.M2",0.445516701771849
"36","3D","ICCS.M2",0.457521025075965
"37","3D","ICCS.M2",0.323550805083247
"38","3D","ICCS.M2",0.375582494419638
"39","3D","ICCS.M2",0.548822434824304
"40","3D","ICCS.M2",0.503682075812298
"41","2D","LI..DeBias.",0.63930644628099
"42","2D","LI..DeBias.",1.25174552217339
"43","2D","LI..DeBias.",0.869909511963945
"44","2D","LI..DeBias.",1.86151637983047
"45","2D","LI..DeBias.",1.82044274121192
"46","2D","LI..DeBias.",0.899531192905538
"47","2D","LI..DeBias.",0.967679785637719
"48","2D","LI..DeBias.",1.45714587536853
"49","2D","LI..DeBias.",0.84927259165444
"50","2D","LI..DeBias.",1.91700139895784
"51","3D","LI..DeBias.",1.57773123260679
"52","3D","LI..DeBias.",1.62129667307306
"53","3D","LI..DeBias.",1.98823548175378
"54","3D","LI..DeBias.",1.62131782627119
"55","3D","LI..DeBias.",1.62086665455032
"56","3D","LI..DeBias.",2.36566701328903
"57","3D","LI..DeBias.",1.93214377626121
"58","3D","LI..DeBias.",2.4423465783537
"59","3D","LI..DeBias.",2.36412399345707
"60","3D","LI..DeBias.",2.67844014907873
"61","2D","Mander.s.M1",0.678360841118979
"62","2D","Mander.s.M1",0.893582697912522
"63","2D","Mander.s.M1",0.900067605526514
"64","2D","Mander.s.M1",0.852121244382257
"65","2D","Mander.s.M1",0.839500548733771
"66","2D","Mander.s.M1",0.771350562929204
"67","2D","Mander.s.M1",0.808438486464762
"68","2D","Mander.s.M1",0.751264596203763
"69","2D","Mander.s.M1",0.7476223815218
"70","2D","Mander.s.M1",0.88278366875688
"71","3D","Mander.s.M1",0.882341900594742
"72","3D","Mander.s.M1",0.886173815630691
"73","3D","Mander.s.M1",0.91091400075683
"74","3D","Mander.s.M1",0.958408830689536
"75","3D","Mander.s.M1",0.979621733052822
"76","3D","Mander.s.M1",0.960446487088404
"77","3D","Mander.s.M1",0.929635112112064
"78","3D","Mander.s.M1",0.964721359906754
"79","3D","Mander.s.M1",0.967098824353878
"80","3D","Mander.s.M1",0.981139983235541
"81","2D","Mander.s.M2",0.758930885129382
"82","2D","Mander.s.M2",0.865206470953628
"83","2D","Mander.s.M2",0.885931012321041
"84","2D","Mander.s.M2",0.917968969229435
"85","2D","Mander.s.M2",0.855774757449383
"86","2D","Mander.s.M2",0.878591856189568
"87","2D","Mander.s.M2",0.869553296776782
"88","2D","Mander.s.M2",0.847859514350448
"89","2D","Mander.s.M2",0.802369861100145
"90","2D","Mander.s.M2",0.925303750660328
"91","3D","Mander.s.M2",0.958146551459812
"92","3D","Mander.s.M2",0.925675771550195
"93","3D","Mander.s.M2",0.955586043296769
"94","3D","Mander.s.M2",0.944535807979952
"95","3D","Mander.s.M2",0.978178889173654
