"","coefficients","meanvalue","standarderror","name_molecule","i"
"1","ICCS M1",0.491698308857691,0.0220001631261071,"ATPB/Mic60","2D"
"2","ICCS M2",0.369128062431771,0.0253408777180818,"ATPB/Mic60","2D"
"3","LI (DeBias)",1.25335514459848,0.151568792603802,"ATPB/Mic60","2D"
"4","Mander's M1",0.812509263355045,0.0233673850053189,"ATPB/Mic60","2D"
"5","Mander's M2",0.860749037416014,0.0157963641969187,"ATPB/Mic60","2D"
"6","Pearson's Corr.",0.42367059281624,0.0185607307444673,"ATPB/Mic60","2D"
"7","Pearson's with tresh.",0.420928787143695,0.0186370773739376,"ATPB/Mic60","2D"
"8","Thresholded Overlap Coeff ch1",0.1738,0.0523155256326668,"ATPB/Mic60","2D"
"9","Thresholded Overlap Coeff ch2",0.42837,0.0365078623191103,"ATPB/Mic60","2D"
"10","ICCS M1",0.531860135338303,0.0267882721938223,"ATPB/Mic60","3D"
"11","ICCS M2",0.417110919937331,0.0311848387738039,"ATPB/Mic60","3D"
"12","LI (DeBias)",2.02121693786949,0.130442020709896,"ATPB/Mic60","3D"
"13","Mander's M1",0.942050204742126,0.0117841339464863,"ATPB/Mic60","3D"
"14","Mander's M2",0.957542242222308,0.00528230204441284,"ATPB/Mic60","3D"
"15","Pearson's Corr.",0.469721771364729,0.0278657150920919,"ATPB/Mic60","3D"
"16","Pearson's with tresh.",0.469739841311415,0.0278977527696114,"ATPB/Mic60","3D"
"17","Thresholded Overlap Coeff ch1",0.26436,0.0752112657046063,"ATPB/Mic60","3D"
"18","Thresholded Overlap Coeff ch2",0.62141,0.0585245977725985,"ATPB/Mic60","3D"
