"","class","no_pic","t","OTC"
"1","Conf",1,0,0.006869621
"2","Conf",1,15,0.028855336
"3","Conf",1,30,0.074933011
"4","Conf",1,45,0.200634273
"5","Conf",1,60,0.355321097
"6","Conf",1,75,0.521450671
"7","Conf",1,90,0.584598138
"8","Conf",1,105,0.631724141
"9","Conf",1,120,0.691568187
"10","Conf",1,135,0.736819955
"11","Conf",1,150,0.795229329
"12","Conf",1,165,0.837743012
"13","Conf",1,180,0.867543121
"14","Conf",1,195,0.893811137
"15","Conf",1,210,0.901262458
"16","Conf",1,225,0.905274128
"17","Conf",1,240,0.90733397
"18","Conf",1,255,0.909108743
"19","Conf",1,270,0.910111242
"20","Conf",1,285,0.910857717
"21","Conf",1,300,0.911501231
"22","Conf",1,315,0.911914985
"23","Conf",1,330,0.912258283
"24","Conf",1,345,0.912370077
"25","Conf",1,360,0.912414443
"26","Conf",1,375,0.912457258
"27","Conf",1,390,0.912519145
"28","Conf",1,405,0.912664428
"29","Conf",1,420,0.912824494
"30","Conf",1,435,0.912897487
"31","Conf",1,450,0.91292407
"32","Conf",1,465,0.912946394
"33","Conf",1,480,0.913005605
"34","Conf",1,495,0.913123683
"35","Conf",1,510,0.913317408
"36","Conf",1,525,0.913906324
"37","Conf",1,540,0.9148142
"38","Conf",1,555,0.915923242
"39","Conf",1,570,0.917465396
"40","Conf",1,585,0.920206977
"41","Conf",1,600,0.920932503
"42","Conf",1,615,0.921268125
"43","Conf",1,630,0.921337642
"44","Conf",1,645,0.921424214
"45","Conf",1,660,0.921554563
"46","Conf",1,675,0.921739838
"47","Conf",1,690,0.921893075
"48","Conf",1,705,0.922038919
"49","Conf",1,720,0.922167644
"50","Conf",1,735,0.922270936
"51","Conf",1,750,0.922295889
"52","Conf",1,765,0.922304634
"53","Conf",1,780,0.922355844
"54","Conf",1,795,0.922381671
"55","Conf",1,810,0.922438369
"56","Conf",1,825,0.922533769
"57","Conf",1,840,0.922688858
"58","Conf",1,855,0.923360503
"59","Conf",1,870,0.924159058
"60","Conf",1,885,0.925943011
"61","Conf",1,900,0.929166274
"62","Conf",1,915,0.93290251
"63","Conf",1,930,0.938851841
"64","Conf",1,945,0.945630554
"65","Conf",1,960,0.954545385
"66","Conf",1,975,0.963042713
"67","Conf",1,990,0.967591646
"68","Conf",1,1005,0.975511536
"69","Conf",1,1020,0.981581578
"70","Conf",1,1035,0.98654371
"71","Conf",1,1050,0.993527696
"72","Conf",1,1065,0.997100516
"73","Conf",1,1080,1
"74","Conf",1,1095,1
"75","Conf",1,1110,1
"76","Conf",1,1125,1
"77","Conf",1,1140,1
"78","Conf",1,1155,1
"79","Conf",1,1170,1
"80","Conf",1,1185,1
"81","Conf",1,1200,1
"82","Conf",1,1215,1
"83","Conf",1,1230,1
"84","Conf",1,1245,1
"85","Conf",1,1260,1
"86","Conf",1,1275,1
"87","Conf",1,1290,1
"88","Conf",1,1305,1
"89","Conf",1,1320,1
"90","Conf",1,1335,1
"91","Conf",1,1350,1
"92","Conf",2,0,0.005021005
"93","Conf",2,15,0.01996868
"94","Conf",2,30,0.045179967
"95","Conf",2,45,0.094731773
"96","Conf",2,60,0.133703314
"97","Conf",2,75,0.175637122
"98","Conf",2,90,0.212527187
"99","Conf",2,105,0.249632392
"100","Conf",2,120,0.297690895
"101","Conf",2,135,0.339896302
"102","Conf",2,150,0.383790236
"103","Conf",2,165,0.424843653
"104","Conf",2,180,0.461463613
"105","Conf",2,195,0.50344679
"106","Conf",2,210,0.52839461
"107","Conf",2,225,0.56082046
"108","Conf",2,240,0.59061038
"109","Conf",2,255,0.618527633
"110","Conf",2,270,0.649011031
"111","Conf",2,285,0.68020701
"112","Conf",2,300,0.719630879
"113","Conf",2,315,0.752391622
"114","Conf",2,330,0.793174941
"115","Conf",2,345,0.817554646
"116","Conf",2,360,0.829628934
"117","Conf",2,375,0.838017323
"118","Conf",2,390,0.84462465
"119","Conf",2,405,0.851021822
"120","Conf",2,420,0.858139546
"121","Conf",2,435,0.86341877
"122","Conf",2,450,0.869213256
"123","Conf",2,465,0.87555739
"124","Conf",2,480,0.882189316
"125","Conf",2,495,0.888438316
"126","Conf",2,510,0.895705744
"127","Conf",2,525,0.90246928
"128","Conf",2,540,0.908849185
"129","Conf",2,555,0.915292381
"130","Conf",2,570,0.922036074
"131","Conf",2,585,0.928843142
"132","Conf",2,600,0.935397733
"133","Conf",2,615,0.941844871
"134","Conf",2,630,0.948139988
"135","Conf",2,645,0.95669293
"136","Conf",2,660,0.962977354
"137","Conf",2,675,0.966067402
"138","Conf",2,690,0.966863387
"139","Conf",2,705,0.967587815
"140","Conf",2,720,0.968028686
"141","Conf",2,735,0.968586833
"142","Conf",2,750,0.969123038
"143","Conf",2,765,0.969721946
"144","Conf",2,780,0.970277837
"145","Conf",2,795,0.97101599
"146","Conf",2,810,0.971805088
"147","Conf",2,825,0.972431216
"148","Conf",2,840,0.973046012
"149","Conf",2,855,0.9734845
"150","Conf",2,870,0.973823622
"151","Conf",2,885,0.974211393
"152","Conf",2,900,0.974557976
"153","Conf",2,915,0.974933276
"154","Conf",2,930,0.975597914
"155","Conf",2,945,0.976451509
"156","Conf",2,960,0.977212076
"157","Conf",2,975,0.978392489
"158","Conf",2,990,0.97945441
"159","Conf",2,1005,0.980695508
"160","Conf",2,1020,0.981691382
"161","Conf",2,1035,0.982675732
"162","Conf",2,1050,0.983427033
"163","Conf",2,1065,0.983986595
"164","Conf",2,1080,0.984607555
"165","Conf",2,1095,0.985509904
"166","Conf",2,1110,0.987419922
"167","Conf",2,1125,0.990451792
"168","Conf",2,1140,0.996261343
"169","Conf",2,1155,0.999955266
"170","Conf",2,1170,1
"171","Conf",2,1185,1
"172","Conf",2,1200,1
"173","Conf",2,1215,1
"174","Conf",2,1230,1
"175","Conf",2,1245,1
"176","Conf",2,1260,1
"177","Conf",2,1275,1
"178","Conf",2,1290,1
"179","Conf",2,1305,1
"180","Conf",2,1320,1
"181","Conf",2,1335,1
"182","Conf",2,1350,1
"183","Conf",3,0,0.028276077
"184","Conf",3,15,0.139858951
"185","Conf",3,30,0.257568333
"186","Conf",3,45,0.33085107
"187","Conf",3,60,0.422480348
"188","Conf",3,75,0.628025678
"189","Conf",3,90,0.715422795
"190","Conf",3,105,0.740159412
"191","Conf",3,120,0.773251227
"192","Conf",3,135,0.813385955
"193","Conf",3,150,0.844516289
"194","Conf",3,165,0.87739279
"195","Conf",3,180,0.919774789
"196","Conf",3,195,0.95953764
"197","Conf",3,210,0.98126033
"198","Conf",3,225,0.989134361
"199","Conf",3,240,0.992214324
"200","Conf",3,255,0.993721782
"201","Conf",3,270,0.994759338
"202","Conf",3,285,0.995389942
"203","Conf",3,300,0.995748511
"204","Conf",3,315,0.995918851
"205","Conf",3,330,0.995953104
"206","Conf",3,345,0.99602856
"207","Conf",3,360,0.996091696
"208","Conf",3,375,0.996167438
"209","Conf",3,390,0.996210344
"210","Conf",3,405,0.996303623
"211","Conf",3,420,0.996426258
"212","Conf",3,435,0.996571945
"213","Conf",3,450,0.996745393
"214","Conf",3,465,0.997016905
"215","Conf",3,480,0.997328272
"216","Conf",3,495,0.997588453
"217","Conf",3,510,0.99797104
"218","Conf",3,525,0.9982188
"219","Conf",3,540,0.998294938
"220","Conf",3,555,0.998358427
"221","Conf",3,570,0.998401268
"222","Conf",3,585,0.998415155
"223","Conf",3,600,0.998419707
"224","Conf",3,615,0.998419899
"225","Conf",3,630,0.998420089
"226","Conf",3,645,0.998420272
"227","Conf",3,660,0.998420467
"228","Conf",3,675,0.998420657
"229","Conf",3,690,0.998420827
"230","Conf",3,705,0.998421016
"231","Conf",3,720,0.998421195
"232","Conf",3,735,0.998421388
"233","Conf",3,750,0.998421569
"234","Conf",3,765,0.998421755
"235","Conf",3,780,0.998421928
"236","Conf",3,795,0.998422092
"237","Conf",3,810,0.998422273
"238","Conf",3,825,0.99842244
"239","Conf",3,840,0.998422626
"240","Conf",3,855,0.998422797
"241","Conf",3,870,0.998422978
"242","Conf",3,885,0.998423145
"243","Conf",3,900,0.998423324
"244","Conf",3,915,0.998423529
"245","Conf",3,930,0.998423697
"246","Conf",3,945,0.998423866
"247","Conf",3,960,0.998424037
"248","Conf",3,975,0.998424212
"249","Conf",3,990,0.998424372
"250","Conf",3,1005,0.998424527
"251","Conf",3,1020,0.998424691
"252","Conf",3,1035,0.998424859
"253","Conf",3,1050,0.998425011
"254","Conf",3,1065,0.99842517
"255","Conf",3,1080,0.998425335
"256","Conf",3,1095,0.99842554
"257","Conf",3,1110,0.998425725
"258","Conf",3,1125,0.998425896
"259","Conf",3,1140,0.998426051
"260","Conf",3,1155,0.99842619
"261","Conf",3,1170,0.998426325
"262","Conf",3,1185,0.998426445
"263","Conf",3,1200,0.998453899
"264","Conf",3,1215,0.998455101
"265","Conf",3,1230,0.998459859
"266","Conf",3,1245,0.998521462
"267","Conf",3,1260,0.998600852
"268","Conf",3,1275,0.998736175
"269","Conf",3,1290,0.998976988
"270","Conf",3,1305,0.999559993
"271","Conf",3,1320,0.999989942
"272","Conf",3,1335,1
"273","Conf",3,1350,1
"274","Conf",4,0,0.012850797
"275","Conf",4,15,0.046793243
"276","Conf",4,30,0.092588304
"277","Conf",4,45,0.161527897
"278","Conf",4,60,0.190975348
"279","Conf",4,75,0.227563557
"280","Conf",4,90,0.248255832
