"","x"
"fill1","#F8766D"
"fill2","#C49A00"
"fill3","#53B400"
"fill4","#00C094"
"fill5","#00B6EB"
"fill6","#A58AFF"
"fill7","#FB61D7"
"fill8","#F8766D"
"fill9","#C49A00"
"fill10","#53B400"
"fill11","#00C094"
"fill12","#00B6EB"
"fill13","#A58AFF"
"fill14","#FB61D7"
"ymin1","0.27815"
"ymin2","0.0460924"
"ymin3","0.0869567"
"ymin4","0.0065269"
"ymin5","0.00609756097561"
"ymin6","0.16"
"ymin7","0.062723581854736"
"ymin8","0.285"
"ymin9","0.230044"
"ymin10","0.363412"
"ymin11","0.49501"
"ymin12","0.016574585635359"
"ymin13","0.49"
"ymin14","0.273404764617085"
"lower1","0.27815"
"lower2","0.0460924"
"lower3","0.0869567"
"lower4","0.0065269"
"lower5","0.03226089243447"
"lower6","0.6625"
"lower7","0.240312387717969"
"lower8","0.285"
"lower9","0.230044"
"lower10","0.363412"
"lower11","0.49501"
"lower12","0.0579993133636595"
"lower13","0.55"
"lower14","0.334170571239347"
"middle1","0.27815"
"middle2","0.0460924"
"middle3","0.0869567"
"middle4","0.0065269"
"middle5","0.079170361611982"
"middle6","0.985"
"middle7","0.424736237444887"
"middle8","0.285"
"middle9","0.230044"
"middle10","0.363412"
"middle11","0.49501"
"middle12","0.080534258245102"
"middle13","0.68"
"middle14","0.36790619806608"
"upper1","0.27815"
"upper2","0.0460924"
"upper3","0.0869567"
"upper4","0.0065269"
"upper5","0.107405536472014"
"upper6","1"
"upper7","0.520763224854797"
"upper8","0.285"
"upper9","0.230044"
"upper10","0.363412"
"upper11","0.49501"
"upper12","0.108207722486063"
"upper13","0.8"
"upper14","0.409685487735408"
"ymax1","0.27815"
"ymax2","0.0460924"
"ymax3","0.0869567"
"ymax4","0.0065269"
"ymax5","0.13855421686747"
"ymax6","1"
"ymax7","0.667117776734399"
"ymax8","0.285"
"ymax9","0.230044"
"ymax10","0.363412"
"ymax11","0.49501"
"ymax12","0.138461538461538"
"ymax13","0.89"
"ymax14","0.50923140237923"
"outliers1","0.08"
"outliers2","0"
"notchupper1","0.27815"
"notchupper2","0.0460924"
"notchupper3","0.0869567"
"notchupper4","0.0065269"
"notchupper5","0.116715621813137"
"notchupper6","1.15362845622848"
