"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"1","Conf",0.098039215686275,1,0.523988115904812
"2","Conf",0.032786885245902,0.58,0.179462694949348
"3","Conf",0.00609756097561,0.16,0.062723581854736
"4","Conf",0.032085561497326,0.91,0.338836431074767
"5","Conf",0.129032258064516,1,0.510636043815007
"6","Conf",0.060301507537689,0.97,0.305848340839572
"7","Conf",0.026455026455027,0.47,0.218467070010768
"8","Conf",0.110204081632653,1,0.522160933915821
"9","Conf",0.13855421686747,1,0.667117776734399
"10","Conf",0.099009900990099,1,0.516570097671726
"11","STED",0.101796407185629,0.89,0.383708350559887
"12","STED",0.043715846994536,0.66,0.352104045572273
"13","STED",0.016574585635359,0.08,0
"14","STED",0.070707070707071,0.49,0.273404764617085
"15","STED",0.138461538461538,0.81,0.403252989417427
"16","STED",0.054644808743169,0.52,0.332491065817857
"17","STED",0.068062827225131,0.77,0.411829653841402
"18","STED",0.090361445783133,0.7,0.50923140237923
"19","STED",0.110344827586207,0.81,0.415205236446245
"20","STED",0.123376623376623,0.64,0.339209087503819
