"","Picture","method","value"
"1","Conf","Mask.center.1.inside.Mask.2",0.098039215686275
"2","Conf","Mask.center.1.inside.Mask.2",0.032786885245902
"3","Conf","Mask.center.1.inside.Mask.2",0.00609756097561
"4","Conf","Mask.center.1.inside.Mask.2",0.032085561497326
"5","Conf","Mask.center.1.inside.Mask.2",0.129032258064516
"6","Conf","Mask.center.1.inside.Mask.2",0.060301507537689
"7","Conf","Mask.center.1.inside.Mask.2",0.026455026455027
"8","Conf","Mask.center.1.inside.Mask.2",0.110204081632653
"9","Conf","Mask.center.1.inside.Mask.2",0.13855421686747
"10","Conf","Mask.center.1.inside.Mask.2",0.099009900990099
"11","STED","Mask.center.1.inside.Mask.2",0.101796407185629
"12","STED","Mask.center.1.inside.Mask.2",0.043715846994536
"13","STED","Mask.center.1.inside.Mask.2",0.016574585635359
"14","STED","Mask.center.1.inside.Mask.2",0.070707070707071
"15","STED","Mask.center.1.inside.Mask.2",0.138461538461538
"16","STED","Mask.center.1.inside.Mask.2",0.054644808743169
"17","STED","Mask.center.1.inside.Mask.2",0.068062827225131
"18","STED","Mask.center.1.inside.Mask.2",0.090361445783133
"19","STED","Mask.center.1.inside.Mask.2",0.110344827586207
"20","STED","Mask.center.1.inside.Mask.2",0.123376623376623
"21","Conf","Ripley.s.K.of.2.coloc..with.1",1
"22","Conf","Ripley.s.K.of.2.coloc..with.1",0.58
"23","Conf","Ripley.s.K.of.2.coloc..with.1",0.16
"24","Conf","Ripley.s.K.of.2.coloc..with.1",0.91
"25","Conf","Ripley.s.K.of.2.coloc..with.1",1
"26","Conf","Ripley.s.K.of.2.coloc..with.1",0.97
"27","Conf","Ripley.s.K.of.2.coloc..with.1",0.47
"28","Conf","Ripley.s.K.of.2.coloc..with.1",1
"29","Conf","Ripley.s.K.of.2.coloc..with.1",1
"30","Conf","Ripley.s.K.of.2.coloc..with.1",1
"31","STED","Ripley.s.K.of.2.coloc..with.1",0.89
"32","STED","Ripley.s.K.of.2.coloc..with.1",0.66
"33","STED","Ripley.s.K.of.2.coloc..with.1",0.08
"34","STED","Ripley.s.K.of.2.coloc..with.1",0.49
"35","STED","Ripley.s.K.of.2.coloc..with.1",0.81
"36","STED","Ripley.s.K.of.2.coloc..with.1",0.52
"37","STED","Ripley.s.K.of.2.coloc..with.1",0.77
"38","STED","Ripley.s.K.of.2.coloc..with.1",0.7
"39","STED","Ripley.s.K.of.2.coloc..with.1",0.81
"40","STED","Ripley.s.K.of.2.coloc..with.1",0.64
"41","Conf","SODA.of.2.coloc..with.1",0.523988115904812
"42","Conf","SODA.of.2.coloc..with.1",0.179462694949348
"43","Conf","SODA.of.2.coloc..with.1",0.062723581854736
"44","Conf","SODA.of.2.coloc..with.1",0.338836431074767
