"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"ymin1","0.757753194203828"
"ymin2","0.509890147886968"
"ymin3","2.01458468902038"
"ymin4","0.88321934787343"
"ymin5","0.975890467140508"
"ymin6","0.625950837005659"
"ymin7","0.626393116918262"
"ymin8","0.3333"
"ymin9","0.8333"
"ymin10","0.281755180648223"
"ymin11","0.319600319805415"
"ymin12","0.723951209191757"
"ymin13","0.501082399722696"
"ymin14","0.675483142897447"
"ymin15","0.363005111620062"
"ymin16","0.360248646835529"
"ymin17","0.1052"
"ymin18","0"
"lower1","0.790961408760915"
"lower2","0.560933062571918"
"lower3","2.18694489446158"
"lower4","0.922146831548686"
"lower5","0.980584408803391"
"lower6","0.66270530035803"
"lower7","0.663661158932749"
"lower8","0.3333"
"lower9","0.874975"
"lower10","0.297301473822311"
"lower11","0.412089907462637"
"lower12","0.938677984729181"
"lower13","0.702403907973423"
"lower14","0.733353793744455"
"lower15","0.375936214405283"
"lower16","0.367547315351132"
"lower17","0.379875"
"lower18","0.015625"
"middle1","0.86973982413852"
"middle2","0.716868806900405"
"middle3","2.4345997862302"
"middle4","0.95338088343331"
"middle5","0.984409142057393"
"middle6","0.799376191687972"
"middle7","0.799646301832316"
"middle8","0.41425"
"middle9","1"
"middle10","0.343170857179184"
"middle11","0.47926796150811"
"middle12","1.05753396454927"
"middle13","0.778864069833807"
"middle14","0.778798665457356"
"middle15","0.386323702578912"
"middle16","0.38480660130624"
"middle17","0.43525"
"middle18","0.10285"
"upper1","0.903176889728855"
"upper2","0.785057206858285"
"upper3","2.66375978979783"
"upper4","0.962530942214965"
"upper5","0.988485884725665"
"upper6","0.836646922148283"
"upper7","0.83722322367781"
"upper8","0.76665"
"upper9","1"
"upper10","0.40462082135673"
"upper11","0.541979844953173"
"upper12","1.28888923714671"
"upper13","0.842940031110082"
"upper14","0.812114356898647"
"upper15","0.456088771398532"
"upper16","0.454631624735045"
"upper17","0.60645"
"upper18","0.13835"
"ymax1","0.993661738338318"
"ymax2","0.825043964446108"
"ymax3","2.85026972333685"
"ymax4","0.981087447236323"
"ymax5","0.992415621689192"
"ymax6","0.905436149000612"
"ymax7","0.906431641311387"
"ymax8","1"
"ymax9","1"
"ymax10","0.443036334528372"
"ymax11","0.648164988594098"
"ymax12","1.5627568017586"
"ymax13","0.862547241321843"
"ymax14","0.875259447041115"
"ymax15","0.552862240472315"
"ymax16","0.55074200074564"
