"","Picture","method","value"
"1","Conf","ICCS.M1",0.925376747876132
"2","Conf","ICCS.M1",0.757753194203828
"3","Conf","ICCS.M1",0.318016648665374
"4","Conf","ICCS.M1",0.768429144928179
"5","Conf","ICCS.M1",0.880115546638294
"6","Conf","ICCS.M1",0.905422700775335
"7","Conf","ICCS.M1",0.859364101638746
"8","Conf","ICCS.M1",0.993661738338318
"9","Conf","ICCS.M1",0.896439456589415
"10","Conf","ICCS.M1",0.858558200259124
"11","STED","ICCS.M1",0.409019537542153
"12","STED","ICCS.M1",0.443036334528372
"13","STED","ICCS.M1",0.0782665758357188
"14","STED","ICCS.M1",0.35285320403708
"15","STED","ICCS.M1",0.332482106986046
"16","STED","ICCS.M1",0.285574596101067
"17","STED","ICCS.M1",0.333488510321288
"18","STED","ICCS.M1",0.401077790131437
"19","STED","ICCS.M1",0.405801831765161
"20","STED","ICCS.M1",0.281755180648223
"21","Conf","ICCS.M2",0.782077225350358
"22","Conf","ICCS.M2",0.531629645471548
"23","Conf","ICCS.M2",0.189146550170765
"24","Conf","ICCS.M2",0.509890147886968
"25","Conf","ICCS.M2",0.763251478360829
"26","Conf","ICCS.M2",0.67048613543998
"27","Conf","ICCS.M2",0.648843313873029
"28","Conf","ICCS.M2",0.825043964446108
"29","Conf","ICCS.M2",0.786050534027594
"30","Conf","ICCS.M2",0.799089978353348
"31","STED","ICCS.M2",0.54607160120783
"32","STED","ICCS.M2",0.319600319805415
"33","STED","ICCS.M2",0.0554297450963059
"34","STED","ICCS.M2",0.400277657991106
"35","STED","ICCS.M2",0.497105834831282
"36","STED","ICCS.M2",0.461430088184939
"37","STED","ICCS.M2",0.447526655877231
"38","STED","ICCS.M2",0.762088214458102
"39","STED","ICCS.M2",0.648164988594098
"40","STED","ICCS.M2",0.529704576189204
"41","Conf","LI..DeBias.",3.00876750125379
"42","Conf","LI..DeBias.",2.66375978979783
"43","Conf","LI..DeBias.",0.931709945563569
"44","Conf","LI..DeBias.",2.18694489446158
"45","Conf","LI..DeBias.",2.4345997862302
"46","Conf","LI..DeBias.",2.54565784622498
"47","Conf","LI..DeBias.",2.38522359741459
"48","Conf","LI..DeBias.",2.01458468902038
"49","Conf","LI..DeBias.",2.85026972333685
"50","Conf","LI..DeBias.",2.75709398263425
"51","STED","LI..DeBias.",1.52054255212432
"52","STED","LI..DeBias.",0.918503479360854
"53","STED","LI..DeBias.",0.337507710323058
"54","STED","LI..DeBias.",1.10707427212064
"55","STED","LI..DeBias.",1.0079936569779
"56","STED","LI..DeBias.",0.99920150083416
"57","STED","LI..DeBias.",1.5627568017586
"58","STED","LI..DeBias.",0.723951209191757
"59","STED","LI..DeBias.",1.3331845755167
"60","STED","LI..DeBias.",1.15600322203673
"61","Conf","Mander.s.M1",0.977323244973543
"62","Conf","Mander.s.M1",0.88321934787343
"63","Conf","Mander.s.M1",0.479396899000735
"64","Conf","Mander.s.M1",0.959929882291434
"65","Conf","Mander.s.M1",0.921840909223849
"66","Conf","Mander.s.M1",0.963397962189475
"67","Conf","Mander.s.M1",0.981087447236323
"68","Conf","Mander.s.M1",0.923064598523197
"69","Conf","Mander.s.M1",0.958869000114012
"70","Conf","Mander.s.M1",0.947892766752608
"71","STED","Mander.s.M1",0.862547241321843
"72","STED","Mander.s.M1",0.605568545675524
"73","STED","Mander.s.M1",0.501082399722696
"74","STED","Mander.s.M1",0.792824751316559
"75","STED","Mander.s.M1",0.695755652518842
"76","STED","Mander.s.M1",0.722348674337169
"77","STED","Mander.s.M1",0.764903388351055
"78","STED","Mander.s.M1",0.844931304521747
"79","STED","Mander.s.M1",0.836966210875086
"80","STED","Mander.s.M1",0.856807835563526
"81","Conf","Mander.s.M2",0.990392063978599
"82","Conf","Mander.s.M2",0.975890467140508
"83","Conf","Mander.s.M2",0.527784998143335
"84","Conf","Mander.s.M2",0.979714455774077
"85","Conf","Mander.s.M2",0.983194267891335
"86","Conf","Mander.s.M2",0.986367533040005
"87","Conf","Mander.s.M2",0.992415621689192
"88","Conf","Mander.s.M2",0.984922666258392
"89","Conf","Mander.s.M2",0.983895617856395
"90","Conf","Mander.s.M2",0.989192001954218
"91","STED","Mander.s.M2",0.875259447041115
"92","STED","Mander.s.M2",0.675483142897447
"93","STED","Mander.s.M2",0.529703493435461
"94","STED","Mander.s.M2",0.79962637549263
"95","STED","Mander.s.M2",0.730009029798334
"96","STED","Mander.s.M2",0.743388085582818
"97","STED","Mander.s.M2",0.816277017367319
"98","STED","Mander.s.M2",0.773062984208737
"99","STED","Mander.s.M2",0.847989113774515
"100","STED","Mander.s.M2",0.784534346705975
"101","Conf","Pearson.s.Corr",0.850715040059068
"102","Conf","Pearson.s.Corr",0.634699977934074
"103","Conf","Pearson.s.Corr",0.245258541119211
"104","Conf","Pearson.s.Corr",0.625950837005659
"105","Conf","Pearson.s.Corr",0.819603252860814
"106","Conf","Pearson.s.Corr",0.779149130515131
"107","Conf","Pearson.s.Corr",0.746721267629898
"108","Conf","Pearson.s.Corr",0.905436149000612
"109","Conf","Pearson.s.Corr",0.83943237582042
"110","Conf","Pearson.s.Corr",0.828290561131873
"111","STED","Pearson.s.Corr",0.472603378945738
"112","STED","Pearson.s.Corr",0.376290518350764
"113","STED","Pearson.s.Corr",0.0658657448764879
"114","STED","Pearson.s.Corr",0.375818113090123
"115","STED","Pearson.s.Corr",0.406544948756914
"116","STED","Pearson.s.Corr",0.363005111620062
"117","STED","Pearson.s.Corr",0.386322401366482
"118","STED","Pearson.s.Corr",0.552862240472315
"119","STED","Pearson.s.Corr",0.51286113096776
"120","STED","Pearson.s.Corr",0.386325003791341
"121","Conf","Pearson.s.with.tresh.",0.850940314630545
"122","Conf","Pearson.s.with.tresh.",0.635853819816742
"123","Conf","Pearson.s.with.tresh.",0.172933286277515
"124","Conf","Pearson.s.with.tresh.",0.626393116918262
"125","Conf","Pearson.s.with.tresh.",0.820067668761419
"126","Conf","Pearson.s.with.tresh.",0.779224934903212
"127","Conf","Pearson.s.with.tresh.",0.747083176280767
"128","Conf","Pearson.s.with.tresh.",0.906431641311387
"129","Conf","Pearson.s.with.tresh.",0.839530366052214
"130","Conf","Pearson.s.with.tresh.",0.830301796554601
"131","STED","Pearson.s.with.tresh.",0.472603378945738
"132","STED","Pearson.s.with.tresh.",0.364904546451807
"133","STED","Pearson.s.with.tresh.",0.0638889706263889
"134","STED","Pearson.s.with.tresh.",0.375475622049108
"135","STED","Pearson.s.with.tresh.",0.400716362102963
"136","STED","Pearson.s.with.tresh.",0.360248646835529
"137","STED","Pearson.s.with.tresh.",0.384818177278155
"138","STED","Pearson.s.with.tresh.",0.55074200074564
"139","STED","Pearson.s.with.tresh.",0.511355697797247
"140","STED","Pearson.s.with.tresh.",0.384795025334325
"141","Conf","Thresholded.Overlap.Coeff.ch1",0.3333
"142","Conf","Thresholded.Overlap.Coeff.ch1",1
"143","Conf","Thresholded.Overlap.Coeff.ch1",0.3333
"144","Conf","Thresholded.Overlap.Coeff.ch1",0.6666
"145","Conf","Thresholded.Overlap.Coeff.ch1",0.3333
"146","Conf","Thresholded.Overlap.Coeff.ch1",0.4285
"147","Conf","Thresholded.Overlap.Coeff.ch1",0.4
"148","Conf","Thresholded.Overlap.Coeff.ch1",0.8
"149","Conf","Thresholded.Overlap.Coeff.ch1",1
"150","Conf","Thresholded.Overlap.Coeff.ch1",0.3333
"151","STED","Thresholded.Overlap.Coeff.ch1",0.3783
"152","STED","Thresholded.Overlap.Coeff.ch1",0.1176
"153","STED","Thresholded.Overlap.Coeff.ch1",0.1052
"154","STED","Thresholded.Overlap.Coeff.ch1",0.3846
"155","STED","Thresholded.Overlap.Coeff.ch1",0.6
"156","STED","Thresholded.Overlap.Coeff.ch1",0.4705
"157","STED","Thresholded.Overlap.Coeff.ch1",0.4
"158","STED","Thresholded.Overlap.Coeff.ch1",0.7647
"159","STED","Thresholded.Overlap.Coeff.ch1",0.6086
"160","STED","Thresholded.Overlap.Coeff.ch1",0.625
