"","class","no_pic","t","OTC"
"1","Conf_random",1,0,0.006869621
"2","Conf_random",1,15,0.028855336
"3","Conf_random",1,30,0.074933011
"4","Conf_random",1,45,0.200634273
"5","Conf_random",1,60,0.355321097
"6","Conf_random",1,75,0.521450671
"7","Conf_random",1,90,0.584598138
"8","Conf_random",1,105,0.631724141
"9","Conf_random",1,120,0.691568187
"10","Conf_random",1,135,0.736819955
"11","Conf_random",1,150,0.795229329
"12","Conf_random",1,165,0.837743012
"13","Conf_random",1,180,0.867543121
"14","Conf_random",1,195,0.893811137
"15","Conf_random",1,210,0.901262458
"16","Conf_random",1,225,0.905274128
"17","Conf_random",1,240,0.90733397
"18","Conf_random",1,255,0.909108743
"19","Conf_random",1,270,0.910111242
"20","Conf_random",1,285,0.910857717
"21","Conf_random",1,300,0.911501231
"22","Conf_random",1,315,0.911914985
"23","Conf_random",1,330,0.912258283
"24","Conf_random",1,345,0.912370077
"25","Conf_random",1,360,0.912414443
"26","Conf_random",1,375,0.912457258
"27","Conf_random",1,390,0.912519145
"28","Conf_random",1,405,0.912664428
"29","Conf_random",1,420,0.912824494
"30","Conf_random",1,435,0.912897487
"31","Conf_random",1,450,0.91292407
"32","Conf_random",1,465,0.912946394
"33","Conf_random",1,480,0.913005605
"34","Conf_random",1,495,0.913123683
"35","Conf_random",1,510,0.913317408
"36","Conf_random",1,525,0.913906324
"37","Conf_random",1,540,0.9148142
"38","Conf_random",1,555,0.915923242
"39","Conf_random",1,570,0.917465396
"40","Conf_random",1,585,0.920206977
"41","Conf_random",1,600,0.920932503
"42","Conf_random",1,615,0.921268125
"43","Conf_random",1,630,0.921337642
"44","Conf_random",1,645,0.921424214
"45","Conf_random",1,660,0.921554563
"46","Conf_random",1,675,0.921739838
"47","Conf_random",1,690,0.921893075
"48","Conf_random",1,705,0.922038919
"49","Conf_random",1,720,0.922167644
"50","Conf_random",1,735,0.922270936
"51","Conf_random",1,750,0.922295889
"52","Conf_random",1,765,0.922304634
"53","Conf_random",1,780,0.922355844
"54","Conf_random",1,795,0.922381671
"55","Conf_random",1,810,0.922438369
"56","Conf_random",1,825,0.922533769
"57","Conf_random",1,840,0.922688858
"58","Conf_random",1,855,0.923360503
"59","Conf_random",1,870,0.924159058
"60","Conf_random",1,885,0.925943011
"61","Conf_random",1,900,0.929166274
"62","Conf_random",1,915,0.93290251
"63","Conf_random",1,930,0.938851841
"64","Conf_random",1,945,0.945630554
"65","Conf_random",1,960,0.954545385
"66","Conf_random",1,975,0.963042713
"67","Conf_random",1,990,0.967591646
"68","Conf_random",1,1005,0.975511536
"69","Conf_random",1,1020,0.981581578
"70","Conf_random",1,1035,0.98654371
"71","Conf_random",1,1050,0.993527696
"72","Conf_random",1,1065,0.997100516
"73","Conf_random",1,1080,1
"74","Conf_random",1,1095,1
"75","Conf_random",1,1110,1
"76","Conf_random",1,1125,1
"77","Conf_random",1,1140,1
"78","Conf_random",1,1155,1
"79","Conf_random",1,1170,1
"80","Conf_random",1,1185,1
"81","Conf_random",1,1200,1
"82","Conf_random",1,1215,1
"83","Conf_random",1,1230,1
"84","Conf_random",1,1245,1
"85","Conf_random",1,1260,1
"86","Conf_random",1,1275,1
"87","Conf_random",1,1290,1
"88","Conf_random",1,1305,1
"89","Conf_random",1,1320,1
"90","Conf_random",1,1335,1
"91","Conf_random",1,1350,1
"92","Conf_random",2,0,0.005021005
"93","Conf_random",2,15,0.01996868
"94","Conf_random",2,30,0.045179967
"95","Conf_random",2,45,0.094731773
"96","Conf_random",2,60,0.133703314
"97","Conf_random",2,75,0.175637122
"98","Conf_random",2,90,0.212527187
"99","Conf_random",2,105,0.249632392
"100","Conf_random",2,120,0.297690895
"101","Conf_random",2,135,0.339896302
"102","Conf_random",2,150,0.383790236
"103","Conf_random",2,165,0.424843653
"104","Conf_random",2,180,0.461463613
"105","Conf_random",2,195,0.50344679
"106","Conf_random",2,210,0.52839461
"107","Conf_random",2,225,0.56082046
"108","Conf_random",2,240,0.59061038
"109","Conf_random",2,255,0.618527633
"110","Conf_random",2,270,0.649011031
"111","Conf_random",2,285,0.68020701
"112","Conf_random",2,300,0.719630879
"113","Conf_random",2,315,0.752391622
"114","Conf_random",2,330,0.793174941
"115","Conf_random",2,345,0.817554646
"116","Conf_random",2,360,0.829628934
"117","Conf_random",2,375,0.838017323
"118","Conf_random",2,390,0.84462465
"119","Conf_random",2,405,0.851021822
"120","Conf_random",2,420,0.858139546
"121","Conf_random",2,435,0.86341877
"122","Conf_random",2,450,0.869213256
"123","Conf_random",2,465,0.87555739
"124","Conf_random",2,480,0.882189316
"125","Conf_random",2,495,0.888438316
"126","Conf_random",2,510,0.895705744
"127","Conf_random",2,525,0.90246928
"128","Conf_random",2,540,0.908849185
"129","Conf_random",2,555,0.915292381
"130","Conf_random",2,570,0.922036074
"131","Conf_random",2,585,0.928843142
"132","Conf_random",2,600,0.935397733
"133","Conf_random",2,615,0.941844871
"134","Conf_random",2,630,0.948139988
"135","Conf_random",2,645,0.95669293
"136","Conf_random",2,660,0.962977354
"137","Conf_random",2,675,0.966067402
"138","Conf_random",2,690,0.966863387
"139","Conf_random",2,705,0.967587815
"140","Conf_random",2,720,0.968028686
"141","Conf_random",2,735,0.968586833
"142","Conf_random",2,750,0.969123038
"143","Conf_random",2,765,0.969721946
"144","Conf_random",2,780,0.970277837
"145","Conf_random",2,795,0.97101599
"146","Conf_random",2,810,0.971805088
"147","Conf_random",2,825,0.972431216
"148","Conf_random",2,840,0.973046012
"149","Conf_random",2,855,0.9734845
"150","Conf_random",2,870,0.973823622
"151","Conf_random",2,885,0.974211393
"152","Conf_random",2,900,0.974557976
"153","Conf_random",2,915,0.974933276
"154","Conf_random",2,930,0.975597914
"155","Conf_random",2,945,0.976451509
"156","Conf_random",2,960,0.977212076
"157","Conf_random",2,975,0.978392489
"158","Conf_random",2,990,0.97945441
"159","Conf_random",2,1005,0.980695508
"160","Conf_random",2,1020,0.981691382
"161","Conf_random",2,1035,0.982675732
"162","Conf_random",2,1050,0.983427033
"163","Conf_random",2,1065,0.983986595
"164","Conf_random",2,1080,0.984607555
"165","Conf_random",2,1095,0.985509904
"166","Conf_random",2,1110,0.987419922
"167","Conf_random",2,1125,0.990451792
"168","Conf_random",2,1140,0.996261343
"169","Conf_random",2,1155,0.999955266
"170","Conf_random",2,1170,1
"171","Conf_random",2,1185,1
"172","Conf_random",2,1200,1
"173","Conf_random",2,1215,1
"174","Conf_random",2,1230,1
"175","Conf_random",2,1245,1
"176","Conf_random",2,1260,1
"177","Conf_random",2,1275,1
"178","Conf_random",2,1290,1
"179","Conf_random",2,1305,1
"180","Conf_random",2,1320,1
"181","Conf_random",2,1335,1
"182","Conf_random",2,1350,1
"183","Conf_random",3,0,0.028276077
"184","Conf_random",3,15,0.139858951
"185","Conf_random",3,30,0.257568333
"186","Conf_random",3,45,0.33085107
"187","Conf_random",3,60,0.422480348
"188","Conf_random",3,75,0.628025678
"189","Conf_random",3,90,0.715422795
"190","Conf_random",3,105,0.740159412
"191","Conf_random",3,120,0.773251227
"192","Conf_random",3,135,0.813385955
"193","Conf_random",3,150,0.844516289
"194","Conf_random",3,165,0.87739279
"195","Conf_random",3,180,0.919774789
"196","Conf_random",3,195,0.95953764
"197","Conf_random",3,210,0.98126033
"198","Conf_random",3,225,0.989134361
"199","Conf_random",3,240,0.992214324
"200","Conf_random",3,255,0.993721782
"201","Conf_random",3,270,0.994759338
"202","Conf_random",3,285,0.995389942
"203","Conf_random",3,300,0.995748511
"204","Conf_random",3,315,0.995918851
"205","Conf_random",3,330,0.995953104
"206","Conf_random",3,345,0.99602856
"207","Conf_random",3,360,0.996091696
"208","Conf_random",3,375,0.996167438
"209","Conf_random",3,390,0.996210344
"210","Conf_random",3,405,0.996303623
"211","Conf_random",3,420,0.996426258
"212","Conf_random",3,435,0.996571945
"213","Conf_random",3,450,0.996745393
"214","Conf_random",3,465,0.997016905
"215","Conf_random",3,480,0.997328272
"216","Conf_random",3,495,0.997588453
"217","Conf_random",3,510,0.99797104
"218","Conf_random",3,525,0.9982188
"219","Conf_random",3,540,0.998294938
"220","Conf_random",3,555,0.998358427
"221","Conf_random",3,570,0.998401268
"222","Conf_random",3,585,0.998415155
