"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"ymin1","0.0493796870345532"
"ymin2","0.261440248841216"
"ymin3","0.0248266611427788"
"ymin4","0.279151846830507"
"ymin5","0.241390303098926"
"ymin6","0.178575865066607"
"ymin7","0.132201594089032"
"ymin8","0.1176"
"ymin9","0"
"ymin10","0.188020972789117"
"ymin11","0.257519468862499"
"ymin12","0.0177357709086117"
"ymin13","0.575003316325856"
"ymin14","0.520940879841669"
"ymin15","0.239635191989783"
"ymin16","0.235664384837265"
"ymin17","0.0833"
"ymin18","0"
"lower1","0.234124458840721"
"lower2","0.542984448341237"
"lower3","0.447853858180382"
"lower4","0.621643615261188"
"lower5","0.543113414041349"
"lower6","0.388075606787707"
"lower7","0.376155610226302"
"lower8","0.424425"
"lower9","0"
"lower10","0.310741752521443"
"lower11","0.48323015260148"
"lower12","0.47153269631068"
"lower13","0.71840915515514"
"lower14","0.665195873726258"
"lower15","0.393494448601151"
"lower16","0.390309788529475"
"lower17","0.3333"
"lower18","0"
"middle1","0.334954766695745"
"middle2","0.658058468763903"
"middle3","0.743734294305057"
"middle4","0.770520779344151"
"middle5","0.692825969502799"
"middle6","0.487779008008476"
"middle7","0.479603469632755"
"middle8","0.5294"
"middle9","0"
"middle10","0.362023236176923"
"middle11","0.603454749589221"
"middle12","0.754343498778719"
"middle13","0.776683392825834"
"middle14","0.726541187795865"
"middle15","0.45532103461545"
"middle16","0.442544686071301"
"middle17","0.4545"
"middle18","0.0454"
"upper1","0.433798680535437"
"upper2","0.752650775501182"
"upper3","1.16723146417193"
"upper4","0.854304326261913"
"upper5","0.808134467066584"
"upper6","0.550919093209303"
"upper7","0.548934919074576"
"upper8","0.6617"
"upper9","0.0666"
"upper10","0.405587122250587"
"upper11","0.704422801500201"
"upper12","1.05704446984583"
"upper13","0.827886704891693"
"upper14","0.788120184920164"
"upper15","0.522042636443232"
"upper16","0.519759520282193"
"upper17","0.587775"
"upper18","0.135675"
"ymax1","0.689921736729039"
"ymax2","1.01373782437548"
"ymax3","2.18868161375556"
"ymax4","0.971970473064551"
"ymax5","0.945297220029453"
"ymax6","0.69438180040667"
"ymax7","0.695078297539228"
"ymax8","0.9473"
"ymax9","0.125"
"ymax10","0.531427062757856"
"ymax11","0.886900527766308"
"ymax12","1.84672628027682"
"ymax13","0.936601371048608"
"ymax14","0.886816637021307"
"ymax15","0.637168490119826"
"ymax16","0.637119041727074"
