"","Picture","method","value"
"1","high background","ICCS.M1",0.55446368388085
"2","high background","ICCS.M1",0.533733368685772
"3","high background","ICCS.M1",0.470369884429026
"4","high background","ICCS.M1",0.519128395907688
"5","high background","ICCS.M1",0.439071737537576
"6","high background","ICCS.M1",0.5379575980176
"7","high background","ICCS.M1",0.348907403962546
"8","high background","ICCS.M1",0.597488388655015
"9","high background","ICCS.M1",0.52251181064819
"10","high background","ICCS.M1",0.349401488617323
"11","high background","ICCS.M1",0.223355651259251
"12","high background","ICCS.M1",0.124764193320649
"13","high background","ICCS.M1",0.390439499871465
"14","high background","ICCS.M1",0.113917256201087
"15","high background","ICCS.M1",0.121975632006282
"16","high background","ICCS.M1",0.190040428254725
"17","high background","ICCS.M1",0.120950162349334
"18","high background","ICCS.M1",0.193379143755577
"19","high background","ICCS.M1",0.165366133380682
"20","high background","ICCS.M1",0.216404247469177
"21","high background","ICCS.M1",0.320656167197189
"22","high background","ICCS.M1",0.304423495452977
"23","high background","ICCS.M1",0.269377809874205
"24","high background","ICCS.M1",0.331855434382096
"25","high background","ICCS.M1",0.219693077905646
"26","high background","ICCS.M1",0.292087129558616
"27","high background","ICCS.M1",0.0568755170292271
"28","high background","ICCS.M1",0.225708385763836
"29","high background","ICCS.M1",0.301479687381277
"30","high background","ICCS.M1",0.31574005490875
"31","high background","ICCS.M1",0.183874546977915
"32","high background","ICCS.M1",0.0838963155812674
"33","high background","ICCS.M1",0.351419941506859
"34","high background","ICCS.M1",0.124440289577745
"35","high background","ICCS.M1",0.167874607618641
"36","high background","ICCS.M1",0.0875970265008595
"37","high background","ICCS.M1",0.185077027345855
"38","high background","ICCS.M1",0.0883589280724327
"39","high background","ICCS.M1",0.0573871934386881
"40","high background","ICCS.M1",0.197031796806735
"41","high background","ICCS.M1",0.529235432738575
"42","high background","ICCS.M1",0.687682158032161
"43","high background","ICCS.M1",0.273545017127011
"44","high background","ICCS.M1",0.419644112364418
"45","high background","ICCS.M1",0.433750582439643
"46","high background","ICCS.M1",0.49173614145439
"47","high background","ICCS.M1",0.498288650926561
"48","high background","ICCS.M1",0.425083180171856
"49","high background","ICCS.M1",0.689921736729039
"50","high background","ICCS.M1",0.53838014178379
"51","high background","ICCS.M1",0.274698819918001
"52","high background","ICCS.M1",0.289782649884205
"53","high background","ICCS.M1",0.262722559750972
"54","high background","ICCS.M1",0.437046282493938
"55","high background","ICCS.M1",0.275815491868452
"56","high background","ICCS.M1",0.309906227250797
"57","high background","ICCS.M1",0.433862456479858
"58","high background","ICCS.M1",0.312059286624467
"59","high background","ICCS.M1",0.338054099009394
"60","high background","ICCS.M1",0.373465181533718
"61","high background","ICCS.M1",0.201265482454778
"62","high background","ICCS.M1",0.440992038349177
"63","high background","ICCS.M1",0.163446967002119
"64","high background","ICCS.M1",0.232389639209453
"65","high background","ICCS.M1",0.264535678002427
"66","high background","ICCS.M1",0.245378467723324
"67","high background","ICCS.M1",0.445406003733806
"68","high background","ICCS.M1",0.355271521985659
"69","high background","ICCS.M1",0.298549832268235
"70","high background","ICCS.M1",0.374063796819611
"71","high background","ICCS.M1",0.239328917734527
"72","high background","ICCS.M1",0.361138236471979
"73","high background","ICCS.M1",0.423601707723214
"74","high background","ICCS.M1",0.254498219834211
"75","high background","ICCS.M1",0.283682826173176
"76","high background","ICCS.M1",0.346667668988439
"77","high background","ICCS.M1",0.306013123206771
"78","high background","ICCS.M1",0.393674118539043
"79","high background","ICCS.M1",0.365896600070212
"80","high background","ICCS.M1",0.353177928673547
"81","high background","ICCS.M1",0.433814713234035
"82","high background","ICCS.M1",0.431687858751911
"83","high background","ICCS.M1",0.40848771111113
"84","high background","ICCS.M1",0.397125571288988
"85","high background","ICCS.M1",0.474717690944342
"86","high background","ICCS.M1",0.501466525018791
"87","high background","ICCS.M1",0.507639531839815
"88","high background","ICCS.M1",0.317605882217162
"89","high background","ICCS.M1",0.417913362773802
"90","high background","ICCS.M1",0.404269856551673
"91","high background","ICCS.M1",0.29996544313601
"92","high background","ICCS.M1",0.303212640042862
