"","x"
"fill1","#F8766D"
"fill2","#D39200"
"fill3","#93AA00"
"fill4","#00BA38"
"fill5","#00C19F"
"fill6","#00B9E3"
"fill7","#619CFF"
"fill8","#DB72FB"
"fill9","#FF61C3"
"fill10","#F8766D"
"fill11","#D39200"
"fill12","#93AA00"
"fill13","#00BA38"
"fill14","#00C19F"
"fill15","#00B9E3"
"fill16","#619CFF"
"fill17","#DB72FB"
"fill18","#FF61C3"
"ymin1","0.387690426773228"
"ymin2","0.601967380313955"
"ymin3","0.162984387768728"
"ymin4","0.80388903920368"
"ymin5","0.794174359110047"
"ymin6","0.524758791599086"
"ymin7","0.523969441660334"
"ymin8","0"
"ymin9","0"
"ymin10","0.404210032415445"
"ymin11","0.49000893888665"
"ymin12","0.924579617570368"
"ymin13","0.800412586944483"
"ymin14","0.88620436521467"
"ymin15","0.473704496438903"
"ymin16","0.474258767840959"
"ymin17","0.1891"
"ymin18","0"
"lower1","0.446410308787675"
"lower2","0.666482091340472"
"lower3","1.16273416354616"
"lower4","0.835402544147565"
"lower5","0.844394238250571"
"lower6","0.578318245318829"
"lower7","0.579390064300135"
"lower8","0.328125"
"lower9","0.0119"
"lower10","0.507099061945337"
"lower11","0.545061053939534"
"lower12","1.36539418428579"
"lower13","0.822208456130564"
"lower14","0.898860452508533"
"lower15","0.538618476053195"
"lower16","0.539696111428492"
"lower17","0.360325"
"lower18","0.200725"
"middle1","0.535405404366997"
"middle2","0.704267039035331"
"middle3","1.41790755757047"
"middle4","0.886300842560358"
"middle5","0.883106261905407"
"middle6","0.605452270010954"
"middle7","0.605206866545543"
"middle8","0.4605"
"middle9","0.0513"
"middle10","0.555986690892512"
"middle11","0.592188905350945"
"middle12","1.56438636731239"
"middle13","0.862056693715629"
"middle14","0.9254809730154"
"middle15","0.570744520248887"
"middle16","0.572408096565025"
"middle17","0.56895"
"middle18","0.3279"
"upper1","0.590566141160453"
"upper2","0.794114192098331"
"upper3","2.21603829504145"
"upper4","0.92559582283315"
"upper5","0.907629100976314"
"upper6","0.632109215935963"
"upper7","0.632243255215168"
"upper8","0.6551"
"upper9","0.1562"
"upper10","0.589520311177639"
"upper11","0.649484699671054"
"upper12","1.67922423279439"
"upper13","0.871986024963429"
"upper14","0.929991815085887"
"upper15","0.612057562164309"
"upper16","0.612557747660366"
"upper17","0.63"
"upper18","0.457075"
"ymax1","0.622914960027694"
"ymax2","0.84809220034183"
"ymax3","2.47881241976849"
"ymax4","0.977666327785133"
"ymax5","0.981275908714055"
"ymax6","0.705760800750442"
"ymax7","0.706247611337695"
"ymax8","0.8064"
"ymax9","0.3"
"ymax10","0.680602552785228"
"ymax11","0.663961164406926"
"ymax12","2.0787650595632"
"ymax13","0.925775532512769"
"ymax14","0.967498428281536"
"ymax15","0.665446661483334"
"ymax16","0.666192069445292"
