"","Picture","method","value"
"1","high background","ICCS.M1",0.612927683280876
"2","high background","ICCS.M1",0.583487358586421
"3","high background","ICCS.M1",0.4546700766835
"4","high background","ICCS.M1",0.0360677843959715
"5","high background","ICCS.M1",0.496292961684674
"6","high background","ICCS.M1",0.592925735351797
"7","high background","ICCS.M1",0.387690426773228
"8","high background","ICCS.M1",0.4436570528224
"9","high background","ICCS.M1",0.574517847049321
"10","high background","ICCS.M1",0.622914960027694
"11","low background","ICCS.M1",0.573174242891077
"12","low background","ICCS.M1",0.404210032415445
"13","low background","ICCS.M1",0.581339479779742
"14","low background","ICCS.M1",0.457942564183187
"15","low background","ICCS.M1",0.538799138893947
"16","low background","ICCS.M1",0.529444727203794
"17","low background","ICCS.M1",0.635767419340562
"18","low background","ICCS.M1",0.680602552785228
"19","low background","ICCS.M1",0.592247254976939
"20","low background","ICCS.M1",0.499650506859184
"21","high background","ICCS.M2",0.812654284449492
"22","high background","ICCS.M2",0.84809220034183
"23","high background","ICCS.M2",0.753871923566389
"24","high background","ICCS.M2",0.12315858968288
"25","high background","ICCS.M2",0.668363945362838
"26","high background","ICCS.M2",0.66585480666635
"27","high background","ICCS.M2",0.710287823334897
"28","high background","ICCS.M2",0.807528281608978
"29","high background","ICCS.M2",0.698246254735765
"30","high background","ICCS.M2",0.601967380313955
"31","low background","ICCS.M2",0.54420658265152
"32","low background","ICCS.M2",0.192090049241819
"33","low background","ICCS.M2",0.654222052326505
"34","low background","ICCS.M2",0.49000893888665
"35","low background","ICCS.M2",0.663961164406926
"36","low background","ICCS.M2",0.617954269644193
"37","low background","ICCS.M2",0.646053998367935
"38","low background","ICCS.M2",0.650628266772094
"39","low background","ICCS.M2",0.547624467803575
"40","low background","ICCS.M2",0.566423541057698
"41","high background","LI..DeBias.",2.42001551886415
"42","high background","LI..DeBias.",2.13335180807277
"43","high background","LI..DeBias.",2.24360045736434
"44","high background","LI..DeBias.",0.162984387768728
"45","high background","LI..DeBias.",2.47881241976849
"46","high background","LI..DeBias.",1.34186422831717
"47","high background","LI..DeBias.",1.15256391279263
"48","high background","LI..DeBias.",1.49395088682377
"49","high background","LI..DeBias.",1.19324491580674
"50","high background","LI..DeBias.",0.89758877965409
"51","low background","LI..DeBias.",1.59433966255089
"52","low background","LI..DeBias.",0.924579617570368
"53","low background","LI..DeBias.",1.90335895490716
"54","low background","LI..DeBias.",1.53443307207388
"55","low background","LI..DeBias.",1.66802572888977
"56","low background","LI..DeBias.",1.37344195890047
"57","low background","LI..DeBias.",2.0787650595632
"58","low background","LI..DeBias.",1.36271159274756
"59","low background","LI..DeBias.",1.28489789839147
"60","low background","LI..DeBias.",1.68295706742926
"61","high background","Mander.s.M1",0.945614704949153
"62","high background","Mander.s.M1",0.925510593829529
"63","high background","Mander.s.M1",0.925624232501023
"64","high background","Mander.s.M1",0.213640353141618
"65","high background","Mander.s.M1",0.977666327785133
