"","coefficients","meanvalue","standarderror","name_molecule","i"
"1","ICCS M1",0.480515188665588,0.0556089545024447,"MxTom20/M290M396","high background"
"2","ICCS M2",0.669002549006337,0.0653291188871787,"MxTom20/M290M396","high background"
"3","LI (DeBias)",1.55179773152329,0.238563116905568,"MxTom20/M290M396","high background"
"4","Mander's M1",0.823841583816266,0.0699296789530105,"MxTom20/M290M396","high background"
"5","Mander's M2",0.818060111448948,0.0719837716924608,"MxTom20/M290M396","high background"
"6","Pearson's Corr.",0.563462784834678,0.0578815793760567,"MxTom20/M290M396","high background"
"7","Pearson's with tresh.",0.562044853004443,0.0596905915013473,"MxTom20/M290M396","high background"
"8","Thresholded Overlap Coeff ch1",0.46843,0.0772465907913669,"MxTom20/M290M396","high background"
"9","Thresholded Overlap Coeff ch2",0.09236,0.031386590200983,"MxTom20/M290M396","high background"
"10","ICCS M1",0.54931779193291,0.0259325617155277,"MxTom20/M290M396","low background"
"11","ICCS M2",0.557317333115892,0.0446332649722695,"MxTom20/M290M396","low background"
"12","LI (DeBias)",1.5407510613024,0.103553264251405,"MxTom20/M290M396","low background"
"13","Mander's M1",0.859164661277084,0.0139489790089378,"MxTom20/M290M396","low background"
"14","Mander's M2",0.919181390115881,0.00789636233500091,"MxTom20/M290M396","low background"
"15","Pearson's Corr.",0.55054915266882,0.0348112141280946,"MxTom20/M290M396","low background"
"16","Pearson's with tresh.",0.55167503827097,0.0346428300550889,"MxTom20/M290M396","low background"
"17","Thresholded Overlap Coeff ch1",0.50281,0.0554768769648921,"MxTom20/M290M396","low background"
"18","Thresholded Overlap Coeff ch2",0.359,0.0933513435004196,"MxTom20/M290M396","low background"
