"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"1",10,0.07,0.99,0.57
"2",10,0.07,0.64,0.52
"3",10,0.05,1,0.46
"4",10,0.07,1,0.43
"5",10,0.03,0.99,0.53
"6",10,0.15,1,0.66
"7",10,0.11,1,0.65
"8",10,0.13,1,0.71
"9",10,0.09,1,0.61
"10",10,0.12,1,0.71
"11",10,0.04,1,0.32
"12",10,0.06,0.96,0.4
"13",10,0.03,0.73,0.47
"14",10,0.04,1,0.46
"15",10,0.03,0.86,0.35
"16",10,0.1,1,0.68
"17",10,0.12,1,0.8
"18",10,0.22,1,0.66
"19",10,0.08,1,0.71
"20",10,0.14,1,0.65
"21",20,0.07,1,0.49
"22",20,0.07,1,0.54
"23",20,0.08,0.84,0.49
"24",20,0.03,0.74,0.5
"25",20,0.07,0.59,0.36
"26",20,0.13,1,0.59
"27",20,0.07,0.96,0.58
"28",20,0.16,1,0.58
"29",20,0.08,1,0.69
"30",20,0.12,1,0.62
"31",20,0.05,0.61,0.33
"32",20,0.04,0.72,0.46
"33",20,0.05,0.81,0.44
"34",20,0.02,0.75,0.46
"35",20,0.02,0.86,0.48
"36",20,0.16,1,0.79
"37",20,0.12,1,0.64
"38",20,0.13,1,0.66
"39",20,0.11,1,0.71
"40",20,0.11,1,0.77
"41",30,0.11,1,0.5
"42",30,0.03,0.96,0.55
"43",30,0.1,0.97,0.55
"44",30,0.04,0.98,0.42
"45",30,0.08,0.96,0.47
"46",30,0.07,1,0.71
"47",30,0.09,1,0.72
"48",30,0.12,1,0.58
"49",30,0.13,1,0.67
"50",30,0.05,1,0.7
"51",30,0.03,0.65,0.36
"52",30,0.02,0.76,0.39
"53",30,0.05,0.66,0.49
"54",30,0.06,0.91,0.39
"55",30,0.01,0.88,0.44
"56",30,0.08,1,0.78
"57",30,0.15,1,0.76
"58",30,0.21,1,0.76
"59",30,0.13,1,0.74
"60",30,0.15,1,0.72
"61",40,0.07,0.95,0.55
"62",40,0.04,1,0.54
"63",40,0.04,0.66,0.44
"64",40,0.08,0.92,0.45
"65",40,0.06,1,0.53
"66",40,0.12,1,0.59
"67",40,0.07,0.99,0.67
"68",40,0.13,1,0.6
"69",40,0.06,1,0.7
"70",40,0.13,1,0.63
"71",40,0.09,0.82,0.45
"72",40,0.04,0.59,0.52
"73",40,0.04,0.95,0.44
"74",40,0.04,0.98,0.38
"75",40,0.04,0.67,0.39
"76",40,0.14,1,0.68
"77",40,0.18,1,0.7
"78",40,0.25,1,0.73
"79",40,0.09,1,0.72
"80",40,0.16,1,0.78
"81",50,0.03,0.84,0.56
"82",50,0.07,1,0.53
"83",50,0.04,0.72,0.54
"84",50,0.07,1,0.51
"85",50,0.09,1,0.51
"86",50,0.18,1,0.75
"87",50,0.11,1,0.72
"88",50,0.11,1,0.66
"89",50,0.09,1,0.71
"90",50,0.1,1,0.74
"91",50,0.03,0.9,0.58
"92",50,0.03,0.75,0.4
"93",50,0.02,0.66,0.44
"94",50,0.07,0.67,0.45
"95",50,0.07,0.76,0.33
"96",50,0.16,1,0.68
"97",50,0.12,1,0.67
"98",50,0.16,1,0.68
"99",50,0.14,1,0.77
"100",50,0.19,1,0.71
"101",60,0.02,0.97,0.53
"102",60,0.04,0.8,0.52
"103",60,0.04,0.86,0.48
"104",60,0.02,1,0.66
"105",60,0.08,1,0.5
"106",60,0.09,1,0.79
"107",60,0.09,1,0.66
"108",60,0.11,1,0.76
"109",60,0.12,1,0.64
"110",60,0.09,1,0.63
"111",60,0.02,1,0.45
"112",60,0.04,1,0.52
"113",60,0.09,1,0.5
"114",60,0.07,0.82,0.51
"115",60,0.04,0.77,0.5
"116",60,0.19,1,0.83
"117",60,0.11,1,0.81
"118",60,0.12,1,0.69
"119",60,0.15,1,0.66
"120",60,0.22,1,0.66
"121",70,0.09,1,0.52
"122",70,0.08,1,0.64
"123",70,0.07,0.96,0.54
"124",70,0.09,1,0.53
"125",70,0.09,1,0.58
