"","coefficients","meanvalue","standarderror","truecoloc"
"1","Mask center 1 inside Mask 2",0.0875,0.011047147762396,0.1
"2","Ripley's K function of 2 coloc. with 1",0.9585,0.0223285868221364,0.1
"3","SODA of 2 coloc. with 1",0.5675,0.0304343555870664,0.1
"4","Mask center 1 inside Mask 2",0.0845,0.00971908052831076,0.2
"5","Ripley's K function of 2 coloc. with 1",0.894,0.0319077618011338,0.2
"6","SODA of 2 coloc. with 1",0.559,0.0283576778798413,0.2
"7","Mask center 1 inside Mask 2",0.0855,0.011641011893076,0.3
"8","Ripley's K function of 2 coloc. with 1",0.9365,0.0252385982595164,0.3
"9","SODA of 2 coloc. with 1",0.585,0.0325535995260933,0.3
"10","Mask center 1 inside Mask 2",0.0935,0.0128406222180768,0.4
"11","Ripley's K function of 2 coloc. with 1",0.9265,0.0294178159409709,0.4
"12","SODA of 2 coloc. with 1",0.5745,0.0275821738771525,0.4
"13","Mask center 1 inside Mask 2",0.094,0.0116619037896906,0.5
"14","Ripley's K function of 2 coloc. with 1",0.915,0.028750286039767,0.5
"15","SODA of 2 coloc. with 1",0.597,0.0289473205741231,0.5
"16","Mask center 1 inside Mask 2",0.0875,0.0123730394512892,0.6
"17","Ripley's K function of 2 coloc. with 1",0.961,0.0174250273729302,0.6
"18","SODA of 2 coloc. with 1",0.615,0.0267493236510659,0.6
"19","Mask center 1 inside Mask 2",0.1085,0.0101637902171851,0.7
"20","Ripley's K function of 2 coloc. with 1",0.956,0.0182727867836875,0.7
"21","SODA of 2 coloc. with 1",0.619,0.0269785489836492,0.7
"22","Mask center 1 inside Mask 2",0.0975,0.0106097026100492,0.8
"23","Ripley's K function of 2 coloc. with 1",0.9075,0.0321581208537145,0.8
"24","SODA of 2 coloc. with 1",0.614,0.0249673470968109,0.8
"25","Mask center 1 inside Mask 2",0.107,0.0094339811320566,0.9
"26","Ripley's K function of 2 coloc. with 1",0.938,0.0219640855177624,0.9
"27","SODA of 2 coloc. with 1",0.633,0.02294272043705,0.9
