"","coefficients","meanvalue","standarderror","truecoloc"
"1","ICCS M1",0.756652129177028,0.0156577522683973,0.1
"2","ICCS M2",0.763075268599385,0.0151099537166577,0.1
"3","LI (DeBias)",2.25027406231807,0.0803318344301687,0.1
"4","Mander's M1",0.986808048159481,0.000880009873735539,0.1
"5","Mander's M2",0.985000071083801,0.000834938851850089,0.1
"6","Pearson's Corr.",0.759764471495422,0.0151436758801028,0.1
"7","Pearson's with tresh.",0.758756493436991,0.0150958026221404,0.1
"8","Thresholded Overlap Coeff ch1",0.88689,0.0404723023547554,0.1
"9","Thresholded Overlap Coeff ch2",0.8482,0.0449205005361812,0.1
"10","ICCS M1",0.764241353041096,0.015953224499914,0.2
"11","ICCS M2",0.76210653576566,0.0147028163338235,0.2
"12","LI (DeBias)",2.22790158336094,0.0841301768731782,0.2
"13","Mander's M1",0.985891837506486,0.000639780241478642,0.2
"14","Mander's M2",0.984926483413994,0.000866445096075771,0.2
"15","Pearson's Corr.",0.763091755215976,0.015130077199473,0.2
"16","Pearson's with tresh.",0.76192981520525,0.0150742557028546,0.2
"17","Thresholded Overlap Coeff ch1",0.91666,0.039182434571468,0.2
"18","Thresholded Overlap Coeff ch2",0.90415,0.0338158071881993,0.2
"19","ICCS M1",0.772224558043295,0.0137520739188394,0.3
"20","ICCS M2",0.781384036498088,0.0149628130282999,0.3
"21","LI (DeBias)",2.23029274809291,0.0782224508447579,0.3
"22","Mander's M1",0.985762931395394,0.000817660076729849,0.3
"23","Mander's M2",0.986441293312991,0.000808335781748727,0.3
"24","Pearson's Corr.",0.776738959867169,0.0142242801678174,0.3
"25","Pearson's with tresh.",0.77558781977039,0.0141952392897777,0.3
"26","Thresholded Overlap Coeff ch1",0.90118,0.0441859876574368,0.3
"27","Thresholded Overlap Coeff ch2",0.9275,0.0361784684439152,0.3
"28","ICCS M1",0.785702744809341,0.0112875513265626,0.4
"29","ICCS M2",0.79242556825869,0.0140171643884635,0.4
"30","LI (DeBias)",2.28278602446039,0.0875214717156812,0.4
"31","Mander's M1",0.987093530412283,0.000746552776017146,0.4
"32","Mander's M2",0.98523208307957,0.000891980136549808,0.4
"33","Pearson's Corr.",0.788985855349458,0.0124907237064651,0.4
"34","Pearson's with tresh.",0.787641086520249,0.0124423294796101,0.4
"35","Thresholded Overlap Coeff ch1",0.88999,0.0407632018653563,0.4
"36","Thresholded Overlap Coeff ch2",0.92737,0.0343545914345023,0.4
"37","ICCS M1",0.79482608001539,0.0127053566547408,0.5
"38","ICCS M2",0.80952540948338,0.0144260417068646,0.5
"39","LI (DeBias)",2.2958424879479,0.0832101468358458,0.5
"40","Mander's M1",0.986808334716437,0.000755367806971707,0.5
"41","Mander's M2",0.986448538938592,0.00081502677408928,0.5
"42","Pearson's Corr.",0.802054410327552,0.0133014010639853,0.5
"43","Pearson's with tresh.",0.800720717193048,0.0132925782778064,0.5
"44","Thresholded Overlap Coeff ch1",0.85166,0.0450793454863054,0.5
"45","Thresholded Overlap Coeff ch2",0.84999,0.0482157071480806,0.5
"46","ICCS M1",0.80167545735143,0.0117067814595484,0.6
"47","ICCS M2",0.816056712999448,0.0125815165249589,0.6
"48","LI (DeBias)",2.26144334489702,0.0867922569950304,0.6
"49","Mander's M1",0.986901521069735,0.000679595924986422,0.6
"50","Mander's M2",0.985128467800927,0.000677786823922064,0.6
"51","Pearson's Corr.",0.808758251929932,0.0118733899588908,0.6
"52","Pearson's with tresh.",0.807352880079094,0.0119167749708899,0.6
"53","Thresholded Overlap Coeff ch1",0.82082,0.0477111040810373,0.6
"54","Thresholded Overlap Coeff ch2",0.87499,0.0450414042853906,0.6
"55","ICCS M1",0.813460724132496,0.0100655596560342,0.7
"56","ICCS M2",0.835399677901557,0.0125270534636373,0.7
"57","LI (DeBias)",2.34363044010998,0.0922682928459764,0.7
"58","Mander's M1",0.98447337657256,0.000769938247181855,0.7
"59","Mander's M2",0.985120319433019,0.00082723443338959,0.7
"60","Pearson's Corr.",0.824297711299785,0.0110999008616447,0.7
"61","Pearson's with tresh.",0.8225924088381,0.0111052355107545,0.7
"62","Thresholded Overlap Coeff ch1",0.96666,0.0229461617017336,0.7
"63","Thresholded Overlap Coeff ch2",0.85666,0.0506895610555073,0.7
"64","ICCS M1",0.820530013602077,0.0104644636809827,0.8
"65","ICCS M2",0.846102173282131,0.0104331035747132,0.8
"66","LI (DeBias)",2.3422813337119,0.0863924723550233,0.8
"67","Mander's M1",0.985717314405125,0.00106421042587281,0.8
"68","Mander's M2",0.984368094966395,0.00084041500663957,0.8
"69","Pearson's Corr.",0.833147762966298,0.0101514919090087,0.8
"70","Pearson's with tresh.",0.831430181157347,0.010218365180164,0.8
"71","Thresholded Overlap Coeff ch1",0.88749,0.0411287029367953,0.8
"72","Thresholded Overlap Coeff ch2",0.84999,0.0482157071480806,0.8
"73","ICCS M1",0.837389815750244,0.00896700469111606,0.9
"74","ICCS M2",0.862318089781343,0.0106883863984848,0.9
"75","LI (DeBias)",2.40859955774326,0.0904817855713643,0.9
"76","Mander's M1",0.986084395232683,0.000756816004489623,0.9
"77","Mander's M2",0.985985555526535,0.000737801841714716,0.9
"78","Pearson's Corr.",0.849678149067474,0.00944167830759857,0.9
"79","Pearson's with tresh.",0.847882895731243,0.00952226600452767,0.9
"80","Thresholded Overlap Coeff ch1",0.81666,0.049338786066606,0.9
"81","Thresholded Overlap Coeff ch2",0.849995,0.0539398897775155,0.9
