"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"1",10,0,0.06,0.04
"2",10,0,0.05,0
"3",10,0,0.03,0.03
"4",10,0.04,0.05,0.12
"5",10,0,0.13,0
"6",10,0,0,0
"7",10,0,0.01,0
"8",10,0,0.06,0.07
"9",10,0.01,0.02,0
"10",10,0.02,0.02,0.08
"11",10,0.02,0.12,0.07
"12",10,0.01,0.04,0.03
"13",10,0.02,0.01,0
"14",10,0.04,0.38,0.17
"15",10,0.03,0.05,0.03
"16",10,0.06,0.28,0.23
"17",10,0,0.07,0.07
"18",10,0,0.14,0.09
"19",10,0.02,0.08,0
"20",10,0,0.03,0
"21",10,0,0,0
"22",10,0,0.03,0.05
"23",10,0,0.08,0.09
"24",10,0,0.13,0.14
"25",10,0.01,0.08,0.08
"26",10,0,0.03,0.05
"27",10,0,0.05,0.06
"28",10,0.01,0.04,0
"29",10,0.01,0.01,0.05
"30",10,0.03,0.2,0.06
"31",10,0.05,0.11,0.09
"32",10,0,0.03,0
"33",10,0,0.03,0
"34",10,0,0.1,0.11
"35",10,0.01,0,0
"36",10,0,0.09,0.05
"37",10,0.02,0.17,0.16
"38",10,0,0,0
"39",10,0,0.01,0
"40",10,0.05,0.07,0.08
"41",10,0.02,0.1,0.09
"42",10,0,0.03,0.07
"43",10,0,0.06,0.07
"44",10,0,0.05,0
"45",10,0,0.11,0.1
"46",10,0,0.01,0.08
"47",10,0.02,0.11,0.11
"48",10,0,0.1,0
"49",10,0.02,0.11,0.09
"50",10,0.02,0.03,0
"51",10,0.01,0.26,0.06
"52",10,0,0.06,0
"53",10,0.02,0.12,0.08
"54",10,0,0.08,0.06
"55",10,0.03,0.02,0
"56",10,0,0.03,0.07
"57",10,0,0.01,0
"58",10,0.02,0.27,0.09
"59",10,0.01,0.12,0.1
"60",10,0,0.04,0
"61",10,0.03,0.02,0
"62",10,0,0.04,0.05
"63",10,0.01,0.16,0
