"","coefficients","meanvalue","standarderror","truecoloc"
"1","Mask center 1 inside Mask 2",0.0082,0.00132100359766751,0.1
"2","Ripley's K function of 2 coloc. with 1",0.0742,0.00740485781037821,0.1
"3","SODA of 2 coloc. with 1",0.0469,0.00487354225809258,0.1
"4","Mask center 1 inside Mask 2",0.0119,0.00130031076316705,0.2
"5","Ripley's K function of 2 coloc. with 1",0.118,0.00631976217427475,0.2
"6","SODA of 2 coloc. with 1",0.0842,0.00579477298428454,0.2
"7","Mask center 1 inside Mask 2",0.0112,0.00142332659142538,0.3
"8","Ripley's K function of 2 coloc. with 1",0.1864,0.00715135079420792,0.3
"9","SODA of 2 coloc. with 1",0.1496,0.00596271241918805,0.3
"10","Mask center 1 inside Mask 2",0.0122,0.00127588353225472,0.4
"11","Ripley's K function of 2 coloc. with 1",0.2492,0.0114244819523157,0.4
"12","SODA of 2 coloc. with 1",0.1892,0.00697568649096288,0.4
"13","Mask center 1 inside Mask 2",0.0155,0.00148647097502641,0.5
"14","Ripley's K function of 2 coloc. with 1",0.295,0.00797027305211387,0.5
"15","SODA of 2 coloc. with 1",0.2398,0.00533329545441094,0.5
"16","Mask center 1 inside Mask 2",0.0153,0.00166639391707624,0.6
"17","Ripley's K function of 2 coloc. with 1",0.3465,0.00885617401487901,0.6
"18","SODA of 2 coloc. with 1",0.2842,0.00765833539420291,0.6
"19","Mask center 1 inside Mask 2",0.0181,0.00175058431803368,0.7
"20","Ripley's K function of 2 coloc. with 1",0.4387,0.00882221140879168,0.7
"21","SODA of 2 coloc. with 1",0.3585,0.00712000312109794,0.7
"22","Mask center 1 inside Mask 2",0.0204,0.00172866504224584,0.8
"23","Ripley's K function of 2 coloc. with 1",0.4712,0.00955079985015798,0.8
"24","SODA of 2 coloc. with 1",0.3889,0.00672083298108173,0.8
"25","Mask center 1 inside Mask 2",0.0218,0.00189299612874257,0.9
"26","Ripley's K function of 2 coloc. with 1",0.532,0.0105725010181025,0.9
"27","SODA of 2 coloc. with 1",0.4517,0.00754522392248262,0.9
