"","coefficients","meanvalue","standarderror","truecoloc"
"1","ICCS M1",0.0291748782048869,0.00151792106756588,0.1
"2","ICCS M2",0.0290600806050601,0.00147940954617748,0.1
"3","LI (DeBias)",0.016059416078014,0.00256390537099635,0.1
"4","Mander's M1",0.157632270220167,0.0258174002624039,0.1
"5","Mander's M2",0.157700888774679,0.0256865296086361,0.1
"6","Pearson's Corr.",0.0290661722030278,0.00148404500359879,0.1
"7","Pearson's with tresh.",0.0174063400089397,0.00130185265736484,0.1
"8","Thresholded Overlap Coeff ch1",0.040818,0.00184839508872979,0.1
"9","Thresholded Overlap Coeff ch2",0.039334,0.00196598304502692,0.1
"10","ICCS M1",0.0558328945240921,0.00140866541633491,0.2
"11","ICCS M2",0.0553116315219125,0.00132544062873786,0.2
"12","LI (DeBias)",0.0295384949040311,0.00243459772077353,0.2
"13","Mander's M1",0.231290677011971,0.035378026954215,0.2
"14","Mander's M2",0.231353412127891,0.0352640000419814,0.2
"15","Pearson's Corr.",0.0554664085420084,0.00131777447766625,0.2
"16","Pearson's with tresh.",0.0393839006432747,0.00178112750294479,0.2
"17","Thresholded Overlap Coeff ch1",0.048234,0.00228687525331891,0.2
"18","Thresholded Overlap Coeff ch2",0.045978,0.00220477332488885,0.2
"19","ICCS M1",0.0841721242649566,0.00158234459825768,0.3
"20","ICCS M2",0.0834388328053328,0.00151420675507686,0.3
"21","LI (DeBias)",0.0483317177585625,0.00238723594522434,0.3
"22","Mander's M1",0.248808893427433,0.0370719186692288,0.3
"23","Mander's M2",0.250217707355816,0.0372890490457835,0.3
"24","Pearson's Corr.",0.0836888919307061,0.00148106421582249,0.3
"25","Pearson's with tresh.",0.0597913618819545,0.00192779337575196,0.3
"26","Thresholded Overlap Coeff ch1",0.054522,0.0027488894286437,0.3
"27","Thresholded Overlap Coeff ch2",0.056317,0.0024397309236467,0.3
"28","ICCS M1",0.112127555160293,0.00174313170271373,0.4
"29","ICCS M2",0.11044207422858,0.00189804573987391,0.4
"30","LI (DeBias)",0.0591406115604356,0.00218167734384659,0.4
"31","Mander's M1",0.266282508825011,0.0383622012398261,0.4
"32","Mander's M2",0.264930150349869,0.0382197752500535,0.4
"33","Pearson's Corr.",0.111087578794503,0.00169631997754325,0.4
"34","Pearson's with tresh.",0.0854419713526169,0.00206493164155038,0.4
"35","Thresholded Overlap Coeff ch1",0.065877,0.00248495588847705,0.4
"36","Thresholded Overlap Coeff ch2",0.073657,0.00324957130195117,0.4
"37","ICCS M1",0.135635655553383,0.00189767754225292,0.5
"38","ICCS M2",0.135219611498165,0.00203576431468266,0.5
"39","LI (DeBias)",0.0743955323266068,0.00233932204326833,0.5
"40","Mander's M1",0.254644491546444,0.0373094955573648,0.5
"41","Mander's M2",0.253521989041037,0.0372144130213185,0.5
"42","Pearson's Corr.",0.13511410706518,0.00172294155684104,0.5
"43","Pearson's with tresh.",0.101171880916969,0.00243905752035782,0.5
"44","Thresholded Overlap Coeff ch1",0.077626,0.00336168356691114,0.5
"45","Thresholded Overlap Coeff ch2",0.076121,0.00315701601055634,0.5
"46","ICCS M1",0.162179068255719,0.00195171885711118,0.6
"47","ICCS M2",0.161578786686601,0.00216149451862451,0.6
"48","LI (DeBias)",0.0903082337800311,0.00235019590616262,0.6
"49","Mander's M1",0.23677363132121,0.0364354422719658,0.6
"50","Mander's M2",0.236477805521849,0.0365604780154845,0.6
"51","Pearson's Corr.",0.16155064633256,0.00178135427864037,0.6
"52","Pearson's with tresh.",0.122688256982236,0.00264835357301768,0.6
"53","Thresholded Overlap Coeff ch1",0.087738,0.00358908749552098,0.6
"54","Thresholded Overlap Coeff ch2",0.080135,0.00305247221382302,0.6
"55","ICCS M1",0.196163078421222,0.0022446129906454,0.7
"56","ICCS M2",0.195370741113132,0.00218512762502104,0.7
"57","LI (DeBias)",0.105565627402125,0.00266974343738289,0.7
"58","Mander's M1",0.195564275647905,0.03322689269666,0.7
"59","Mander's M2",0.197065213839532,0.0335399599302756,0.7
"60","Pearson's Corr.",0.195404360329526,0.00186191824868462,0.7
"61","Pearson's with tresh.",0.148958747975887,0.00258057798120925,0.7
"62","Thresholded Overlap Coeff ch1",0.09348,0.00343294407914039,0.7
"63","Thresholded Overlap Coeff ch2",0.089702,0.00339187352656346,0.7
"64","ICCS M1",0.220398428109707,0.00247583716152705,0.8
"65","ICCS M2",0.214669953263752,0.00250238720689367,0.8
"66","LI (DeBias)",0.119501395123876,0.00254511451382734,0.8
"67","Mander's M1",0.122776776804845,0.023673989349658,0.8
"68","Mander's M2",0.124095891423205,0.0241165350745126,0.8
"69","Pearson's Corr.",0.217056298320617,0.00204180508368069,0.8
"70","Pearson's with tresh.",0.16291966242572,0.00294201722378552,0.8
"71","Thresholded Overlap Coeff ch1",0.094782,0.00395772084703182,0.8
"72","Thresholded Overlap Coeff ch2",0.099102,0.00399308922712198,0.8
"73","ICCS M1",0.248153503652396,0.0025963706198167,0.9
"74","ICCS M2",0.247415993890629,0.00264797173180078,0.9
"75","LI (DeBias)",0.134145470053443,0.00283462303696869,0.9
"76","Mander's M1",0.180082509172176,0.0313332430468658,0.9
"77","Mander's M2",0.180553352764072,0.0313613311135287,0.9
"78","Pearson's Corr.",0.247388640298191,0.00221275703417485,0.9
"79","Pearson's with tresh.",0.185043875829929,0.00337397385504779,0.9
"80","Thresholded Overlap Coeff ch1",0.108373,0.00455491672522532,0.9
"81","Thresholded Overlap Coeff ch2",0.107103,0.00419694223828672,0.9
